,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",179,0,0,0,179,135,44,0,0,0
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",11535,8050,4015,4035,3260,1336,1924,225,0,225
70,Erie County (Northeast) PUMA,53476,22992,10319,12673,28851,15066,13785,1633,1306,327
71,NYC-Manhattan Community District 11--East Harlem PUMA,9677,7071,3934,3137,2267,943,1324,339,235,104
72,Orange County (Southeast) PUMA,41136,15852,7614,8238,22473,12269,10204,2811,1300,1511
73,Westchester County (Southeast) PUMA,30703,21546,10242,11304,8216,4236,3980,941,803,138
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,38827,27592,15254,12338,10487,5357,5130,748,442,306
75,Livingston & Wyoming Counties PUMA,49093,9777,3972,5805,35062,18767,16295,4254,2449,1805
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,51413,15181,6131,9050,34682,18392,16290,1550,842,708
77,Westchester County (Southwest)--Yonkers City PUMA,31832,15294,5943,9351,15435,8402,7033,1103,574,529
78,Erie County (North Central) PUMA,45637,28940,13796,15144,16240,7625,8615,457,136,321
79,Saratoga County (South & Central) PUMA,51385,23911,10779,13132,25306,13555,11751,2168,1020,1148
80,Suffolk County (South Central)--Brookhaven Town (South) PUMA,47856,14600,5521,9079,29907,15028,14879,3349,1890,1459
81,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",63379,22098,10386,11712,40096,17906,22190,1185,747,438
82,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,56861,13305,5608,7697,38654,20198,18456,4902,2856,2046
83,Niagara County (North & East) PUMA,52719,13771,5689,8082,35360,18552,16808,3588,1656,1932
84,Monroe County (Central)--Rochester City (East) PUMA,26654,11034,5220,5814,14049,7834,6215,1571,1162,409
85,Warren & Washington Counties PUMA,61835,14638,4961,9677,41775,22013,19762,5422,3987,1435
86,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,34215,21652,9870,11782,11991,6418,5573,572,264,308
87,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,17873,14957,6805,8152,2683,1804,879,233,158,75
88,Onondaga County (Central)--Syracuse City PUMA,36132,15296,7508,7788,17011,8789,8222,3825,1851,1974
89,Westchester County (Central)--White Plains City PUMA,43093,34443,16124,18319,8158,4070,4088,492,252,240
90,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,17121,8864,4969,3895,7141,3654,3487,1116,493,623
91,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",1642,308,139,169,740,293,447,594,502,92
92,Cattaraugus & Allegany Counties PUMA,57372,10575,4596,5979,40394,20861,19533,6403,3274,3129
93,Oswego County PUMA,59620,8712,4094,4618,44010,21875,22135,6898,4111,2787
94,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",31085,10639,4540,6099,18859,10076,8783,1587,652,935
95,Monroe County (East) PUMA,55869,26910,12524,14386,26949,13273,13676,2010,1187,823
96,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,34502,22694,10473,12221,10729,5762,4967,1079,819,260
97,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",14583,8249,4740,3509,5562,2802,2760,772,457,315
98,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",32694,8646,5008,3638,18876,8650,10226,5172,3254,1918
99,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",15369,5749,2575,3174,8359,4983,3376,1261,584,677
100,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",19057,10547,5100,5447,8131,4021,4110,379,379,0
101,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",52758,49422,23236,26186,3336,2317,1019,0,0,0
102,Chautauqua County PUMA,58760,13146,5788,7358,40057,19988,20069,5557,3350,2207
103,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,16484,6568,3395,3173,9236,4774,4462,680,356,324
104,Erie County (West Central)--Buffalo City (East) PUMA,28074,5805,2724,3081,19217,10264,8953,3052,1444,1608
105,Genesee & Orleans Counties PUMA,47620,10401,4380,6021,33789,17419,16370,3430,1930,1500
106,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",26665,12628,4394,8234,12652,7569,5083,1385,942,443
107,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",50335,11676,4631,7045,34783,18435,16348,3876,1831,2045
108,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,32166,16903,7086,9817,14786,8439,6347,477,138,339
109,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",2818,645,321,324,1811,989,822,362,130,232
110,Suffolk County (East) PUMA,47952,19589,8655,10934,27112,14354,12758,1251,1182,69
111,Orange County (Northwest) PUMA,39811,12396,5365,7031,24614,13103,11511,2801,1550,1251
112,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,44820,13521,6666,6855,27962,13674,14288,3337,1769,1568
113,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",9519,2815,1267,1548,6036,2675,3361,668,390,278
114,Suffolk County (Northwest)--Smithtown Town PUMA,50065,25743,11906,13837,24049,12523,11526,273,78,195
115,Ulster County (East) PUMA,64426,22051,9664,12387,39706,20112,19594,2669,1745,924
116,Westchester County (Northeast) PUMA,52254,35415,17023,18392,16265,8027,8238,574,304,270
117,NYC-Brooklyn Community District 4--Bushwick PUMA,14029,9714,6008,3706,4315,3192,1123,0,0,0
118,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,31233,24933,14312,10621,5808,3351,2457,492,152,340
119,Dutchess County (North & East) PUMA,53137,21923,10099,11824,27990,14688,13302,3224,1811,1413
120,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,8280,4555,1737,2818,3540,2336,1204,185,103,82
121,Broome (Outer West) & Tioga Counties PUMA,51537,13354,6212,7142,34141,17937,16204,4042,2111,1931
122,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",29682,14894,7196,7698,14342,7688,6654,446,232,214
123,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",1857,736,242,494,860,512,348,261,261,0
124,Orange County (Northeast)--Greater Newburgh City PUMA,39250,11843,5337,6506,25787,12687,13100,1620,1125,495
125,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",59993,53545,25859,27686,6308,4080,2228,140,118,22
126,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,18747,13641,7285,6356,4548,2696,1852,558,189,369
127,Onondaga County (North) PUMA,58710,23585,10861,12724,33082,16346,16736,2043,1434,609
128,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,38548,26600,12601,13999,11025,5645,5380,923,515,408
129,Monroe County (North & West) PUMA,48517,17993,8387,9606,28586,13951,14635,1938,1330,608
130,Sullivan & Ulster (West) Counties PUMA,41207,12982,4986,7996,25146,14166,10980,3079,1642,1437
131,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,37263,13815,5528,8287,21464,11079,10385,1984,1238,746
132,Suffolk County (Northwest)--Huntington Town (North) PUMA,36974,23336,10825,12511,13127,6893,6234,511,362,149
133,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",1091,305,128,177,499,131,368,287,157,130
134,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",10145,3867,1583,2284,5772,3414,2358,506,243,263
135,Monroe County (Central)--Rochester City (West) PUMA,17821,5549,3113,2436,9758,4789,4969,2514,1298,1216
136,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,15486,5346,2079,3267,9284,5257,4027,856,582,274
137,Suffolk County (Central)--Islip Town (Northwest) PUMA,15178,2378,846,1532,10810,5309,5501,1990,1262,728
138,Putnam County PUMA,42723,17717,7389,10328,23376,12561,10815,1630,1215,415
139,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,18370,11220,5505,5715,6444,3093,3351,706,280,426
140,Nassau County (Central)--Hempstead Town (East Central) PUMA,44097,26117,11755,14362,17682,10128,7554,298,97,201
141,Suffolk County (Northwest)--Huntington Town (South) PUMA,41362,21466,10447,11019,18787,8871,9916,1109,325,784
142,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",1539,1198,564,634,341,92,249,0,0,0
143,Nassau County (Central)--Hempstead Town (Northeast) PUMA,40798,15855,7772,8083,23624,11609,12015,1319,1026,293
144,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,20980,12404,5689,6715,7847,4676,3171,729,403,326
145,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",25099,8372,4290,4082,13314,6128,7186,3413,2135,1278
146,Capital Region,465195,168625,76622,92003,273356,137207,136149,23214,16350,6864
147,Central NY,338450,111324,51892,59432,205907,103232,102675,21219,12396,8823
148,Finger Lakes,492447,174127,79937,94190,288581,147048,141533,29739,17835,11904
149,Long Island,915594,439089,200070,239019,451587,237546,214041,24918,14472,10446
150,Mid-Hudson,691460,325679,149357,176322,335366,175138,160228,30415,18013,12402
151,Mohawk Valley,214936,51844,22892,28952,144954,75207,69747,18138,9332,8806
152,New York City,1166968,769062,374560,394502,358315,190478,167837,39591,21982,17609
153,North Country,191077,40206,18452,21754,134252,68884,65368,16619,10397,6222
154,Southern Tier,280002,81129,35387,45742,179659,91613,88046,19214,11259,7955
155,Western NY,577988,187050,83873,103177,357799,182786,175013,33139,18949,14190
