,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
41,Suffolk County (Central)--Islip Town (East) PUMA,48817,23382,25435,47589,22701,24888,1228,681,547,20134,8910,11224,19858,8871,10987,276,39,237,27502,13659,13843,26587,13054,13533,915,605,310,1181,813,368,1144,776,368,37,37,0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",27271,12853,14418,20949,10258,10691,6322,2595,3727,12407,6024,6383,10600,5002,5598,1807,1022,785,12841,5573,7268,9522,4564,4958,3319,1009,2310,2023,1256,767,827,692,135,1196,564,632
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",39356,20484,18872,32871,17205,15666,6485,3279,3206,17597,8159,9438,15855,7615,8240,1742,544,1198,19838,11165,8673,16219,9082,7137,3619,2083,1536,1921,1160,761,797,508,289,1124,652,472
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,21805,12354,9451,18833,11212,7621,2972,1142,1830,9804,6175,3629,9232,5685,3547,572,490,82,9576,4539,5037,7907,4129,3778,1669,410,1259,2425,1640,785,1694,1398,296,731,242,489
45,Saratoga County (Outer) PUMA,60452,29935,30517,55320,27580,27740,5132,2355,2777,21326,9631,11695,19978,9443,10535,1348,188,1160,37236,18831,18405,34119,17244,16875,3117,1587,1530,1890,1473,417,1223,893,330,667,580,87
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",32624,14238,18386,23051,10759,12292,9573,3479,6094,7571,3156,4415,6808,2848,3960,763,308,455,21224,9033,12191,14762,7198,7564,6462,1835,4627,3829,2049,1780,1481,713,768,2348,1336,1012
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",25728,12244,13484,21635,10528,11107,4093,1716,2377,10690,4674,6016,10315,4375,5940,375,299,76,13546,6820,6726,10668,5654,5014,2878,1166,1712,1492,750,742,652,499,153,840,251,589
48,Wayne & Seneca Counties PUMA,63060,30666,32394,51136,25611,25525,11924,5055,6869,12992,5820,7172,11998,5288,6710,994,532,462,44948,22104,22844,37035,18856,18179,7913,3248,4665,5120,2742,2378,2103,1467,636,3017,1275,1742
49,Schenectady County--Schenectady City PUMA,69553,34874,34679,57967,29859,28108,11586,5015,6571,25162,11725,13437,24049,11225,12824,1113,500,613,39630,19870,19760,31267,16740,14527,8363,3130,5233,4761,3279,1482,2651,1894,757,2110,1385,725
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,33978,17690,16288,30282,15411,14871,3696,2279,1417,20021,9347,10674,19253,8969,10284,768,378,390,12398,7546,4852,10025,5848,4177,2373,1698,675,1559,797,762,1004,594,410,555,203,352
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,34830,17072,17758,32712,15995,16717,2118,1077,1041,26107,12456,13651,24946,11907,13039,1161,549,612,8340,4331,4009,7608,3944,3664,732,387,345,383,285,98,158,144,14,225,141,84
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,44246,23094,21152,37501,19589,17912,6745,3505,3240,15117,6879,8238,13647,6550,7097,1470,329,1141,27030,14900,12130,22292,12081,10211,4738,2819,1919,2099,1315,784,1562,958,604,537,357,180
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",79678,46310,33368,70082,41066,29016,9596,5244,4352,65979,38496,27483,61721,35289,26432,4258,3207,1051,11788,7052,4736,7684,5356,2328,4104,1696,2408,1911,762,1149,677,421,256,1234,341,893
54,Columbia & Greene Counties PUMA,51608,25056,26552,39185,19679,19506,12423,5377,7046,15463,6716,8747,13881,6436,7445,1582,280,1302,33297,16682,16615,24026,12539,11487,9271,4143,5128,2848,1658,1190,1278,704,574,1570,954,616
55,Rensselaer County--Troy City PUMA,81291,39362,41929,72002,34900,37102,9289,4462,4827,24954,10451,14503,23757,9848,13909,1197,603,594,51228,25544,25684,44727,22324,22403,6501,3220,3281,5109,3367,1742,3518,2728,790,1591,639,952
56,Erie County (West Central)--Buffalo City (West) PUMA,52808,27352,25456,35437,18992,16445,17371,8360,9011,20763,10206,10557,17872,8830,9042,2891,1376,1515,26997,14233,12764,16171,9207,6964,10826,5026,5800,5048,2913,2135,1394,955,439,3654,1958,1696
57,Erie County (South) PUMA,88785,44644,44141,81747,40564,41183,7038,4080,2958,30939,14021,16918,30497,13767,16730,442,254,188,54235,28451,25784,48429,25091,23338,5806,3360,2446,3611,2172,1439,2821,1706,1115,790,466,324
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,67969,33603,34366,50081,25973,24108,17888,7630,10258,18899,8938,9961,16620,7889,8731,2279,1049,1230,42815,21067,21748,31387,16491,14896,11428,4576,6852,6255,3598,2657,2074,1593,481,4181,2005,2176
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",65786,32286,33500,51806,26781,25025,13980,5505,8475,36024,16739,19285,31433,15271,16162,4591,1468,3123,23534,12821,10713,18403,9954,8449,5131,2867,2264,6228,2726,3502,1970,1556,414,4258,1170,3088
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,21164,10087,11077,14471,6886,7585,6693,3201,3492,6764,2415,4349,5153,1521,3632,1611,894,717,9367,4398,4969,7072,3557,3515,2295,841,1454,5033,3274,1759,2246,1808,438,2787,1466,1321
61,NYC-Manhattan Community District 10--Central Harlem PUMA,57580,25716,31864,41110,18787,22323,16470,6929,9541,23625,10047,13578,20362,8855,11507,3263,1192,2071,27046,12241,14805,17334,7880,9454,9712,4361,5351,6909,3428,3481,3414,2052,1362,3495,1376,2119
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,36909,18040,18869,34507,17302,17205,2402,738,1664,20368,9458,10910,19988,9383,10605,380,75,305,15718,8312,7406,14000,7649,6351,1718,663,1055,823,270,553,519,270,249,304,0,304
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,39805,19151,20654,20860,10694,10166,18945,8457,10488,5954,2821,3133,5279,2411,2868,675,410,265,26082,11597,14485,13247,7122,6125,12835,4475,8360,7769,4733,3036,2334,1161,1173,5435,3572,1863
64,Albany County (East Central)--Albany City PUMA,44789,22994,21795,30966,15615,15351,13823,7379,6444,15584,7623,7961,13976,6472,7504,1608,1151,457,24334,12085,12249,15593,8391,7202,8741,3694,5047,4871,3286,1585,1397,752,645,3474,2534,940
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,34130,18882,15248,32256,18135,14121,1874,747,1127,17409,9149,8260,17063,9032,8031,346,117,229,15980,9346,6634,14920,8830,6090,1060,516,544,741,387,354,273,273,0,468,114,354
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,49743,24000,25743,39829,19539,20290,9914,4461,5453,13754,5231,8523,13095,5068,8027,659,163,496,32750,16588,16162,25366,13428,11938,7384,3160,4224,3239,2181,1058,1368,1043,325,1871,1138,733
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",48617,20153,28464,22155,10633,11522,26462,9520,16942,6376,2389,3987,4750,1945,2805,1626,444,1182,28161,10975,17186,13403,6147,7256,14758,4828,9930,14080,6789,7291,4002,2541,1461,10078,4248,5830
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",29274,13593,15681,15315,7481,7834,13959,6112,7847,5475,1702,3773,4762,1702,3060,713,0,713,16222,7275,8947,8597,4454,4143,7625,2821,4804,7577,4616,2961,1956,1325,631,5621,3291,2330
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",32203,15270,16933,26888,13457,13431,5315,1813,3502,15576,7294,8282,14998,7095,7903,578,199,379,13739,6457,7282,10571,5540,5031,3168,917,2251,2888,1519,1369,1319,822,497,1569,697,872
70,Erie County (Northeast) PUMA,54209,26940,27269,49943,25197,24746,4266,1743,2523,23710,10543,13167,22327,9857,12470,1383,686,697,28866,15091,13775,26328,14171,12157,2538,920,1618,1633,1306,327,1288,1169,119,345,137,208
71,NYC-Manhattan Community District 11--East Harlem PUMA,48339,20523,27816,30809,13973,16836,17530,6550,10980,18387,8099,10288,16423,7427,8996,1964,672,1292,21416,9211,12205,12162,5712,6450,9254,3499,5755,8536,3213,5323,2224,834,1390,6312,2379,3933
72,Orange County (Southeast) PUMA,51433,26947,24486,45183,23364,21819,6250,3583,2667,18559,9007,9552,18225,8769,9456,334,238,96,29680,16409,13271,25708,13931,11777,3972,2478,1494,3194,1531,1663,1250,664,586,1944,867,1077
73,Westchester County (Southeast) PUMA,36030,17885,18145,33029,16906,16123,3001,979,2022,24894,11805,13089,23532,11463,12069,1362,342,1020,10044,5126,4918,8595,4541,4054,1449,585,864,1092,954,138,902,902,0,190,52,138
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,59242,30404,28838,50169,26865,23304,9073,3539,5534,37220,19416,17804,34403,17931,16472,2817,1485,1332,18740,9521,9219,13950,7571,6379,4790,1950,2840,3282,1467,1815,1816,1363,453,1466,104,1362
75,Livingston & Wyoming Counties PUMA,48825,24279,24546,39573,20001,19572,9252,4278,4974,9937,3984,5953,9278,3744,5534,659,240,419,34551,17798,16753,27692,14590,13102,6859,3208,3651,4337,2497,1840,2603,1667,936,1734,830,904
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,59564,30139,29425,53427,26650,26777,6137,3489,2648,16479,6507,9972,15850,5986,9864,629,521,108,40682,22150,18532,36468,20260,16208,4214,1890,2324,2403,1482,921,1109,404,705,1294,1078,216
77,Westchester County (Southwest)--Yonkers City PUMA,61701,27180,34521,47746,22836,24910,13955,4344,9611,24695,9700,14995,21748,8574,13174,2947,1126,1821,30768,15074,15694,23437,12646,10791,7331,2428,4903,6238,2406,3832,2561,1616,945,3677,790,2887
78,Erie County (North Central) PUMA,50240,23306,26934,45757,22067,23690,4483,1239,3244,29797,14123,15674,28409,13617,14792,1388,506,882,19922,9013,10909,17129,8382,8747,2793,631,2162,521,170,351,219,68,151,302,102,200
79,Saratoga County (South & Central) PUMA,55139,27084,28055,48596,24948,23648,6543,2136,4407,25024,11637,13387,24007,11553,12454,1017,84,933,27947,14427,13520,23863,13077,10786,4084,1350,2734,2168,1020,1148,726,318,408,1442,702,740
80,Suffolk County (South Central)--Brookhaven Town (South) PUMA,56541,25735,30806,50853,22969,27884,5688,2766,2922,16033,5823,10210,15863,5724,10139,170,99,71,35236,17098,18138,31293,15398,15895,3943,1700,2243,5272,2814,2458,3697,1847,1850,1575,967,608
81,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",71538,33268,38270,64455,30605,33850,7083,2663,4420,24372,11150,13222,23826,10985,12841,546,165,381,45191,20722,24469,39570,18785,20785,5621,1937,3684,1975,1396,579,1059,835,224,916,561,355
82,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,58338,29589,28749,48714,25276,23438,9624,4313,5311,13572,5698,7874,13037,5424,7613,535,274,261,39646,20885,18761,32430,17834,14596,7216,3051,4165,5120,3006,2114,3247,2018,1229,1873,988,885
83,Niagara County (North & East) PUMA,54823,26897,27926,45347,22562,22785,9476,4335,5141,14201,6012,8189,13483,5481,8002,718,531,187,36715,19029,17686,28826,15654,13172,7889,3375,4514,3907,1856,2051,3038,1427,1611,869,429,440
84,Monroe County (Central)--Rochester City (East) PUMA,49704,23468,26236,32264,17405,14859,17440,6063,11377,13133,6077,7056,11858,5662,6196,1275,415,860,29465,13234,16231,17308,9597,7711,12157,3637,8520,7106,4157,2949,3098,2146,952,4008,2011,1997
85,Warren & Washington Counties PUMA,63596,31953,31643,50108,25876,24232,13488,6077,7411,14884,5105,9779,13741,4628,9113,1143,477,666,43319,22890,20429,34176,19524,14652,9143,3366,5777,5393,3958,1435,2191,1724,467,3202,2234,968
86,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,38842,18207,20635,35055,17146,17909,3787,1061,2726,22432,10115,12317,20840,9592,11248,1592,523,1069,15806,7828,7978,13765,7290,6475,2041,538,1503,604,264,340,450,264,186,154,0,154
87,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,51053,23111,27942,38748,18544,20204,12305,4567,7738,25487,11710,13777,23218,10917,12301,2269,793,1476,21703,9542,12161,14081,6892,7189,7622,2650,4972,3863,1859,2004,1449,735,714,2414,1124,1290
88,Onondaga County (Central)--Syracuse City PUMA,57699,27894,29805,40897,20476,20421,16802,7418,9384,18174,8793,9381,15693,7488,8205,2481,1305,1176,30635,15042,15593,20728,10773,9955,9907,4269,5638,8890,4059,4831,4476,2215,2261,4414,1844,2570
89,Westchester County (Central)--White Plains City PUMA,61410,29717,31693,57966,28119,29847,3444,1598,1846,43252,19497,23755,41453,18526,22927,1799,971,828,17018,9633,7385,15762,9185,6577,1256,448,808,1140,587,553,751,408,343,389,179,210
90,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,56982,27981,29001,36306,18015,18291,20676,9966,10710,18648,8224,10424,15583,7123,8460,3065,1101,1964,31123,15815,15308,18064,9685,8379,13059,6130,6929,7211,3942,3269,2659,1207,1452,4552,2735,1817
91,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",41412,18013,23399,20042,9639,10403,21370,8374,12996,5189,1651,3538,4087,1010,3077,1102,641,461,24320,10889,13431,12304,6840,5464,12016,4049,7967,11903,5473,6430,3651,1789,1862,8252,3684,4568
92,Cattaraugus & Allegany Counties PUMA,59611,29463,30148,42983,21281,21702,16628,8182,8446,11069,4709,6360,10022,4239,5783,1047,470,577,41679,21165,20514,30584,15762,14822,11095,5403,5692,6863,3589,3274,2377,1280,1097,4486,2309,2177
93,Oswego County PUMA,61199,30869,30330,49288,24857,24431,11911,6012,5899,9174,4147,5027,8500,3956,4544,674,191,483,44915,22399,22516,37048,18460,18588,7867,3939,3928,7110,4323,2787,3740,2441,1299,3370,1882,1488
94,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",49198,24638,24560,40956,20974,19982,8242,3664,4578,14821,7096,7725,13965,6592,7373,856,504,352,30289,16182,14107,24792,13334,11458,5497,2848,2649,4088,1360,2728,2199,1048,1151,1889,312,1577
95,Monroe County (East) PUMA,63196,30374,32822,57529,27922,29607,5667,2452,3215,28658,13243,15415,27676,12768,14908,982,475,507,31746,15418,16328,27572,13911,13661,4174,1507,2667,2792,1713,1079,2281,1243,1038,511,470,41
96,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,59839,27674,32165,52100,24534,27566,7739,3140,4599,31937,13511,18426,31001,13067,17934,936,444,492,23303,11340,11963,17990,9582,8408,5313,1758,3555,4599,2823,1776,3109,1885,1224,1490,938,552
97,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",35685,16146,19539,25707,12467,13240,9978,3679,6299,13002,6570,6432,11835,6164,5671,1167,406,761,18713,8043,10670,11818,5578,6240,6895,2465,4430,3970,1533,2437,2054,725,1329,1916,808,1108
98,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",39767,22066,17701,24652,14073,10579,15115,7993,7122,11559,6891,4668,8949,5316,3633,2610,1575,1035,21754,11056,10698,12752,6613,6139,9002,4443,4559,6454,4119,2335,2951,2144,807,3503,1975,1528
