,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,42738,22950,19788,34060,20845,13215,8678,2105,6573,20736,9628,11108,17379,9113,8266,3357,515,2842,21730,13146,8584,16516,11663,4853,5214,1483,3731,272,176,96,165,69,96,107,107,0
33,Fulton & Montgomery Counties PUMA,41191,20943,20248,34126,18540,15586,7065,2403,4662,8151,3228,4923,7162,2951,4211,989,277,712,28685,15540,13145,23350,13710,9640,5335,1830,3505,4355,2175,2180,3614,1879,1735,741,296,445
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,67185,33814,33371,56100,30798,25302,11085,3016,8069,30416,15282,15134,25826,14275,11551,4590,1007,3583,35506,17848,17658,29241,15972,13269,6265,1876,4389,1263,684,579,1033,551,482,230,133,97
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,35272,18261,17011,28632,15382,13250,6640,2879,3761,13254,5661,7593,11007,4990,6017,2247,671,1576,20747,11761,8986,16781,9833,6948,3966,1928,2038,1271,839,432,844,559,285,427,280,147
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,39918,19549,20369,32537,17104,15433,7381,2445,4936,7717,3091,4626,6312,2804,3508,1405,287,1118,29690,14912,14778,24774,13409,11365,4916,1503,3413,2511,1546,965,1451,891,560,1060,655,405
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,42923,24046,18877,35840,22020,13820,7083,2026,5057,16902,8624,8278,13494,7317,6177,3408,1307,2101,24790,14407,10383,21217,13790,7427,3573,617,2956,1231,1015,216,1129,913,216,102,102,0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",19259,9375,9884,15800,8500,7300,3459,875,2584,4733,1567,3166,3862,1567,2295,871,0,871,11840,6040,5800,9597,5357,4240,2243,683,1560,2686,1768,918,2341,1576,765,345,192,153
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,8733,4739,3994,7600,4114,3486,1133,625,508,3807,2020,1787,3574,1938,1636,233,82,151,4040,2144,1896,3222,1683,1539,818,461,357,886,575,311,804,493,311,82,82,0
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",55239,28317,26922,47948,24917,23031,7291,3400,3891,47648,23294,24354,41628,20936,20692,6020,2358,3662,6648,4419,2229,5377,3377,2000,1271,1042,229,943,604,339,943,604,339,0,0,0
41,Suffolk County (Central)--Islip Town (East) PUMA,40444,19396,21048,35491,17946,17545,4953,1450,3503,18359,8273,10086,15954,7361,8593,2405,912,1493,21497,10535,10962,19082,10130,8952,2415,405,2010,588,588,0,455,455,0,133,133,0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",22849,10695,12154,18628,8724,9904,4221,1971,2250,11146,5334,5812,9964,4903,5061,1182,431,751,10842,4882,5960,8096,3511,4585,2746,1371,1375,861,479,382,568,310,258,293,169,124
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",31126,17044,14082,25906,15193,10713,5220,1851,3369,14858,6954,7904,11763,6043,5720,3095,911,2184,15464,9568,5896,13625,8789,4836,1839,779,1060,804,522,282,518,361,157,286,161,125
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,17830,10153,7677,15847,9676,6171,1983,477,1506,8866,5679,3187,8030,5330,2700,836,349,487,7333,3344,3989,6186,3216,2970,1147,128,1019,1631,1130,501,1631,1130,501,0,0,0
45,Saratoga County (Outer) PUMA,50543,26708,23835,42601,24703,17898,7942,2005,5937,18280,8956,9324,16182,8362,7820,2098,594,1504,31285,16954,14331,25561,15543,10018,5724,1411,4313,978,798,180,858,798,60,120,0,120
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",23868,11075,12793,18971,7966,11005,4897,3109,1788,6423,2637,3786,5361,1788,3573,1062,849,213,15596,7445,8151,11843,5185,6658,3753,2260,1493,1849,993,856,1767,993,774,82,0,82
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",18747,9939,8808,15496,9061,6435,3251,878,2373,9378,4164,5214,7852,3827,4025,1526,337,1189,8757,5426,3331,7287,4967,2320,1470,459,1011,612,349,263,357,267,90,255,82,173
48,Wayne & Seneca Counties PUMA,49563,25814,23749,41612,22708,18904,7951,3106,4845,11753,5306,6447,9705,4464,5241,2048,842,1206,34782,18280,16502,29867,16658,13209,4915,1622,3293,3028,2228,800,2040,1586,454,988,642,346
49,Schenectady County--Schenectady City PUMA,54849,28618,26231,45326,24594,20732,9523,4024,5499,22406,10804,11602,19988,10515,9473,2418,289,2129,29918,16320,13598,24165,13252,10913,5753,3068,2685,2525,1494,1031,1173,827,346,1352,667,685
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,28458,15262,13196,25249,13763,11486,3209,1499,1710,18292,8675,9617,16945,8226,8719,1347,449,898,9408,6258,3150,7704,5260,2444,1704,998,706,758,329,429,600,277,323,158,52,106
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,29018,15912,13106,25457,15200,10257,3561,712,2849,21404,11573,9831,18340,11190,7150,3064,383,2681,7265,4088,3177,6920,3827,3093,345,261,84,349,251,98,197,183,14,152,68,84
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,35034,19237,15797,27663,15600,12063,7371,3637,3734,12965,5463,7502,10680,4564,6116,2285,899,1386,20673,12622,8051,15911,9964,5947,4762,2658,2104,1396,1152,244,1072,1072,0,324,80,244
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",70259,41063,29196,62693,36994,25699,7566,4069,3497,60371,34992,25379,55243,32400,22843,5128,2592,2536,9211,5650,3561,7211,4492,2719,2000,1158,842,677,421,256,239,102,137,438,319,119
54,Columbia & Greene Counties PUMA,39074,20194,18880,31979,17804,14175,7095,2390,4705,13348,6227,7121,11057,5819,5238,2291,408,1883,24152,12980,11172,20065,11385,8680,4087,1595,2492,1574,987,587,857,600,257,717,387,330
55,Rensselaer County--Troy City PUMA,69255,35616,33639,59117,31768,27349,10138,3848,6290,23201,9922,13279,19679,8975,10704,3522,947,2575,42893,23207,19686,37005,20653,16352,5888,2554,3334,3161,2487,674,2433,2140,293,728,347,381
56,Erie County (West Central)--Buffalo City (West) PUMA,38097,20239,17858,32432,17879,14553,5665,2360,3305,19459,9600,9859,16839,8699,8140,2620,901,1719,17096,9638,7458,14271,8188,6083,2825,1450,1375,1542,1001,541,1322,992,330,220,9,211
57,Erie County (South) PUMA,75740,39218,36522,64286,36554,27732,11454,2664,8790,28634,12948,15686,24837,11970,12867,3797,978,2819,44777,24619,20158,37312,23007,14305,7465,1612,5853,2329,1651,678,2137,1577,560,192,74,118
