,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NRB_mf_t,Total_NRB_m,Total_NRB_f,Total_RB_mf_t,Total_RB_m,Total_RB_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NRB_mf_t,BABS_NRB_m,BABS_NRB_f,BABS_RB_mf_t,BABS_RB_m,BABS_RB_f,Total_HS,Total_HS_m,Total_HS_f,HS_NRB_mf_t,HS_NRB_m,HS_NRB_f,HS_RB_mf_t,HS_RB_m,HS_RB_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NRB_mf_t,HSINC_NRB_m,HSINC_NRB_f,HSINC_RB_mf_t,HSINC_RB_m,HSINC_RB_f
127,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",821.0,393.0,428.0,597.0,393.0,204.0,224.0,0.0,224.0,183.0,183.0,0.0,183.0,183.0,0.0,0.0,0.0,0.0,414.0,210.0,204.0,414.0,210.0,204.0,0.0,0.0,0.0,224.0,0.0,224.0,0.0,0.0,0.0,224.0,0.0,224.0
128,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",9175.0,5732.0,3443.0,7323.0,4439.0,2884.0,1852.0,1293.0,559.0,1954.0,1561.0,393.0,1788.0,1561.0,227.0,166.0,0.0,166.0,5260.0,2635.0,2625.0,4220.0,1892.0,2328.0,1040.0,743.0,297.0,1961.0,1536.0,425.0,1315.0,986.0,329.0,646.0,550.0,96.0
129,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,6156.0,3272.0,2884.0,4895.0,2885.0,2010.0,1261.0,387.0,874.0,2701.0,1121.0,1580.0,2161.0,1121.0,1040.0,540.0,0.0,540.0,2594.0,1586.0,1008.0,2217.0,1421.0,796.0,377.0,165.0,212.0,861.0,565.0,296.0,517.0,343.0,174.0,344.0,222.0,122.0
130,Westchester County (Southwest)--Yonkers City PUMA,11108.0,5917.0,5191.0,6901.0,4250.0,2651.0,4207.0,1667.0,2540.0,574.0,264.0,310.0,574.0,264.0,310.0,0.0,0.0,0.0,6936.0,3443.0,3493.0,4566.0,2846.0,1720.0,2370.0,597.0,1773.0,3598.0,2210.0,1388.0,1761.0,1140.0,621.0,1837.0,1070.0,767.0
131,Broome (Outer West) & Tioga Counties PUMA,37.0,37.0,0.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,37.0,0.0,37.0,37.0,0.0,0.0,0.0,0.0
132,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,3115.0,1326.0,1789.0,2574.0,1274.0,1300.0,541.0,52.0,489.0,996.0,339.0,657.0,706.0,287.0,419.0,290.0,52.0,238.0,1293.0,722.0,571.0,1114.0,722.0,392.0,179.0,0.0,179.0,826.0,265.0,561.0,754.0,265.0,489.0,72.0,0.0,72.0
133,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",8679.0,4415.0,4264.0,6161.0,3458.0,2703.0,2518.0,957.0,1561.0,2252.0,1186.0,1066.0,1436.0,670.0,766.0,816.0,516.0,300.0,6042.0,2997.0,3045.0,4383.0,2556.0,1827.0,1659.0,441.0,1218.0,385.0,232.0,153.0,342.0,232.0,110.0,43.0,0.0,43.0
134,NYC-Manhattan Community District 10--Central Harlem PUMA,4112.0,1466.0,2646.0,2684.0,675.0,2009.0,1428.0,791.0,637.0,806.0,0.0,806.0,671.0,0.0,671.0,135.0,0.0,135.0,2150.0,1092.0,1058.0,1586.0,675.0,911.0,564.0,417.0,147.0,1156.0,374.0,782.0,427.0,0.0,427.0,729.0,374.0,355.0
135,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",1028.0,591.0,437.0,1028.0,591.0,437.0,0.0,0.0,0.0,219.0,153.0,66.0,219.0,153.0,66.0,0.0,0.0,0.0,582.0,370.0,212.0,582.0,370.0,212.0,0.0,0.0,0.0,227.0,68.0,159.0,227.0,68.0,159.0,0.0,0.0,0.0
136,Erie County (Northwest) PUMA,126.0,0.0,126.0,126.0,0.0,126.0,0.0,0.0,0.0,126.0,0.0,126.0,126.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,7835.0,4330.0,3505.0,7088.0,3886.0,3202.0,747.0,444.0,303.0,1420.0,1009.0,411.0,1349.0,938.0,411.0,71.0,71.0,0.0,4625.0,2043.0,2582.0,4277.0,1839.0,2438.0,348.0,204.0,144.0,1790.0,1278.0,512.0,1462.0,1109.0,353.0,328.0,169.0,159.0
138,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",858.0,495.0,363.0,858.0,495.0,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.0,495.0,363.0,858.0,495.0,363.0,0.0,0.0,0.0
140,Nassau County (West Central)--Hempstead Town (West Central) PUMA,816.0,0.0,816.0,475.0,0.0,475.0,341.0,0.0,341.0,131.0,0.0,131.0,131.0,0.0,131.0,0.0,0.0,0.0,344.0,0.0,344.0,344.0,0.0,344.0,0.0,0.0,0.0,341.0,0.0,341.0,0.0,0.0,0.0,341.0,0.0,341.0
141,Nassau County (Central)--Hempstead Town (Northeast) PUMA,126.0,126.0,0.0,126.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,126.0,0.0,126.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,888.0,469.0,419.0,0.0,0.0,0.0,888.0,469.0,419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,84.0,0.0,0.0,0.0,0.0,84.0,84.0,0.0,804.0,385.0,419.0,0.0,0.0,0.0,804.0,385.0,419.0
143,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,3086.0,2435.0,651.0,1765.0,1368.0,397.0,1321.0,1067.0,254.0,367.0,167.0,200.0,288.0,88.0,200.0,79.0,79.0,0.0,1757.0,1490.0,267.0,918.0,828.0,90.0,839.0,662.0,177.0,962.0,778.0,184.0,559.0,452.0,107.0,403.0,326.0,77.0
144,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,1740.0,1190.0,550.0,1255.0,1007.0,248.0,485.0,183.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1309.0,1007.0,302.0,1007.0,1007.0,0.0,302.0,0.0,302.0,431.0,183.0,248.0,248.0,0.0,248.0,183.0,183.0,0.0
145,Nassau County (West Central)--North Hempstead Town (South) PUMA,2995.0,1965.0,1030.0,2024.0,1462.0,562.0,971.0,503.0,468.0,339.0,339.0,0.0,278.0,278.0,0.0,61.0,61.0,0.0,1568.0,1008.0,560.0,1111.0,711.0,400.0,457.0,297.0,160.0,1088.0,618.0,470.0,635.0,473.0,162.0,453.0,145.0,308.0
146,Capital Region,596.0,189.0,407.0,596.0,189.0,407.0,0.0,0.0,0.0,105.0,0.0,105.0,105.0,0.0,105.0,0.0,0.0,0.0,491.0,189.0,302.0,491.0,189.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,Central NY,742.0,248.0,494.0,549.0,138.0,411.0,193.0,110.0,83.0,335.0,108.0,227.0,335.0,108.0,227.0,0.0,0.0,0.0,407.0,140.0,267.0,214.0,30.0,184.0,193.0,110.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,Finger Lakes,1548.0,683.0,865.0,1014.0,643.0,371.0,534.0,40.0,494.0,1043.0,429.0,614.0,622.0,429.0,193.0,421.0,0.0,421.0,355.0,129.0,226.0,282.0,129.0,153.0,73.0,0.0,73.0,150.0,125.0,25.0,110.0,85.0,25.0,40.0,40.0,0.0
149,Long Island,33866.0,19055.0,14811.0,25147.0,14466.0,10681.0,8719.0,4589.0,4130.0,2696.0,1373.0,1323.0,2383.0,1312.0,1071.0,313.0,61.0,252.0,20091.0,11413.0,8678.0,15994.0,8575.0,7419.0,4097.0,2838.0,1259.0,11079.0,6269.0,4810.0,6770.0,4579.0,2191.0,4309.0,1690.0,2619.0
150,Mid-Hudson,50562.0,28007.0,22555.0,37697.0,21734.0,15963.0,12865.0,6273.0,6592.0,7750.0,5208.0,2542.0,6570.0,4498.0,2072.0,1180.0,710.0,470.0,30616.0,16557.0,14059.0,21887.0,12064.0,9823.0,8729.0,4493.0,4236.0,12196.0,6242.0,5954.0,9240.0,5172.0,4068.0,2956.0,1070.0,1886.0
151,Mohawk Valley,351.0,155.0,196.0,351.0,155.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,155.0,46.0,201.0,155.0,46.0,0.0,0.0,0.0,150.0,0.0,150.0,150.0,0.0,150.0,0.0,0.0,0.0
152,New York City,268593.0,137155.0,131438.0,208677.0,109764.0,98913.0,59916.0,27391.0,32525.0,56635.0,23128.0,33507.0,47822.0,19377.0,28445.0,8813.0,3751.0,5062.0,155640.0,81563.0,74077.0,122923.0,67113.0,55810.0,32717.0,14450.0,18267.0,56318.0,32464.0,23854.0,37932.0,23274.0,14658.0,18386.0,9190.0,9196.0
153,North Country,386.0,60.0,326.0,386.0,60.0,326.0,0.0,0.0,0.0,60.0,60.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,269.0,0.0,269.0,269.0,0.0,269.0,0.0,0.0,0.0,57.0,0.0,57.0,57.0,0.0,57.0,0.0,0.0,0.0
154,Southern Tier,342.0,284.0,58.0,203.0,145.0,58.0,139.0,139.0,0.0,50.0,50.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.0,234.0,58.0,153.0,95.0,58.0,139.0,139.0,0.0
155,Western NY,1251.0,709.0,542.0,1251.0,709.0,542.0,0.0,0.0,0.0,406.0,215.0,191.0,406.0,215.0,191.0,0.0,0.0,0.0,439.0,439.0,0.0,439.0,439.0,0.0,0.0,0.0,0.0,406.0,55.0,351.0,406.0,55.0,351.0,0.0,0.0,0.0
