,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
98,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,153.0,153.0,0.0,0.0,0.0,0.0,153.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,153.0,0.0,0.0,0.0,0.0,153.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,Monroe County (East) PUMA,2521.0,967.0,1554.0,2095.0,967.0,1128.0,426.0,0.0,426.0,1009.0,421.0,588.0,692.0,421.0,271.0,317.0,0.0,317.0,1432.0,546.0,886.0,1323.0,546.0,777.0,109.0,0.0,109.0,80.0,0.0,80.0,80.0,0.0,80.0,0.0,0.0,0.0
100,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",4755.0,2417.0,2338.0,3768.0,2050.0,1718.0,987.0,367.0,620.0,1315.0,437.0,878.0,1315.0,437.0,878.0,0.0,0.0,0.0,3283.0,1823.0,1460.0,2296.0,1456.0,840.0,987.0,367.0,620.0,157.0,157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0
101,Erie County (South) PUMA,873.0,319.0,554.0,603.0,238.0,365.0,270.0,81.0,189.0,345.0,156.0,189.0,75.0,75.0,0.0,270.0,81.0,189.0,528.0,163.0,365.0,528.0,163.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Monroe County (Central)--Greece & Gates Towns PUMA,2283.0,923.0,1360.0,983.0,577.0,406.0,1300.0,346.0,954.0,255.0,34.0,221.0,80.0,34.0,46.0,175.0,0.0,175.0,1595.0,825.0,770.0,658.0,479.0,179.0,937.0,346.0,591.0,433.0,64.0,369.0,245.0,64.0,181.0,188.0,0.0,188.0
103,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,8975.0,4214.0,4761.0,2536.0,946.0,1590.0,6439.0,3268.0,3171.0,3301.0,1155.0,2146.0,1435.0,301.0,1134.0,1866.0,854.0,1012.0,4787.0,2631.0,2156.0,818.0,645.0,173.0,3969.0,1986.0,1983.0,887.0,428.0,459.0,283.0,0.0,283.0,604.0,428.0,176.0
104,NYC-Manhattan Community District 11--East Harlem PUMA,20943.0,9773.0,11170.0,1270.0,534.0,736.0,19673.0,9239.0,10434.0,4515.0,1384.0,3131.0,260.0,195.0,65.0,4255.0,1189.0,3066.0,11104.0,4951.0,6153.0,1010.0,339.0,671.0,10094.0,4612.0,5482.0,5324.0,3438.0,1886.0,0.0,0.0,0.0,5324.0,3438.0,1886.0
105,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",10426.0,5077.0,5349.0,4268.0,2106.0,2162.0,6158.0,2971.0,3187.0,2435.0,703.0,1732.0,1077.0,272.0,805.0,1358.0,431.0,927.0,6620.0,3689.0,2931.0,2670.0,1653.0,1017.0,3950.0,2036.0,1914.0,1371.0,685.0,686.0,521.0,181.0,340.0,850.0,504.0,346.0
106,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,10773.0,5689.0,5084.0,1118.0,624.0,494.0,9655.0,5065.0,4590.0,5406.0,3126.0,2280.0,551.0,372.0,179.0,4855.0,2754.0,2101.0,3909.0,1781.0,2128.0,346.0,206.0,140.0,3563.0,1575.0,1988.0,1458.0,782.0,676.0,221.0,46.0,175.0,1237.0,736.0,501.0
107,Onondaga County (North) PUMA,1213.0,616.0,597.0,301.0,158.0,143.0,912.0,458.0,454.0,495.0,134.0,361.0,134.0,134.0,0.0,361.0,0.0,361.0,461.0,225.0,236.0,167.0,24.0,143.0,294.0,201.0,93.0,257.0,257.0,0.0,0.0,0.0,0.0,257.0,257.0,0.0
108,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,5300.0,3232.0,2068.0,833.0,552.0,281.0,4467.0,2680.0,1787.0,1530.0,621.0,909.0,325.0,148.0,177.0,1205.0,473.0,732.0,2650.0,1710.0,940.0,508.0,404.0,104.0,2142.0,1306.0,836.0,1120.0,901.0,219.0,0.0,0.0,0.0,1120.0,901.0,219.0
