,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NRB_mf_t,Total_NRB_m,Total_NRB_f,Total_RB_mf_t,Total_RB_m,Total_RB_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NRB_mf_t,BABS_NRB_m,BABS_NRB_f,BABS_RB_mf_t,BABS_RB_m,BABS_RB_f,Total_HS,Total_HS_m,Total_HS_f,HS_NRB_mf_t,HS_NRB_m,HS_NRB_f,HS_RB_mf_t,HS_RB_m,HS_RB_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NRB_mf_t,HSINC_NRB_m,HSINC_NRB_f,HSINC_RB_mf_t,HSINC_RB_m,HSINC_RB_f
90,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,1039.0,448.0,591.0,581.0,271.0,310.0,458.0,177.0,281.0,660.0,177.0,483.0,310.0,0.0,310.0,350.0,177.0,173.0,108.0,0.0,108.0,0.0,0.0,0.0,108.0,0.0,108.0,271.0,271.0,0.0,271.0,271.0,0.0,0.0,0.0,0.0
91,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",201.0,146.0,55.0,201.0,146.0,55.0,0.0,0.0,0.0,55.0,0.0,55.0,55.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,146.0,0.0,146.0,146.0,0.0,0.0,0.0,0.0
92,Cattaraugus & Allegany Counties PUMA,63.0,43.0,20.0,63.0,43.0,20.0,0.0,0.0,0.0,63.0,43.0,20.0,63.0,43.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,Oswego County PUMA,108.0,37.0,71.0,37.0,37.0,0.0,71.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,37.0,71.0,37.0,37.0,0.0,71.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",6626.0,3264.0,3362.0,4382.0,2048.0,2334.0,2244.0,1216.0,1028.0,1640.0,800.0,840.0,1127.0,651.0,476.0,513.0,149.0,364.0,4587.0,2144.0,2443.0,3115.0,1336.0,1779.0,1472.0,808.0,664.0,399.0,320.0,79.0,140.0,61.0,79.0,259.0,259.0,0.0
95,Monroe County (East) PUMA,484.0,484.0,0.0,0.0,0.0,0.0,484.0,484.0,0.0,51.0,51.0,0.0,0.0,0.0,0.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,433.0,0.0,0.0,0.0,0.0,433.0,433.0,0.0
96,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,1320.0,919.0,401.0,1121.0,720.0,401.0,199.0,199.0,0.0,869.0,596.0,273.0,670.0,397.0,273.0,199.0,199.0,0.0,451.0,323.0,128.0,451.0,323.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",380.0,92.0,288.0,380.0,92.0,288.0,0.0,0.0,0.0,380.0,92.0,288.0,380.0,92.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",3929.0,2276.0,1653.0,2570.0,1491.0,1079.0,1359.0,785.0,574.0,1514.0,717.0,797.0,1470.0,673.0,797.0,44.0,44.0,0.0,1744.0,1097.0,647.0,878.0,670.0,208.0,866.0,427.0,439.0,671.0,462.0,209.0,222.0,148.0,74.0,449.0,314.0,135.0
99,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",323.0,0.0,323.0,323.0,0.0,323.0,0.0,0.0,0.0,88.0,0.0,88.0,88.0,0.0,88.0,0.0,0.0,0.0,97.0,0.0,97.0,97.0,0.0,97.0,0.0,0.0,0.0,138.0,0.0,138.0,138.0,0.0,138.0,0.0,0.0,0.0
100,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",1075.0,649.0,426.0,1075.0,649.0,426.0,0.0,0.0,0.0,656.0,408.0,248.0,656.0,408.0,248.0,0.0,0.0,0.0,419.0,241.0,178.0,419.0,241.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",1937.0,921.0,1016.0,1845.0,829.0,1016.0,92.0,92.0,0.0,1647.0,754.0,893.0,1555.0,662.0,893.0,92.0,92.0,0.0,290.0,167.0,123.0,290.0,167.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Chautauqua County PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,464.0,396.0,68.0,0.0,0.0,0.0,464.0,396.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.0,396.0,68.0,0.0,0.0,0.0,464.0,396.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
