,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
103,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,49838.0,21989.0,27849.0,30702.0,15154.0,15548.0,19136.0,6835.0,12301.0,18278.0,6669.0,11609.0,11588.0,4782.0,6806.0,6690.0,1887.0,4803.0,28601.0,13606.0,14995.0,17491.0,9312.0,8179.0,11110.0,4294.0,6816.0,2959.0,1714.0,1245.0,1623.0,1060.0,563.0,1336.0,654.0,682.0
104,Erie County (West Central)--Buffalo City (East) PUMA,65333.0,30004.0,35329.0,30082.0,14367.0,15715.0,35251.0,15637.0,19614.0,10741.0,4522.0,6219.0,7495.0,2505.0,4990.0,3246.0,2017.0,1229.0,44900.0,21887.0,23013.0,19857.0,10557.0,9300.0,25043.0,11330.0,13713.0,9692.0,3595.0,6097.0,2730.0,1305.0,1425.0,6962.0,2290.0,4672.0
105,Genesee & Orleans Counties PUMA,49729.0,25870.0,23859.0,40979.0,21046.0,19933.0,8750.0,4824.0,3926.0,10591.0,4519.0,6072.0,9649.0,4111.0,5538.0,942.0,408.0,534.0,35092.0,18965.0,16127.0,28667.0,15538.0,13129.0,6425.0,3427.0,2998.0,4046.0,2386.0,1660.0,2663.0,1397.0,1266.0,1383.0,989.0,394.0
106,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",56838.0,26571.0,30267.0,34955.0,17266.0,17689.0,21883.0,9305.0,12578.0,20022.0,8541.0,11481.0,16111.0,7177.0,8934.0,3911.0,1364.0,2547.0,31718.0,15781.0,15937.0,17848.0,9786.0,8062.0,13870.0,5995.0,7875.0,5098.0,2249.0,2849.0,996.0,303.0,693.0,4102.0,1946.0,2156.0
107,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",51399.0,25501.0,25898.0,40348.0,20176.0,20172.0,11051.0,5325.0,5726.0,11995.0,4759.0,7236.0,10788.0,4352.0,6436.0,1207.0,407.0,800.0,35362.0,18818.0,16544.0,26862.0,14283.0,12579.0,8500.0,4535.0,3965.0,4042.0,1924.0,2118.0,2698.0,1541.0,1157.0,1344.0,383.0,961.0
108,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,40270.0,20094.0,20176.0,36068.0,17946.0,18122.0,4202.0,2148.0,2054.0,20529.0,8829.0,11700.0,18609.0,8284.0,10325.0,1920.0,545.0,1375.0,19187.0,11050.0,8137.0,16905.0,9447.0,7458.0,2282.0,1603.0,679.0,554.0,215.0,339.0,554.0,215.0,339.0,0.0,0.0,0.0
109,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",49679.0,21899.0,27780.0,12536.0,7260.0,5276.0,37143.0,14639.0,22504.0,9405.0,3261.0,6144.0,3217.0,1356.0,1861.0,6188.0,1905.0,4283.0,30202.0,13741.0,16461.0,7454.0,4687.0,2767.0,22748.0,9054.0,13694.0,10072.0,4897.0,5175.0,1865.0,1217.0,648.0,8207.0,3680.0,4527.0
110,Suffolk County (East) PUMA,52408.0,26359.0,26049.0,42798.0,21311.0,21487.0,9610.0,5048.0,4562.0,21488.0,9901.0,11587.0,19355.0,9333.0,10022.0,2133.0,568.0,1565.0,30011.0,15588.0,14423.0,22905.0,11479.0,11426.0,7106.0,4109.0,2997.0,909.0,870.0,39.0,538.0,499.0,39.0,371.0,371.0,0.0
111,Orange County (Northwest) PUMA,55492.0,26533.0,28959.0,36864.0,18016.0,18848.0,18628.0,8517.0,10111.0,16304.0,6505.0,9799.0,12395.0,4920.0,7475.0,3909.0,1585.0,2324.0,34325.0,17812.0,16513.0,23100.0,12394.0,10706.0,11225.0,5418.0,5807.0,4863.0,2216.0,2647.0,1369.0,702.0,667.0,3494.0,1514.0,1980.0
112,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,50531.0,24419.0,26112.0,29160.0,15124.0,14036.0,21371.0,9295.0,12076.0,15755.0,7716.0,8039.0,10758.0,5479.0,5279.0,4997.0,2237.0,2760.0,30831.0,14844.0,15987.0,17516.0,9150.0,8366.0,13315.0,5694.0,7621.0,3945.0,1859.0,2086.0,886.0,495.0,391.0,3059.0,1364.0,1695.0
