,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,35840,22020,13820,35249,21939,13310,591,81,510,13494,7317,6177,13289,7317,5972,205,0,205,21217,13790,7427,21047,13709,7338,170,81,89,1129,913,216,913,913,0,216,0,216
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",15800,8500,7300,13597,7342,6255,2203,1158,1045,3862,1567,2295,3862,1567,2295,0,0,0,9597,5357,4240,8201,4675,3526,1396,682,714,2341,1576,765,1534,1100,434,807,476,331
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,7600,4114,3486,6459,3925,2534,1141,189,952,3574,1938,1636,3089,1938,1151,485,0,485,3222,1683,1539,2566,1494,1072,656,189,467,804,493,311,804,493,311,0,0,0
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",47948,24917,23031,46894,24828,22066,1054,89,965,41628,20936,20692,41198,20936,20262,430,0,430,5377,3377,2000,4753,3288,1465,624,89,535,943,604,339,943,604,339,0,0,0
41,Suffolk County (Central)--Islip Town (East) PUMA,35443,17946,17497,35305,17946,17359,138,0,138,15906,7361,8545,15906,7361,8545,0,0,0,19082,10130,8952,18944,10130,8814,138,0,138,455,455,0,455,455,0,0,0,0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",18628,8724,9904,16602,8047,8555,2026,677,1349,9964,4903,5061,9207,4641,4566,757,262,495,8096,3511,4585,7137,3235,3902,959,276,683,568,310,258,258,171,87,310,139,171
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",25867,15154,10713,23893,13643,10250,1974,1511,463,11724,6004,5720,11565,5845,5720,159,159,0,13625,8789,4836,11977,7604,4373,1648,1185,463,518,361,157,351,194,157,167,167,0
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,15847,9676,6171,14856,9265,5591,991,411,580,8030,5330,2700,7941,5241,2700,89,89,0,6186,3216,2970,5842,3136,2706,344,80,264,1631,1130,501,1073,888,185,558,242,316
45,Saratoga County (Outer) PUMA,42601,24703,17898,41192,23749,17443,1409,954,455,16182,8362,7820,16032,8288,7744,150,74,76,25561,15543,10018,24341,14663,9678,1220,880,340,858,798,60,819,798,21,39,0,39
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",18971,7966,11005,16171,7328,8843,2800,638,2162,5361,1788,3573,5248,1788,3460,113,0,113,11843,5185,6658,9524,4827,4697,2319,358,1961,1767,993,774,1399,713,686,368,280,88
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",15496,9061,6435,14429,8478,5951,1067,583,484,7852,3827,4025,7673,3681,3992,179,146,33,7287,4967,2320,6399,4530,1869,888,437,451,357,267,90,357,267,90,0,0,0
48,Wayne & Seneca Counties PUMA,41373,22469,18904,38071,20759,17312,3302,1710,1592,9705,4464,5241,9523,4317,5206,182,147,35,29748,16539,13209,27187,15499,11688,2561,1040,1521,1920,1466,454,1361,943,418,559,523,36
49,Schenectady County--Schenectady City PUMA,45139,24407,20732,42783,23651,19132,2356,756,1600,19988,10515,9473,19531,10229,9302,457,286,171,23978,13065,10913,22254,12595,9659,1724,470,1254,1173,827,346,998,827,171,175,0,175
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,25249,13763,11486,24263,13079,11184,986,684,302,16945,8226,8719,16771,8226,8545,174,0,174,7704,5260,2444,7104,4660,2444,600,600,0,600,277,323,388,193,195,212,84,128
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,25334,15077,10257,24717,14611,10106,617,466,151,18340,11190,7150,18033,10932,7101,307,258,49,6797,3704,3093,6594,3603,2991,203,101,102,197,183,14,90,76,14,107,107,0
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,27663,15600,12063,25716,14453,11263,1947,1147,800,10680,4564,6116,9961,4340,5621,719,224,495,15911,9964,5947,14980,9338,5642,931,626,305,1072,1072,0,775,775,0,297,297,0
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",62669,36978,25691,60665,36424,24241,2004,554,1450,55219,32384,22835,54416,32015,22401,803,369,434,7211,4492,2719,6010,4307,1703,1201,185,1016,239,102,137,239,102,137,0,0,0
