,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NRB_mf_t,Total_NRB_m,Total_NRB_f,Total_RB_mf_t,Total_RB_m,Total_RB_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NRB_mf_t,BABS_NRB_m,BABS_NRB_f,BABS_RB_mf_t,BABS_RB_m,BABS_RB_f,Total_HS,Total_HS_m,Total_HS_f,HS_NRB_mf_t,HS_NRB_m,HS_NRB_f,HS_RB_mf_t,HS_RB_m,HS_RB_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NRB_mf_t,HSINC_NRB_m,HSINC_NRB_f,HSINC_RB_mf_t,HSINC_RB_m,HSINC_RB_f
85,Warren & Washington Counties PUMA,12823.0,6331.0,6492.0,9462.0,4532.0,4930.0,3361.0,1799.0,1562.0,1865.0,369.0,1496.0,1723.0,369.0,1354.0,142.0,0.0,142.0,9959.0,5304.0,4655.0,7167.0,3893.0,3274.0,2792.0,1411.0,1381.0,999.0,658.0,341.0,572.0,270.0,302.0,427.0,388.0,39.0
86,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,8803.0,3815.0,4988.0,6185.0,3147.0,3038.0,2618.0,668.0,1950.0,4075.0,1558.0,2517.0,3108.0,1077.0,2031.0,967.0,481.0,486.0,4619.0,2148.0,2471.0,2968.0,1961.0,1007.0,1651.0,187.0,1464.0,109.0,109.0,0.0,109.0,109.0,0.0,0.0,0.0,0.0
87,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,40869.0,17282.0,23587.0,33326.0,14825.0,18501.0,7543.0,2457.0,5086.0,20968.0,9104.0,11864.0,19318.0,8793.0,10525.0,1650.0,311.0,1339.0,16447.0,6680.0,9767.0,11892.0,5195.0,6697.0,4555.0,1485.0,3070.0,3454.0,1498.0,1956.0,2116.0,837.0,1279.0,1338.0,661.0,677.0
88,Onondaga County (Central)--Syracuse City PUMA,32204.0,14987.0,17217.0,25301.0,12391.0,12910.0,6903.0,2596.0,4307.0,7997.0,3713.0,4284.0,7607.0,3485.0,4122.0,390.0,228.0,162.0,17130.0,8120.0,9010.0,12757.0,6500.0,6257.0,4373.0,1620.0,2753.0,7077.0,3154.0,3923.0,4937.0,2406.0,2531.0,2140.0,748.0,1392.0
89,Westchester County (Central)--White Plains City PUMA,14543.0,6968.0,7575.0,12834.0,6418.0,6416.0,1709.0,550.0,1159.0,8015.0,3354.0,4661.0,7030.0,3053.0,3977.0,985.0,301.0,684.0,6274.0,3360.0,2914.0,5550.0,3111.0,2439.0,724.0,249.0,475.0,254.0,254.0,0.0,254.0,254.0,0.0,0.0,0.0,0.0
90,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,38563.0,18328.0,20235.0,29574.0,14565.0,15009.0,8989.0,3763.0,5226.0,12234.0,5641.0,6593.0,10256.0,4814.0,5442.0,1978.0,827.0,1151.0,21118.0,10041.0,11077.0,16254.0,7910.0,8344.0,4864.0,2131.0,2733.0,5211.0,2646.0,2565.0,3064.0,1841.0,1223.0,2147.0,805.0,1342.0
91,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",34383.0,14374.0,20009.0,26700.0,11867.0,14833.0,7683.0,2507.0,5176.0,4467.0,1329.0,3138.0,4052.0,1130.0,2922.0,415.0,199.0,216.0,20858.0,9311.0,11547.0,16549.0,7962.0,8587.0,4309.0,1349.0,2960.0,9058.0,3734.0,5324.0,6099.0,2775.0,3324.0,2959.0,959.0,2000.0
92,Cattaraugus & Allegany Counties PUMA,13243.0,6209.0,7034.0,10826.0,5305.0,5521.0,2417.0,904.0,1513.0,2027.0,785.0,1242.0,1649.0,703.0,946.0,378.0,82.0,296.0,9616.0,4635.0,4981.0,8157.0,4105.0,4052.0,1459.0,530.0,929.0,1600.0,789.0,811.0,1020.0,497.0,523.0,580.0,292.0,288.0
93,Oswego County PUMA,11665.0,5570.0,6095.0,9301.0,4094.0,5207.0,2364.0,1476.0,888.0,834.0,358.0,476.0,798.0,358.0,440.0,36.0,0.0,36.0,8271.0,4076.0,4195.0,6763.0,3420.0,3343.0,1508.0,656.0,852.0,2560.0,1136.0,1424.0,1740.0,316.0,1424.0,820.0,820.0,0.0
94,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",25982.0,12324.0,13658.0,22200.0,10399.0,11801.0,3782.0,1925.0,1857.0,7030.0,3119.0,3911.0,6607.0,2955.0,3652.0,423.0,164.0,259.0,15941.0,8081.0,7860.0,13244.0,6506.0,6738.0,2697.0,1575.0,1122.0,3011.0,1124.0,1887.0,2349.0,938.0,1411.0,662.0,186.0,476.0
