,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
35,Genesee & Orleans Counties PUMA,34191,19610,14581,49942.1656576292,57609.65150433452,39630.15705370002,8230,3657,4573,68131.86585662211,91486.54252119224,49455.27443691231,24530,14761,9769,45015.993885038726,51426.2570286566,35330.05937148121,1431,1192,239,29772.88609364081,30248.322147651008,27401.673640167362
36,Monroe County (Central)--Rochester City (West) PUMA,25188,12247,12941,43655.7875575671,49035.832448762965,38564.26373541458,7743,3964,3779,53239.504972232986,54888.54692230071,51509.73458586928,15649,7273,8376,41631.57326346731,49608.69517393098,34704.92478510029,1796,1010,786,19975.501113585746,21940.19801980198,17450.89058524173
37,Wayne & Seneca Counties PUMA,40499,22549,17950,51077.14644806045,59373.73275976762,40654.877660167134,9714,3929,5785,69234.58842907145,96072.73861033341,51006.91477960242,28019,16170,11849,44710.738855776435,51392.4514533086,35592.39193180859,2766,2450,316,51799.84454085322,53196.96734693878,40967.72151898734
38,Warren & Washington Counties PUMA,39632,21901,17731,52405.02732640291,57336.631843294825,46313.601545316116,11227,4154,7073,71693.85766455866,91661.16995666827,59966.978651208825,27009,16554,10455,45199.422525824724,49903.707502718375,37750.85882352941,1396,1193,203,36689.04011461318,40958.172673931265,11600.0
39,Erie County (North Central) PUMA,33955,19069,14886,72868.03601825946,86254.57260475117,55719.852075775896,19006,10310,8696,85548.79948437336,103353.38166828323,64439.64098436062,14347,8310,6037,57209.56855091657,67679.5523465704,42797.51532217989,602,449,153,45694.352159468435,37412.026726057906,70000.0
40,"Clinton, Franklin, Essex & Hamilton Counties PUMA",50740,28632,22108,52917.60601103666,60242.53632299525,43431.112221820156,13161,6175,6986,73995.93237595928,89992.68340080972,59856.23332379044,33572,19189,14383,47097.45362206601,54999.579446557924,36554.87610373357,4007,3268,739,32449.00174694285,34814.1217870257,21989.98646820027
41,Dutchess County (North & East) PUMA,38610,21566,17044,70934.69826469827,78164.74135212835,61786.4285379019,14080,6870,7210,102270.64701704546,120401.56186317322,84994.72676837725,22173,12619,9554,54183.805980246245,61012.57009271733,45164.319447351896,2357,2077,280,41323.91175222741,42669.45594607607,31342.85714285714
42,Tompkins County PUMA,26439,15203,11236,59125.104958583914,62391.597710978094,54705.33908864365,13773,7437,6336,73612.77354243811,81158.0556676079,64756.3557449495,12065,7419,4646,44611.63033568172,45515.082895268904,43168.94532931554,601,347,254,18470.216306156406,21010.374639769452,15000.0
43,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",54402,30895,23507,164287.93134443587,198027.58119436802,119944.26851576126,48576,27151,21425,172166.26401926877,208263.2525873817,126422.07094515752,5826,3744,2082,98600.0,123799.82638888889,53283.885686839574,0,0,0,#DIV/0!,0.0,0.0
44,Onondaga County (Central)--Syracuse City PUMA,32264,16431,15833,56400.75387428713,55252.53119104132,57592.34402829533,12877,6010,6867,75344.86689446299,63300.8153078203,85885.82364933741,17216,8856,8360,44859.838057620815,52368.00361336947,36906.21196172249,2171,1565,606,35555.55043758637,40667.987220447285,22352.640264026402
45,Suffolk County (South Central)--Brookhaven Town (South) PUMA,35722,20503,15219,64395.91932142657,66279.74589084524,61858.03272225508,10961,4892,6069,77941.43052641183,74731.91537203598,80528.5038721371,24026,14938,9088,58565.42953467077,63990.56767974294,49648.097491197186,735,673,62,52982.31292517007,55652.30312035661,24000.0
46,Suffolk County (Northwest)--Smithtown Town PUMA,35038,20378,14660,105243.26788058679,113260.75522622436,94098.63233287858,21402,11963,9439,114628.43332398841,129443.94800635292,95851.23212204683,13385,8318,5067,91915.04594695555,91201.81774465015,93085.88316558121,251,97,154,15749.003984063746,9000.0,20000.0
47,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,38390,21948,16442,52027.272961708775,54087.63153818116,49276.95365527308,10206,4300,5906,75090.52704291593,82238.69,69886.14155096513,26234,15892,10342,43917.20972783411,48014.470173672285,37621.168052601046,1950,1756,194,40425.13333333333,40115.60933940775,43226.80412371134
48,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,24643,13902,10741,80012.01355354462,83712.09969788519,75223.0183409366,16770,8806,7964,91665.93619558736,97888.0774471951,84785.95429432446,7156,4666,2490,53371.29681386249,57788.08401200172,45094.698795180724,717,430,287,73323.98884239889,74706.97674418605,71251.91637630662
49,Onondaga County (Central)--Syracuse City (Outer) PUMA,55019,29281,25738,66740.8501063269,81225.68252450395,50262.08804102883,26461,13810,12651,91269.18748346623,117490.6624185373,62645.47640502727,26824,14131,12693,45150.192439606326,50866.85740570377,38785.88198219491,1734,1340,394,26431.43021914648,27629.55223880597,22356.598984771572
50,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,30875,17186,13689,50959.59449392713,56257.30303735599,44308.53020673533,12625,6840,5785,68490.00792079208,81280.81432748538,53366.56525496975,16125,9199,6926,39826.39255813954,41321.28383519948,37840.90239676581,2125,1147,978,31289.670588235294,26820.183086312118,36531.49284253579
51,Erie County (West Central)--Buffalo City (West) PUMA,31166,15988,15178,59262.28325739588,65365.0344008006,52833.84833311372,15543,7236,8307,73655.64112462202,83029.27722498617,65490.523654749006,13662,7063,6599,45157.35543844239,51550.53376752089,38314.6491892711,1961,1689,272,43446.659867414586,47457.01598579041,18544.117647058825
52,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",29756,17331,12425,47549.78481650759,51199.192660550456,42459.41158953722,7013,3668,3345,67283.15827748468,75328.06161395856,58461.422720478324,20313,11566,8747,42486.65170088121,46334.785232578244,37398.334286040925,2430,2097,333,32923.14897119342,35823.43919885551,14659.159159159159
53,Monroe County (North & West) PUMA,39123,22501,16622,62951.513559798586,71941.38856050842,50782.02869690771,16831,8143,8688,79576.4835125661,100804.55532359082,59680.052946593,21632,14180,7452,51005.67543454142,55373.17983074753,42694.99208266237,660,178,482,30523.484848484848,71404.49438202247,15426.348547717842
54,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,38960,18830,20130,78336.1293634497,74425.70260223048,81994.01987083955,25227,11838,13389,98346.37095175804,94486.7021456327,101758.93046530735,11713,5888,5825,43280.06488517032,42146.467391304344,44425.922746781114,2020,1104,916,31709.059405940596,31471.014492753624,31995.960698689956
55,Cattaraugus & Allegany Counties PUMA,36936,21500,15436,45521.9464479099,50428.150046511626,38688.35112723504,8842,4453,4389,61461.81587876046,67729.45340220076,55102.78423331055,26323,15645,10678,41401.29764844433,47366.10354745925,32661.890616220266,1771,1402,369,27186.26764539808,29645.70613409415,17841.734417344174
56,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",20922,10918,10004,82190.34881942453,92063.54918483239,71415.0987604958,12366,6217,6149,96267.18567038655,103786.0173717227,88665.2053992519,8277,4646,3631,63409.38262655552,77407.9121825226,45497.74166896172,279,55,224,15437.275985663082,5000.0,18000.0
57,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,32993,18342,14651,51900.10608310854,58621.25613346418,43485.70882533616,11559,5756,5803,67905.8646941777,85522.44614315497,50431.964501120114,20884,12212,8672,43783.23644895614,46991.55584670816,39265.24792435424,550,374,176,23722.18181818182,24339.57219251337,22410.227272727272
58,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,31237,18760,12477,75003.63805743189,81351.6184434968,65459.02700969784,13029,6633,6396,91664.79023716325,101635.32519222071,81324.80300187618,17120,11273,5847,64007.546144859814,71595.20535793489,49378.55994527108,1088,854,234,48510.018382352944,52595.43325526932,33600.0
59,Jefferson & Lewis Counties PUMA,42101,25212,16889,48830.74031495689,52026.30231635729,44060.38628693232,9532,3885,5647,69331.51195971464,74548.41956241956,65742.4051708872,31386,20479,10907,42855.31466258842,47727.19878900337,33707.85752269185,1183,848,335,42179.306846999156,52666.53301886792,15632.537313432837
60,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,40024,20375,19649,59713.26179292425,61810.52957055215,57538.503231716626,21811,8430,13381,68030.57127137683,75793.30960854092,63140.06352290561,15780,10511,5269,53254.917617237006,56043.01588811721,47693.008160941354,2433,1434,999,27039.128647759968,21885.495118549512,34436.83683683684
61,Schenectady County--Schenectady City PUMA,45647,23835,21812,55378.699498324095,59209.925991189426,51192.13781404731,18013,8270,9743,74389.57952589796,84258.66336154776,66012.55773375757,25523,13868,11655,43142.83587352584,46849.62792039227,38732.2145002145,2111,1697,414,41097.77356702984,38148.96876841485,53185.02415458937
62,NYC-Queens Community District 1--Astoria & Long Island City PUMA,45532,26943,18589,76097.14864271281,82277.91277882938,67138.71472376137,33606,18798,14808,84463.80920073796,95060.78327481647,71011.49162614802,11294,7785,3509,53070.06375066407,53314.43802183687,52527.89968652037,632,360,272,42707.75316455696,41134.166666666664,44790.44117647059
63,Suffolk County (North Central)--Brookhaven Town (North) PUMA,30721,17462,13259,100389.49897464275,116425.41633260794,79270.3203861528,16772,9518,7254,126882.77116622943,151033.0384534566,95195.11690102013,13023,7303,5720,71539.79881747677,79067.64343420512,61928.63636363636,926,641,285,26269.071274298058,28170.296411856474,21992.98245614035
64,Fulton & Montgomery Counties PUMA,35326,19723,15603,49913.77710468211,52014.67170308776,47258.13753765301,8480,3340,5140,70503.67099056604,79082.21856287424,64929.284046692606,24140,14166,9974,45462.31814415907,49701.62784131018,39441.257268899135,2706,2217,489,25100.739098300073,26016.012629679746,20951.124744376277
65,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,16364,7746,8618,54655.66291860181,52293.52543248128,56778.79090276166,5300,1756,3544,87138.28301886792,111537.9271070615,75048.61738148984,9795,5320,4475,38610.77774374681,33968.43007518797,44129.725139664806,1269,670,599,42836.72182821119,42526.86567164179,43183.30550918197
