,puma,BABS_Working_Poor_Total,BABS_Working_Poor_M,BABS_Working_Poor_F,HS_Working_Poor_Total,HS_Working_Poor_M,HS_Working_Poor_F,HSINC_Working_Poor_Total,HSINC_Working_Poor_M,HSINC_Working_Poor_F
137,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,0.05551020408163265,0.0,0.07780320366132723,0.19116632160110422,0.09672830725462304,0.2801608579088472,0.0,0.0,0.0
138,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,0.06493506493506493,0.0,0.08998875140607424,0.1223375204806117,0.0,0.26291079812206575,0.527363184079602,#DIV/0!,0.527363184079602
139,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",0.03728813559322034,0.10015174506828528,0.0,0.1412798557908968,0.24321179208688906,0.0,0.0,0.0,0.0
140,Nassau County (West Central)--Hempstead Town (West Central) PUMA,0.05854126679462572,0.0,0.0841959972394755,0.15222101841820151,0.1936127744510978,0.06486941870261162,0.3933333333333333,0.3933333333333333,#DIV/0!
141,Nassau County (Central)--Hempstead Town (Northeast) PUMA,0.0,0.0,0.0,0.031269543464665414,0.0,0.06868131868131869,0.6369047619047619,0.0,1.0
142,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,0.0,0.0,0.0,0.09931506849315068,0.0,0.3372093023255814,0.16666666666666666,0.16666666666666666,#DIV/0!
143,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,0.0,0.0,0.0,0.1863924742944651,0.045633359559402044,0.3627402661409561,0.3383742911153119,0.4231678486997636,0.0
144,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,0.09450830140485313,0.029239766081871343,0.12630579297245964,0.0,0.0,0.0,0.0,0.0,0.0
145,Nassau County (West Central)--North Hempstead Town (South) PUMA,0.09507389162561576,0.0,0.20358649789029537,0.10607521697203472,0.0,0.28683181225554105,1.0,#DIV/0!,1.0
146,Capital Region,0.10570555272542027,0.08541764983482775,0.12949640287769784,0.3412516382699869,0.3140088405304318,0.36658235852039206,0.6674937965260546,0.7597173144876325,0.6175908221797323
147,Central NY,0.020320197044334975,0.0,0.041719342604298354,0.3555944055944056,0.2916021072203285,0.43842759727236263,0.8696517412935323,0.919103313840156,0.818089430894309
148,Finger Lakes,0.16798575385833003,0.26661264181523503,0.07385924207269914,0.3755302294679818,0.29969704031694244,0.43477469276285846,0.6739734034780067,0.6163805235012665,0.7361702127659574
149,Long Island,0.04457309731792915,0.037313882693351015,0.0499376336421953,0.13180175529168817,0.12149696916454361,0.14648804306998872,0.36408261554135407,0.33218291630716135,0.42180588082227427
150,Mid-Hudson,0.08286080117066033,0.029788126704426265,0.12388519539484352,0.16466228735051372,0.1521019184294537,0.1809461184388659,0.4737574715467125,0.38406999547443055,0.5802292263610315
151,Mohawk Valley,0.25870967741935486,0.0,0.3213141025641026,0.29943416424529745,0.2943804373383494,0.3088363954505687,0.2828282828282828,0.14171656686626746,0.3727735368956743
152,New York City,0.10329538266919672,0.07274823240086074,0.1246560619088564,0.2918935340581292,0.23041378106267824,0.35507272379311994,0.5774947357608752,0.47535890511097123,0.6820487237049971
153,North Country,0.11365313653136531,0.02120141342756184,0.17997465145754118,0.14003701418877237,0.08722014925373134,0.24316939890710382,1.0,#DIV/0!,1.0
154,Southern Tier,0.0046629927935565915,0.024229074889867842,0.0,0.18925288710817817,0.20891364902506965,0.16898037338439445,0.641185647425897,0.0,0.8491735537190083
155,Western NY,0.22271714922049,0.17581863979848866,0.2542315504400812,0.36189940994661424,0.3077596585312466,0.419034419034419,0.5480329368709973,0.5595907928388747,0.5386843194042201
