,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,6563,3779,2784,53535.44415663568,42321.249007673985,68757.58620689655,2645,1289,1356,88465.17958412098,77151.28006206361,99220.05899705015,2437,1624,813,33420.73040623718,23411.330049261083,53414.907749077494,1481,866,615,24251.45172180959,25939.953810623556,21873.82113821138
31,Cayuga & Onondaga (South) Counties PUMA,748,659,89,39822.72727272727,38178.14871016692,52000.0,382,293,89,34972.25130890052,29800.0,52000.0,366,366,0,44885.24590163935,44885.24590163935,0.0,0,0,0,#DIV/0!,0.0,0.0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,1667,734,933,87067.84643071386,120592.77929155313,60693.46195069668,724,415,309,139078.86740331491,162325.5421686747,107857.60517799352,943,319,624,47135.737009544006,66300.94043887148,37338.14102564102,0,0,0,#DIV/0!,0.0,0.0
33,Fulton & Montgomery Counties PUMA,43,43,0,35000.0,35000.0,0.0,0,0,0,#DIV/0!,0.0,0.0,43,43,0,35000.0,35000.0,0.0,0,0,0,#DIV/0!,0.0,0.0
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,1752,1173,579,106289.24657534246,126567.05882352941,65208.290155440416,933,504,429,150695.13397642015,215136.82539682538,74987.41258741259,658,508,150,62357.142857142855,69773.62204724409,37240.0,161,161,0,28504.347826086956,28504.347826086956,0.0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,5598,3108,2490,64583.333333333336,63880.083655083654,65461.124497991965,3081,1381,1700,80242.22654982148,93636.56770456191,69361.29411764706,2181,1541,640,47824.484181568085,41053.34198572356,64128.125,336,186,150,29779.761904761905,32064.516129032258,26946.666666666668
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,654,516,138,29843.119266055044,30294.57364341085,28155.072463768116,158,158,0,50949.36708860759,50949.36708860759,0.0,435,358,77,21678.16091954023,21178.77094972067,24000.0,61,0,61,33400.0,0.0,33400.0
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,4486,2944,1542,48795.987516718684,53538.55298913043,39741.43968871595,966,583,383,65187.68115942029,73070.32590051458,53188.772845953004,1894,1451,443,53069.4297782471,56522.05375603033,41760.722347629795,1626,910,716,34079.950799508,36268.131868131866,31298.882681564246
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",9498,5069,4429,34875.80543272268,34475.77431446045,35333.64190562204,2273,1041,1232,46269.467663880336,31420.26897214217,58816.55844155844,5259,3078,2181,36101.21696139951,40839.01884340481,29414.855570839063,1966,950,1016,18425.02543234995,17207.052631578947,19563.877952755905
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,20968,13584,7384,39826.55265165967,37376.77547114252,44333.29333694474,7199,4457,2742,48795.44186692596,44017.28696432578,56562.12180889861,10969,6805,4164,36613.15252074027,37234.08817046289,35598.39097022094,2800,2322,478,29355.39285714286,25048.70801033592,50276.15062761506
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",3035,1084,1951,95722.85996705107,108602.0295202952,88567.03229113275,2994,1043,1951,95905.30394121577,109632.0230105465,88567.03229113275,41,41,0,82400.0,82400.0,0.0,0,0,0,#DIV/0!,0.0,0.0
41,Suffolk County (Central)--Islip Town (East) PUMA,2179,1141,1038,70742.86369894446,70989.65819456617,70471.57996146435,1577,727,850,85360.36778693722,96181.29298486933,76105.29411764706,602,414,188,32450.830564784053,26752.17391304348,45000.0,0,0,0,#DIV/0!,0.0,0.0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",6540,2797,3743,42813.700305810395,41937.28995352163,43468.60806839434,1671,175,1496,44820.16756433273,71200.0,41734.29144385027,4695,2539,2156,37155.484558040465,40787.86923985821,32877.829313543596,174,83,91,176218.9655172414,15400.0,322900.0
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",30380,17493,12887,56331.70697827518,54550.46121305665,58749.59571661364,12033,6075,5958,75126.23535277986,79719.06995884774,70443.20913058073,15370,9079,6291,46788.75653871178,44673.49796233065,49841.44015259895,2977,2339,638,29633.886462882096,27519.102180418984,37386.990595611285
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,29334,19111,10223,38097.481079975456,37458.79912092512,39291.44086862956,5823,2977,2846,66938.23802163833,73338.44810211622,60243.42937456079,17750,11274,6476,33109.715492957745,33126.490154337414,33080.512662137124,5761,4860,901,24313.955910432218,25530.555555555555,17751.609322974473
45,Saratoga County (Outer) PUMA,1059,879,180,115045.32577903682,125898.74857792947,62044.444444444445,1006,879,127,119473.16103379722,125898.74857792947,75000.0,53,0,53,31000.0,0.0,31000.0,0,0,0,#DIV/0!,0.0,0.0
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",7929,4357,3572,41395.75986883592,50074.84048657333,30809.322508398654,2896,1798,1098,51610.98066298343,54700.0,46552.64116575592,3774,1851,1923,36593.31743508214,48458.17396002161,25172.698907956317,1259,708,551,32294.201747418585,42555.64971751413,19108.892921960072
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",6601,3734,2867,56607.27162551128,57658.78414568827,55237.7746773631,2671,1264,1407,78939.423436915,84134.49367088608,74272.35252309879,3550,2090,1460,42752.45070422535,46844.832535885165,36894.17808219178,380,380,0,29068.947368421053,29068.947368421053,0.0
48,Wayne & Seneca Counties PUMA,202,0,202,316798.51485148515,0.0,316798.51485148515,99,0,99,613000.0,0.0,613000.0,103,0,103,32100.0,0.0,32100.0,0,0,0,#DIV/0!,0.0,0.0
49,Schenectady County--Schenectady City PUMA,2489,1259,1230,105368.69023704299,155523.9872915012,54030.86991869919,1531,856,675,98958.43892880471,129510.16355140187,60214.32592592593,765,403,362,132141.17647058822,210779.15632754343,44596.68508287293,193,0,193,50100.0,0.0,50100.0
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,7414,4080,3334,71038.62233612085,88975.63725490196,49088.10617876425,4465,2414,2051,93111.76842105263,121421.66528583264,59791.39249146757,2897,1614,1283,37792.71660338281,42415.055762081785,31977.864380358536,52,52,0,27900.0,27900.0,0.0
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,4438,2312,2126,108704.81748535376,128008.33910034603,87712.46472248354,2621,1391,1230,139708.04273178175,151316.52048885694,126580.081300813,1415,921,494,75171.73144876325,92805.6460369164,42295.54655870445,402,0,402,24600.0,0.0,24600.0
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,7671,4789,2882,49387.2637205058,51454.47901440802,45952.18598195697,1731,700,1031,70100.1733102253,95631.42857142857,52765.664403491755,4658,3331,1327,47735.938170888796,46934.25397778445,49748.304446119066,1282,758,524,27419.890795631825,30521.767810026384,22932.824427480915
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",7287,5431,1856,121748.31864965006,123798.41612962622,115749.35344827586,4915,3763,1152,161639.1450661241,162023.7039596067,160382.98611111112,2312,1608,704,39456.57439446367,38031.09452736318,42712.5,60,60,0,25000.0,25000.0,0.0
54,Columbia & Greene Counties PUMA,351,251,100,85534.05128205128,109252.796812749,26000.0,32,32,0,613000.0,613000.0,0.0,222,171,51,34002.036036036036,36388.6081871345,26000.0,97,48,49,29463.917525773195,33000.0,26000.0
55,Rensselaer County--Troy City PUMA,646,296,350,40048.29721362229,29477.702702702703,48988.0,323,70,253,47321.36222910217,49628.57142857143,46683.00395256917,287,190,97,34327.52613240418,23773.684210526317,55000.0,36,36,0,20400.0,20400.0,0.0
56,Erie County (West Central)--Buffalo City (West) PUMA,2403,1325,1078,36168.580940491054,42373.20754716981,28542.30055658627,1007,632,375,45864.64746772592,58253.32278481012,24985.6,476,406,70,33668.90756302521,35163.54679802956,25000.0,920,287,633,26848.91304347826,17602.787456445993,31041.074249605055
57,Erie County (South) PUMA,756,106,650,86230.15873015873,310000.0,49738.46153846154,756,106,650,86230.15873015873,310000.0,49738.46153846154,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,1814,1037,777,93224.33296582139,138305.20732883317,33058.48133848134,1011,547,464,140169.53511374877,225921.38939670933,39078.44827586207,427,114,313,25099.625292740046,27750.0,24134.313099041534,376,376,0,44361.70212765958,44361.70212765958,0.0
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",21417,12441,8976,29745.159639538684,27903.343782654127,32297.970588235294,3334,1746,1588,37670.965806838634,36053.665521191295,39449.18136020151,13543,7142,6401,29995.590637229565,28881.601792215064,31238.538353382282,4540,3553,987,23177.70925110132,21931.719673515337,27663.019250253292
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,4557,2417,2140,46853.028746982665,53296.83574679355,39575.14018691589,1814,941,873,64063.23042998897,79004.46333687566,47958.190148911795,1929,991,938,44046.21669258683,47573.41271442987,40319.722814498935,814,485,329,15151.597051597051,15113.40206185567,15207.90273556231
61,NYC-Manhattan Community District 10--Central Harlem PUMA,7963,4934,3029,54352.40487253547,64563.376570733686,37719.54440409376,2948,1119,1829,84224.28765264586,140667.82841823055,49691.58009841444,2909,2145,764,41907.52836026126,48800.0,22556.28272251309,2106,1670,436,29727.44539411206,33815.80838323353,14067.88990825688
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,10360,6162,4198,66612.89961389962,64389.56507627394,69876.40304907098,5687,2755,2932,87099.97186565852,91713.5390199637,82764.91814461119,3852,2772,1080,44946.7549325026,46237.62626262626,41633.51851851852,821,635,186,26354.68940316687,25081.889763779527,30700.0
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,3942,1556,2386,35484.24657534246,44365.87403598972,29692.204526404024,1061,269,792,42521.39491046183,40311.52416356877,43271.969696969696,1928,634,1294,24215.767634854772,35118.29652996845,18874.03400309119,953,653,300,50446.694648478486,55014.5482388974,40504.0
64,Albany County (East Central)--Albany City PUMA,4079,1728,2351,40162.21132630546,45501.01851851852,36238.15397703105,1330,799,531,50431.68421052631,54912.690863579475,43689.07721280603,1475,642,833,44386.11525423729,42952.52336448598,45490.99639855942,1274,287,987,24551.020408163266,25000.0,24420.46605876393
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,5705,3779,1926,64614.951796669586,65274.75522625033,63320.35306334372,1989,968,1021,84996.27953745601,90422.10743801652,79852.10577864839,2625,1812,813,58376.26666666667,64035.154525386315,45763.83763837638,1091,999,92,42468.37763519707,43156.156156156154,35000.0
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,1209,981,228,78973.94540942927,88703.36391437308,37111.84210526316,932,809,123,93710.30042918454,98835.59950556242,60000.0,277,172,105,29391.696750902527,41046.51162790698,10300.0,0,0,0,#DIV/0!,0.0,0.0
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",10661,5916,4745,36324.087796641965,35609.87153482083,37214.562697576395,3334,1252,2082,42766.19676064787,41866.61341853035,43307.15658021133,6082,3562,2520,33998.05984873397,34584.50308815272,33169.12698412698,1245,1102,143,30435.66265060241,31815.78947368421,19800.0
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",11692,6368,5324,32535.076975709886,34238.17525125628,30498.012772351616,1974,748,1226,43972.49240121581,59026.737967914436,34787.68352365416,7431,4196,3235,33147.27762077782,33271.37750238322,32986.31221020093,2287,1424,863,20673.808482728466,24066.011235955055,15076.477404403244
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",7599,4251,3348,49707.01408080011,51210.56222065396,47797.93906810036,3389,1608,1781,65752.31631749778,78052.30099502488,54647.10836608647,3600,2033,1567,39752.333333333336,39551.10673880964,40013.4014039566,610,610,0,19312.45901639344,19312.45901639344,0.0
70,Erie County (Northeast) PUMA,586,346,240,91238.39590443685,101121.387283237,76990.41666666667,586,346,240,91238.39590443685,101121.387283237,76990.41666666667,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0
71,NYC-Manhattan Community District 11--East Harlem PUMA,4679,2808,1871,47634.686898910026,43937.32193732194,53183.69855692143,2270,901,1369,70605.15418502202,87846.83684794673,59257.63330898466,1583,1081,502,30668.351231838282,27904.717853839036,36619.521912350596,826,826,0,17023.002421307505,17023.002421307505,0.0
72,Orange County (Southeast) PUMA,2168,992,1176,113868.12730627306,139845.86693548388,91954.93197278911,1550,642,908,140988.06451612903,186809.19003115266,108590.30837004405,618,350,268,45848.867313915856,53701.71428571428,35593.28358208955,0,0,0,#DIV/0!,0.0,0.0
73,Westchester County (Southeast) PUMA,8997,6484,2513,57696.864510392355,58753.12924120913,54971.50815758058,3435,2010,1425,93429.19650655022,115846.41293532339,61809.12280701754,2583,1600,983,43327.68099109562,40034.375,48688.09766022381,2979,2874,105,28954.011413225915,29244.606819763398,21000.0
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,14962,8810,6152,51286.2551797888,50206.20090805902,52832.95188556567,7628,3947,3681,64013.4753539591,66521.8723080821,61323.8141809291,5031,2948,2083,36088.6702444842,30591.350067842606,43868.84301488238,2303,1915,388,42330.898827616154,46773.62924281984,20403.505154639177
75,Livingston & Wyoming Counties PUMA,541,495,46,62024.029574861364,65436.36363636364,25304.347826086956,296,296,0,85000.0,85000.0,0.0,67,31,36,24462.68656716418,25000.0,24000.0,178,168,10,37955.05617977528,38428.57142857143,30000.0
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,2959,1756,1203,86115.88374450828,88966.51480637814,81954.86284289276,922,384,538,125096.42082429501,128854.16666666667,122414.312267658,1388,994,394,82725.6484149856,91898.59154929577,59583.756345177666,649,378,271,37988.906009244994,40735.449735449736,34157.9335793358
77,Westchester County (Southwest)--Yonkers City PUMA,15285,9076,6209,51631.55682041217,51816.53261348612,51361.16862618779,4709,1673,3036,76956.94330006371,87444.56066945607,71177.69960474309,8356,5691,2665,40704.11680229775,43654.47197329116,34403.75234521576,2220,1712,508,39042.56756756757,44132.30140186916,21889.76377952756
78,Erie County (North Central) PUMA,2419,1319,1100,84385.01033484911,91979.78771796815,75278.18181818182,1988,1112,876,94490.06036217304,100431.06115107914,86948.51598173517,329,105,224,36775.37993920973,52000.0,29638.839285714286,102,102,0,41000.0,41000.0,0.0
79,Saratoga County (South & Central) PUMA,1931,1324,607,100701.93060590368,113532.8006042296,72714.9917627677,1875,1324,551,102604.49493333334,113532.8006042296,76344.8275862069,56,0,56,37000.0,0.0,37000.0,0,0,0,#DIV/0!,0.0,0.0
80,Suffolk County (South Central)--Brookhaven Town (South) PUMA,5135,3042,2093,52668.67770204479,53227.6462853386,51856.26373626374,1319,267,1052,73037.22517058377,59529.96254681648,76465.39923954372,2289,1815,474,40838.79423328965,41622.03856749311,37839.66244725738,1527,960,567,52807.832351015066,73416.66666666667,17914.567901234568
81,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",1945,1017,928,62532.22570694087,74430.6784660767,49492.64978448276,1291,666,625,70402.09140201395,83692.19219219219,56240.16,548,351,197,47189.925182481755,56857.54985754986,29964.86802030457,106,0,106,46000.0,0.0,46000.0
