,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,16549,8207,8342,14651,7223,7428,1898,984,914,11138,5139,5999,10190,4781,5409,948,358,590,5212,2869,2343,4461,2442,2019,751,427,324,199,199,0,0,0,0,199,199,0
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,24413,13808,10605,20999,12866,8133,3414,942,2472,19863,11001,8862,16918,10146,6772,2945,855,2090,4177,2604,1573,3838,2589,1249,339,15,324,373,203,170,243,131,112,130,72,58
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,17484,9465,8019,15310,8685,6625,2174,780,1394,7184,2865,4319,6795,2790,4005,389,75,314,9751,6365,3386,7966,5660,2306,1785,705,1080,549,235,314,549,235,314,0,0,0
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",46850,26961,19889,41795,23878,17917,5055,3083,1972,40716,22890,17826,37104,20874,16230,3612,2016,1596,6134,4071,2063,4691,3004,1687,1443,1067,376,0,0,0,0,0,0,0,0,0
54,Columbia & Greene Counties PUMA,38613,19689,18924,31359,16686,14673,7254,3003,4251,13653,5849,7804,11801,4813,6988,1852,1036,816,23568,13152,10416,18932,11384,7548,4636,1768,2868,1392,688,704,626,489,137,766,199,567
55,Rensselaer County--Troy City PUMA,57811,29508,28303,49021,26020,23001,8790,3488,5302,20862,9398,11464,18573,8727,9846,2289,671,1618,33587,17414,16173,28166,15523,12643,5421,1891,3530,3362,2696,666,2282,1770,512,1080,926,154
56,Erie County (West Central)--Buffalo City (West) PUMA,28863,15061,13802,24130,13019,11111,4733,2042,2691,17945,8294,9651,15239,7243,7996,2706,1051,1655,10150,6141,4009,8343,5228,3115,1807,913,894,768,626,142,548,548,0,220,78,142
57,Erie County (South) PUMA,69695,35491,34204,58586,32805,25781,11109,2686,8423,29813,12956,16857,26364,12239,14125,3449,717,2732,37899,20785,17114,30515,18998,11517,7384,1787,5597,1983,1750,233,1707,1568,139,276,182,94
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,44030,23269,20761,36463,20831,15632,7567,2438,5129,16120,8196,7924,14029,7696,6333,2091,500,1591,26356,13978,12378,21101,12105,8996,5255,1873,3382,1554,1095,459,1333,1030,303,221,65,156
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",19867,8930,10937,16357,7535,8822,3510,1395,2115,16666,6667,9999,14060,5843,8217,2606,824,1782,2536,1879,657,2016,1692,324,520,187,333,665,384,281,281,0,281,384,384,0
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,4003,2195,1808,3386,1905,1481,617,290,327,2049,1270,779,1847,1068,779,202,202,0,1817,788,1029,1490,788,702,327,0,327,137,137,0,49,49,0,88,88,0
61,NYC-Manhattan Community District 10--Central Harlem PUMA,11404,6588,4816,10327,6061,4266,1077,527,550,10224,5698,4526,9433,5301,4132,791,397,394,1180,890,290,894,760,134,286,130,156,0,0,0,0,0,0,0,0,0
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,20668,10299,10369,18040,9526,8514,2628,773,1855,11964,5840,6124,10893,5594,5299,1071,246,825,8537,4459,4078,6980,3932,3048,1557,527,1030,167,0,167,167,0,167,0,0,0
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,926,406,520,926,406,520,0,0,0,79,79,0,79,79,0,0,0,0,847,327,520,847,327,520,0,0,0,0,0,0,0,0,0,0,0,0
64,Albany County (East Central)--Albany City PUMA,20789,11716,9073,16158,10154,6004,4631,1562,3069,12490,6533,5957,10276,5414,4862,2214,1119,1095,7883,4983,2900,5682,4540,1142,2201,443,1758,416,200,216,200,200,0,216,0,216
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,19122,9976,9146,16571,9165,7406,2551,811,1740,11039,4716,6323,9259,4348,4911,1780,368,1412,7626,4803,2823,6855,4360,2495,771,443,328,457,457,0,457,457,0,0,0,0
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,34736,17981,16755,28644,15262,13382,6092,2719,3373,10932,5935,4997,10130,5798,4332,802,137,665,21951,10449,11502,17985,9119,8866,3966,1330,2636,1853,1597,256,529,345,184,1324,1252,72
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",948,484,464,948,484,464,0,0,0,322,234,88,322,234,88,0,0,0,418,239,179,418,239,179,0,0,0,208,11,197,208,11,197,0,0,0
