,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NRB_mf_t,Total_NRB_m,Total_NRB_f,Total_RB_mf_t,Total_RB_m,Total_RB_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NRB_mf_t,BABS_NRB_m,BABS_NRB_f,BABS_RB_mf_t,BABS_RB_m,BABS_RB_f,Total_HS,Total_HS_m,Total_HS_f,HS_NRB_mf_t,HS_NRB_m,HS_NRB_f,HS_RB_mf_t,HS_RB_m,HS_RB_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NRB_mf_t,HSINC_NRB_m,HSINC_NRB_f,HSINC_RB_mf_t,HSINC_RB_m,HSINC_RB_f
25,"Chenango, Delaware & Broome (East) Counties PUMA",8720.0,3842.0,4878.0,7771.0,3359.0,4412.0,949.0,483.0,466.0,1318.0,308.0,1010.0,1318.0,308.0,1010.0,0.0,0.0,0.0,6735.0,3162.0,3573.0,5866.0,2679.0,3187.0,869.0,483.0,386.0,667.0,372.0,295.0,587.0,372.0,215.0,80.0,0.0,80.0
26,Erie County (Central) PUMA,13809.0,6037.0,7772.0,11620.0,5338.0,6282.0,2189.0,699.0,1490.0,3936.0,1795.0,2141.0,3501.0,1698.0,1803.0,435.0,97.0,338.0,8324.0,3146.0,5178.0,7147.0,2743.0,4404.0,1177.0,403.0,774.0,1549.0,1096.0,453.0,972.0,897.0,75.0,577.0,199.0,378.0
27,St. Lawrence County PUMA,9037.0,3908.0,5129.0,7733.0,3440.0,4293.0,1304.0,468.0,836.0,1623.0,655.0,968.0,1550.0,655.0,895.0,73.0,0.0,73.0,6266.0,2917.0,3349.0,5470.0,2530.0,2940.0,796.0,387.0,409.0,1148.0,336.0,812.0,713.0,255.0,458.0,435.0,81.0,354.0
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",11746.0,6867.0,4879.0,10647.0,6469.0,4178.0,1099.0,398.0,701.0,9923.0,5434.0,4489.0,8935.0,5147.0,3788.0,988.0,287.0,701.0,1569.0,1318.0,251.0,1458.0,1207.0,251.0,111.0,111.0,0.0,254.0,115.0,139.0,254.0,115.0,139.0,0.0,0.0,0.0
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,2288.0,811.0,1477.0,1373.0,408.0,965.0,915.0,403.0,512.0,742.0,129.0,613.0,659.0,129.0,530.0,83.0,0.0,83.0,1346.0,482.0,864.0,638.0,203.0,435.0,708.0,279.0,429.0,200.0,200.0,0.0,76.0,76.0,0.0,124.0,124.0,0.0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,42012.0,23823.0,18189.0,34844.0,19968.0,14876.0,7168.0,3855.0,3313.0,29581.0,16755.0,12826.0,27287.0,15620.0,11667.0,2294.0,1135.0,1159.0,8404.0,5098.0,3306.0,5161.0,3221.0,1940.0,3243.0,1877.0,1366.0,4027.0,1970.0,2057.0,2396.0,1127.0,1269.0,1631.0,843.0,788.0
31,Cayuga & Onondaga (South) Counties PUMA,9416.0,4247.0,5169.0,6554.0,3166.0,3388.0,2862.0,1081.0,1781.0,928.0,495.0,433.0,899.0,495.0,404.0,29.0,0.0,29.0,7440.0,3470.0,3970.0,4630.0,2412.0,2218.0,2810.0,1058.0,1752.0,1048.0,282.0,766.0,1025.0,259.0,766.0,23.0,23.0,0.0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,3112.0,1895.0,1217.0,2469.0,1819.0,650.0,643.0,76.0,567.0,1294.0,783.0,511.0,1070.0,783.0,287.0,224.0,0.0,224.0,1489.0,876.0,613.0,1070.0,800.0,270.0,419.0,76.0,343.0,329.0,236.0,93.0,329.0,236.0,93.0,0.0,0.0,0.0
33,Fulton & Montgomery Counties PUMA,10030.0,5016.0,5014.0,7856.0,3895.0,3961.0,2174.0,1121.0,1053.0,695.0,320.0,375.0,695.0,320.0,375.0,0.0,0.0,0.0,8060.0,3715.0,4345.0,6182.0,2746.0,3436.0,1878.0,969.0,909.0,1275.0,981.0,294.0,979.0,829.0,150.0,296.0,152.0,144.0
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,13239.0,6827.0,6412.0,10871.0,5592.0,5279.0,2368.0,1235.0,1133.0,3854.0,1872.0,1982.0,3789.0,1807.0,1982.0,65.0,65.0,0.0,7619.0,3743.0,3876.0,5887.0,3076.0,2811.0,1732.0,667.0,1065.0,1766.0,1212.0,554.0,1195.0,709.0,486.0,571.0,503.0,68.0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,7700.0,3269.0,4431.0,7015.0,2896.0,4119.0,685.0,373.0,312.0,2200.0,1087.0,1113.0,2200.0,1087.0,1113.0,0.0,0.0,0.0,5119.0,2080.0,3039.0,4499.0,1737.0,2762.0,620.0,343.0,277.0,381.0,102.0,279.0,316.0,72.0,244.0,65.0,30.0,35.0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,10083.0,5361.0,4722.0,7840.0,4801.0,3039.0,2243.0,560.0,1683.0,1477.0,984.0,493.0,1408.0,915.0,493.0,69.0,69.0,0.0,7034.0,3506.0,3528.0,4961.0,3015.0,1946.0,2073.0,491.0,1582.0,1572.0,871.0,701.0,1471.0,871.0,600.0,101.0,0.0,101.0
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,8839.0,2428.0,6411.0,7413.0,2428.0,4985.0,1426.0,0.0,1426.0,1608.0,222.0,1386.0,1230.0,222.0,1008.0,378.0,0.0,378.0,6975.0,2069.0,4906.0,5927.0,2069.0,3858.0,1048.0,0.0,1048.0,256.0,137.0,119.0,256.0,137.0,119.0,0.0,0.0,0.0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",2330.0,662.0,1668.0,1818.0,613.0,1205.0,512.0,49.0,463.0,320.0,320.0,0.0,320.0,320.0,0.0,0.0,0.0,0.0,846.0,305.0,541.0,682.0,256.0,426.0,164.0,49.0,115.0,1164.0,37.0,1127.0,816.0,37.0,779.0,348.0,0.0,348.0
