,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
34,Niagara County (North & East) PUMA,33428,17923,15505,31324,16889,14435,2104,1034,1070,10739,4516,6223,10330,4373,5957,409,143,266,21679,12995,8684,20226,12334,7892,1453,661,792,1010,412,598,768,182,586,242,230,12
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,35403,17404,17999,35067,17149,17918,336,255,81,13185,5549,7636,13115,5479,7636,70,70,0,21714,11607,10107,21448,11422,10026,266,185,81,504,248,256,504,248,256,0,0,0
36,Suffolk County (East) PUMA,29194,17848,11346,28271,17260,11011,923,588,335,16780,9413,7367,16331,9102,7229,449,311,138,12002,8023,3979,11670,7888,3782,332,135,197,412,412,0,270,270,0,142,142,0
37,Warren & Washington Counties PUMA,39565,21337,18228,37157,19722,17435,2408,1615,793,13217,6250,6967,13050,6083,6967,167,167,0,24784,13820,10964,23091,12889,10202,1693,931,762,1564,1267,297,1016,750,266,548,517,31
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,11151,5862,5289,10862,5698,5164,289,164,125,8049,3672,4377,7924,3672,4252,125,0,125,2843,1931,912,2679,1767,912,164,164,0,259,259,0,259,259,0,0,0,0
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",10180,6106,4074,10046,5972,4074,134,134,0,8190,4384,3806,8056,4250,3806,134,134,0,1774,1506,268,1774,1506,268,0,0,0,216,216,0,216,216,0,0,0,0
40,Westchester County (Central)--White Plains City PUMA,29950,17157,12793,28811,17043,11768,1139,114,1025,23160,13129,10031,22143,13015,9128,1017,114,903,6790,4028,2762,6668,4028,2640,122,0,122,0,0,0,0,0,0,0,0,0
41,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",914,272,642,817,175,642,97,97,0,440,72,368,395,27,368,45,45,0,474,200,274,422,148,274,52,52,0,0,0,0,0,0,0,0,0,0
42,Erie County (North Central) PUMA,32771,17324,15447,32139,16810,15329,632,514,118,22788,11288,11500,22252,10870,11382,536,418,118,9753,5922,3831,9657,5826,3831,96,96,0,230,114,116,230,114,116,0,0,0
43,Chautauqua County PUMA,35125,20626,14499,31301,18450,12851,3824,2176,1648,10375,4587,5788,9753,4561,5192,622,26,596,22508,14309,8199,19949,12767,7182,2559,1542,1017,2242,1730,512,1599,1122,477,643,608,35
44,Dutchess County (Southwest) PUMA,35902,20870,15032,35547,20668,14879,355,202,153,15514,7347,8167,15355,7188,8167,159,159,0,19667,13016,6651,19471,12973,6498,196,43,153,721,507,214,721,507,214,0,0,0
45,Westchester County (Southeast) PUMA,21443,12918,8525,21348,12918,8430,95,0,95,17014,10117,6897,17014,10117,6897,0,0,0,4188,2715,1473,4093,2715,1378,95,0,95,241,86,155,241,86,155,0,0,0
