,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
33,Fulton & Montgomery Counties PUMA,34801,18282,16519,34034,17783,16251,767,499,268,7621,3591,4030,7485,3554,3931,136,37,99,24316,12765,11551,23759,12377,11382,557,388,169,2864,1926,938,2790,1852,938,74,74,0
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,57968,28380,29588,56367,28052,28315,1601,328,1273,28361,13060,15301,27803,12920,14883,558,140,418,27721,14134,13587,26760,13946,12814,961,188,773,1886,1186,700,1804,1186,618,82,0,82
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,23657,12321,11336,22920,12096,10824,737,225,512,9751,5634,4117,9599,5634,3965,152,0,152,13179,6148,7031,12719,6048,6671,460,100,360,727,539,188,602,414,188,125,125,0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,36544,18056,18488,35479,17238,18241,1065,818,247,10397,4733,5664,9929,4381,5548,468,352,116,23904,11742,12162,23570,11438,12132,334,304,30,2243,1581,662,1980,1419,561,263,162,101
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,40495,19338,21157,39286,18742,20544,1209,596,613,14083,5495,8588,13726,5383,8343,357,112,245,25796,13595,12201,24944,13111,11833,852,484,368,616,248,368,616,248,368,0,0,0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",1462,757,705,1413,708,705,49,49,0,404,404,0,404,404,0,0,0,0,625,199,426,576,150,426,49,49,0,433,154,279,433,154,279,0,0,0
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,1973,1364,609,1854,1245,609,119,119,0,1529,1075,454,1529,1075,454,0,0,0,290,213,77,247,170,77,43,43,0,154,76,78,78,0,78,76,76,0
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",35945,16664,19281,34792,16185,18607,1153,479,674,32052,14248,17804,31014,13839,17175,1038,409,629,3666,2189,1477,3551,2119,1432,115,70,45,227,227,0,227,227,0,0,0,0
41,Suffolk County (Central)--Islip Town (East) PUMA,34380,17708,16672,33766,17353,16413,614,355,259,16082,6532,9550,15736,6445,9291,346,87,259,17434,10836,6598,17300,10702,6598,134,134,0,864,340,524,730,206,524,134,134,0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",12917,7490,5427,12259,7050,5209,658,440,218,9511,4796,4715,9399,4796,4603,112,0,112,2614,1991,623,2384,1867,517,230,124,106,792,703,89,476,387,89,316,316,0
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",16040,9507,6533,15161,8861,6300,879,646,233,8040,4282,3758,7765,4108,3657,275,174,101,7266,4591,2675,6662,4119,2543,604,472,132,734,634,100,734,634,100,0,0,0
