,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
141,Nassau County (Central)--Hempstead Town (Northeast) PUMA,38755.0,18745.0,20010.0,36710.0,17840.0,18870.0,2045.0,905.0,1140.0,17463.0,7307.0,10156.0,16552.0,7184.0,9368.0,911.0,123.0,788.0,20601.0,10935.0,9666.0,19584.0,10153.0,9431.0,1017.0,782.0,235.0,691.0,503.0,188.0,574.0,503.0,71.0,117.0,0.0,117.0
142,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,31782.0,17190.0,14592.0,22165.0,12063.0,10102.0,9617.0,5127.0,4490.0,20376.0,11540.0,8836.0,14371.0,8245.0,6126.0,6005.0,3295.0,2710.0,11038.0,5396.0,5642.0,7426.0,3564.0,3862.0,3612.0,1832.0,1780.0,368.0,254.0,114.0,368.0,254.0,114.0,0.0,0.0,0.0
143,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,15854.0,8264.0,7590.0,6320.0,3470.0,2850.0,9534.0,4794.0,4740.0,5685.0,2865.0,2820.0,3179.0,1893.0,1286.0,2506.0,972.0,1534.0,9025.0,4847.0,4178.0,2817.0,1412.0,1405.0,6208.0,3435.0,2773.0,1144.0,552.0,592.0,324.0,165.0,159.0,820.0,387.0,433.0
144,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,31286.0,15377.0,15909.0,29261.0,14379.0,14882.0,2025.0,998.0,1027.0,17258.0,7662.0,9596.0,16531.0,7272.0,9259.0,727.0,390.0,337.0,13670.0,7569.0,6101.0,12372.0,6961.0,5411.0,1298.0,608.0,690.0,358.0,146.0,212.0,358.0,146.0,212.0,0.0,0.0,0.0
145,Nassau County (West Central)--North Hempstead Town (South) PUMA,23929.0,11593.0,12336.0,20855.0,10580.0,10275.0,3074.0,1013.0,2061.0,13297.0,5996.0,7301.0,11872.0,5497.0,6375.0,1425.0,499.0,926.0,10260.0,5597.0,4663.0,8918.0,5083.0,3835.0,1342.0,514.0,828.0,372.0,0.0,372.0,65.0,0.0,65.0,307.0,0.0,307.0
146,Capital Region,448055.0,220893.0,227162.0,331300.0,164302.0,166998.0,116755.0,56591.0,60164.0,172538.0,77414.0,95124.0,138537.0,61998.0,76539.0,34001.0,15416.0,18585.0,250864.0,128718.0,122146.0,181433.0,94651.0,86782.0,69431.0,34067.0,35364.0,24653.0,14761.0,9892.0,11330.0,7653.0,3677.0,13323.0,7108.0,6215.0
147,Central NY,323022.0,158516.0,164506.0,249665.0,120994.0,128671.0,73357.0,37522.0,35835.0,109547.0,48199.0,61348.0,93975.0,40763.0,53212.0,15572.0,7436.0,8136.0,192805.0,97801.0,95004.0,145364.0,73860.0,71504.0,47441.0,23941.0,23500.0,20670.0,12516.0,8154.0,10326.0,6371.0,3955.0,10344.0,6145.0,4199.0
148,Finger Lakes,472480.0,233891.0,238589.0,380628.0,187655.0,192973.0,91852.0,46236.0,45616.0,189981.0,84525.0,105456.0,159841.0,70151.0,89690.0,30140.0,14374.0,15766.0,261283.0,138098.0,123185.0,207767.0,110097.0,97670.0,53516.0,28001.0,25515.0,21216.0,11268.0,9948.0,13020.0,7407.0,5613.0,8196.0,3861.0,4335.0
149,Long Island,852491.0,422387.0,430104.0,747217.0,371613.0,375604.0,105274.0,50774.0,54500.0,426987.0,197344.0,229643.0,385806.0,178578.0,207228.0,41181.0,18766.0,22415.0,404738.0,213749.0,190989.0,344873.0,183659.0,161214.0,59865.0,30090.0,29775.0,20766.0,11294.0,9472.0,16538.0,9376.0,7162.0,4228.0,1918.0,2310.0
150,Mid-Hudson,652529.0,323682.0,328847.0,511901.0,253583.0,258318.0,140628.0,70099.0,70529.0,316301.0,144315.0,171986.0,269854.0,124237.0,145617.0,46447.0,20078.0,26369.0,305918.0,162627.0,143291.0,225939.0,120627.0,105312.0,79979.0,42000.0,37979.0,30310.0,16740.0,13570.0,16108.0,8719.0,7389.0,14202.0,8021.0,6181.0
151,Mohawk Valley,201621.0,99388.0,102233.0,152924.0,75148.0,77776.0,48697.0,24240.0,24457.0,53337.0,24090.0,29247.0,44268.0,19859.0,24409.0,9069.0,4231.0,4838.0,134178.0,67116.0,67062.0,100051.0,50288.0,49763.0,34127.0,16828.0,17299.0,14106.0,8182.0,5924.0,8605.0,5001.0,3604.0,5501.0,3181.0,2320.0
152,New York City,1108867.0,552945.0,555922.0,469785.0,229140.0,240645.0,639082.0,323805.0,315277.0,766102.0,364910.0,401192.0,301567.0,139570.0,161997.0,464535.0,225340.0,239195.0,306540.0,166787.0,139753.0,155107.0,80971.0,74136.0,151433.0,85816.0,65617.0,36225.0,21248.0,14977.0,13111.0,8599.0,4512.0,23114.0,12649.0,10465.0
153,North Country,177787.0,89018.0,88769.0,136107.0,69108.0,66999.0,41680.0,19910.0,21770.0,44777.0,18596.0,26181.0,36385.0,14745.0,21640.0,8392.0,3851.0,4541.0,121833.0,64229.0,57604.0,92577.0,49536.0,43041.0,29256.0,14693.0,14563.0,11177.0,6193.0,4984.0,7145.0,4827.0,2318.0,4032.0,1366.0,2666.0
154,Southern Tier,264288.0,130337.0,133951.0,203224.0,100258.0,102966.0,61064.0,30079.0,30985.0,75194.0,34502.0,40692.0,60755.0,26841.0,33914.0,14439.0,7661.0,6778.0,170063.0,85014.0,85049.0,128912.0,65377.0,63535.0,41151.0,19637.0,21514.0,19031.0,10821.0,8210.0,13557.0,8040.0,5517.0,5474.0,2781.0,2693.0
155,Western NY,559099.0,276374.0,282725.0,431747.0,213111.0,218636.0,127352.0,63263.0,64089.0,199802.0,87896.0,111906.0,168451.0,73838.0,94613.0,31351.0,14058.0,17293.0,331714.0,170807.0,160907.0,245701.0,128099.0,117602.0,86013.0,42708.0,43305.0,27583.0,17671.0,9912.0,17595.0,11174.0,6421.0,9988.0,6497.0,3491.0
