,puma,BABS_Working_Poor_Total,BABS_Working_Poor_M,BABS_Working_Poor_F,HS_Working_Poor_Total,HS_Working_Poor_M,HS_Working_Poor_F,HSINC_Working_Poor_Total,HSINC_Working_Poor_M,HSINC_Working_Poor_F
31,Monroe County (North & West) PUMA,0.10293341014931105,0.1002321164802701,0.10518897013478988,0.16487747094099356,0.143102029621503,0.19042638777152052,0.26609848484848486,0.20643939393939395,0.32575757575757575
32,Schenectady County--Schenectady City PUMA,0.04211819418242443,0.028206438426162495,0.052583025830258305,0.18811209439528023,0.12966163108311501,0.25380615249671074,0.14705882352941177,0.22635135135135134,0.06546929316338354
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",0.18751866228724992,0.15369430344049634,0.22557106598984772,0.44554845832347606,0.49407474931631723,0.39317920970650927,0.7970489977728286,0.76375,0.8237951807228916
34,Niagara County (North & East) PUMA,0.07551622418879056,0.057284704983769336,0.08698786495254116,0.20313767919935083,0.16445769825491496,0.24932410154962084,0.24182139699381078,0.5425963488843814,0.009404388714733543
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,0.04577400232231253,0.010940919037199124,0.06813848469643753,0.057935324995139655,0.03785006319430586,0.0770105502558595,0.08359133126934984,0.0,0.17733990147783252
36,Suffolk County (East) PUMA,0.0680925895632259,0.061353307523985864,0.07446300715990453,0.1213458897390622,0.08579361406756131,0.16143170197224252,0.3643192488262911,0.2445095168374817,0.5785340314136126
37,Warren & Washington Counties PUMA,0.03452209414024976,0.06578947368421052,0.00969409737182249,0.18568004487735223,0.1618161816181618,0.2105098855359001,0.5761242185924581,0.5229885057471264,0.6441379310344828
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,0.09762927011386971,0.12103929024081116,0.07909698996655519,0.23953531255762492,0.09938101788170564,0.40159045725646125,0.0,0.0,0.0
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",0.026183282980866064,0.02793994995829858,0.024542267238021036,0.3070528967254408,0.20125786163522014,0.4420871559633027,0.6068003487358327,0.5350515463917526,1.0
40,Westchester County (Central)--White Plains City PUMA,0.0697540168692473,0.023049284794251237,0.11168594035301278,0.07472485035721181,0.00755803491092316,0.15246823578421162,0.36363636363636365,#DIV/0!,0.36363636363636365
41,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",0.5286396181384249,0.9395973154362416,0.058823529411764705,0.3553421368547419,0.5922865013774105,0.1723404255319149,1.0,#DIV/0!,1.0
42,Erie County (North Central) PUMA,0.03957896234131077,0.03907144024848782,0.03996978661798955,0.0960991615020051,0.08905431486076647,0.10400866738894908,0.1733615221987315,0.2612312811980033,0.020289855072463767
43,Chautauqua County PUMA,0.10654218928164196,0.029907184599518737,0.16082298514730947,0.2662103942847794,0.20876536611437735,0.32604097083055,0.5333617565551055,0.5660121868652674,0.47783534830166957
44,Dutchess County (Southwest) PUMA,0.07340628184113764,0.0381791483113069,0.09916404632257075,0.04413249519590919,0.03722561665535189,0.05350426038228295,0.4868494683827644,0.33686558839933073,0.6378439079169006
45,Westchester County (Southeast) PUMA,0.023225221138580176,0.00541196230288327,0.04007768361581921,0.10936443542934415,0.14147993746743096,0.05004812319538017,0.0,0.0,0.0
46,Rockland County (North)--New City & Congers PUMA,0.017247987734764277,0.021688053497198625,0.013977635782747603,0.10501946753656739,0.0889804325437693,0.12177280550774526,0.21884272997032642,0.25118483412322273,0.10238907849829351
47,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,0.040023250020758946,0.01748834110592938,0.06242755423083292,0.07386984341674037,0.10653161019909187,0.04748918563099492,0.18342541436464088,0.1029263370332997,0.28083028083028083
48,Suffolk County (Southwest)--Islip Town (South) PUMA,0.015743112388330104,0.018158403090792016,0.013467604950254793,0.04602026049204052,0.04613509749303621,0.04587751568924475,0.010112359550561797,0.04945054945054945,0.0
49,Erie County (West Central)--Buffalo City (East) PUMA,0.053829173034471045,0.07079646017699115,0.041434028798119305,0.27663061291379876,0.2072024501003274,0.35102410320244426,0.4603674540682415,0.38503507404520654,0.6157556270096463
50,Wayne & Seneca Counties PUMA,0.050697365508080586,0.0057960514399565295,0.08156911581569116,0.16349093132260037,0.12000195522533973,0.2108203000319183,0.42025089605734767,0.3100741386829481,0.5366190695532013
51,Monroe County (South) PUMA,0.06634037604186858,0.06435615980386694,0.06786709539121115,0.12488880982031667,0.1283097418817652,0.12096620202405958,0.232355273592387,0.38767395626242546,0.12928759894459102
52,Tompkins County PUMA,0.06105422828972317,0.03633629870943491,0.07988165680473373,0.2505699629524081,0.24228094575799722,0.259275489336839,0.3681177976952625,0.08615384615384615,0.8364565587734242
53,Suffolk County (South Central)--Brookhaven Town (South) PUMA,0.019296677097302935,0.017843289371605897,0.020639243227748315,0.10652113843603206,0.04777437988447163,0.16724028938680902,0.3452685421994885,0.45754716981132076,0.2122905027932961
54,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.09367698081144232,0.08873196192815475,0.09791036929951373,0.17685603615235637,0.12883714880332986,0.224173288900282,0.4263124604680582,0.39705882352941174,0.47950089126559714
55,NYC-Manhattan Community District 8--Upper East Side PUMA,0.0297462948254934,0.03128390596745027,0.028658427368798138,0.23590480753873183,0.1917054591620821,0.26269881990764493,0.0,0.0,0.0
56,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",0.038561869116479526,0.03434774181042838,0.04257202936510864,0.1390471258415329,0.06328154604016673,0.30253475061324614,0.26038338658146964,0.4137055837563452,0.0
57,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",0.10561657087577533,0.08935110590303208,0.11595012097524661,0.15473940048609236,0.08132875143184422,0.33210332103321033,0.35340314136125656,0.20496894409937888,0.608540925266904
58,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,0.03597560975609756,0.04242204496011603,0.03129931614939505,0.15592072252885097,0.11718352821555668,0.19366022783556217,0.4295774647887324,0.0,0.8840579710144928
59,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",0.14285714285714285,0.2112970711297071,0.0645933014354067,0.38910133843212236,0.11375661375661375,0.5449101796407185,0.2786885245901639,0.5483870967741935,0.0
60,Suffolk County (Central)--Islip Town (Northwest) PUMA,0.04935965848452508,0.0,0.11398644485520641,0.13197772309286362,0.10136239782016349,0.15971365095038262,0.16726403823178015,0.18867924528301888,0.0
61,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",0.04349985102790744,0.04933885928557332,0.03758496601359456,0.06883499228935931,0.04898975920287849,0.08920454545454545,0.5846153846153846,0.46,1.0
62,Saratoga County (South & Central) PUMA,0.017411081918356143,0.019850908786330515,0.01526323551098658,0.06536040513038952,0.043913495136462366,0.08690702087286528,0.1342668863261944,0.06547619047619048,0.21955719557195572
63,Cattaraugus & Allegany Counties PUMA,0.0757212690501294,0.07743362831858407,0.07441231185523423,0.24871389495344928,0.23536585365853657,0.2628559615484004,0.5733615221987315,0.4265479562929988,0.7339530765825587
64,Genesee & Orleans Counties PUMA,0.1623246492985972,0.10296191819464035,0.19777628032345013,0.14172450933460987,0.09232717435100443,0.19519033082050963,0.5647943387881469,0.5620753551575046,0.5716510903426791
65,Cayuga & Onondaga (South) Counties PUMA,0.04936315822824916,0.04156039009752438,0.055068012286090394,0.16794005289450484,0.13409916774117922,0.20196841112682698,0.5557670346402741,0.47783251231527096,0.6048387096774194
66,Sullivan & Ulster (West) Counties PUMA,0.10381551362683439,0.16772363150867825,0.03927186920613518,0.2520028522293528,0.24121779859484777,0.26210201429499674,0.4927840461821044,0.4765853658536585,0.511641113003975
