,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
24,Dutchess County (Southwest) PUMA,6864.0,3448.0,3416.0,3475.0,1076.0,2399.0,3389.0,2372.0,1017.0,3439.0,956.0,2483.0,2449.0,713.0,1736.0,990.0,243.0,747.0,2723.0,2152.0,571.0,853.0,363.0,490.0,1870.0,1789.0,81.0,702.0,340.0,362.0,173.0,0.0,173.0,529.0,340.0,189.0
25,Westchester County (Northwest) PUMA,9650.0,5071.0,4579.0,3552.0,1683.0,1869.0,6098.0,3388.0,2710.0,4433.0,1683.0,2750.0,2700.0,965.0,1735.0,1733.0,718.0,1015.0,3081.0,1991.0,1090.0,595.0,532.0,63.0,2486.0,1459.0,1027.0,2136.0,1397.0,739.0,257.0,186.0,71.0,1879.0,1211.0,668.0
26,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,4411.0,2473.0,1938.0,3984.0,2145.0,1839.0,427.0,328.0,99.0,1724.0,942.0,782.0,1505.0,822.0,683.0,219.0,120.0,99.0,2536.0,1455.0,1081.0,2328.0,1247.0,1081.0,208.0,208.0,0.0,151.0,76.0,75.0,151.0,76.0,75.0,0.0,0.0,0.0
27,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,12326.0,5835.0,6491.0,4719.0,2029.0,2690.0,7607.0,3806.0,3801.0,5219.0,2072.0,3147.0,2636.0,751.0,1885.0,2583.0,1321.0,1262.0,4259.0,1916.0,2343.0,1282.0,560.0,722.0,2977.0,1356.0,1621.0,2848.0,1847.0,1001.0,801.0,718.0,83.0,2047.0,1129.0,918.0
28,Saratoga County (Outer) PUMA,1763.0,957.0,806.0,1441.0,787.0,654.0,322.0,170.0,152.0,1559.0,855.0,704.0,1237.0,685.0,552.0,322.0,170.0,152.0,180.0,78.0,102.0,180.0,78.0,102.0,0.0,0.0,0.0,24.0,24.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0
29,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,27545.0,15318.0,12227.0,14327.0,7779.0,6548.0,13218.0,7539.0,5679.0,9746.0,5331.0,4415.0,6192.0,3125.0,3067.0,3554.0,2206.0,1348.0,13034.0,6765.0,6269.0,6221.0,3319.0,2902.0,6813.0,3446.0,3367.0,4765.0,3222.0,1543.0,1914.0,1335.0,579.0,2851.0,1887.0,964.0
30,Erie County (South) PUMA,656.0,345.0,311.0,372.0,143.0,229.0,284.0,202.0,82.0,535.0,247.0,288.0,323.0,117.0,206.0,212.0,130.0,82.0,98.0,98.0,0.0,26.0,26.0,0.0,72.0,72.0,0.0,23.0,0.0,23.0,23.0,0.0,23.0,0.0,0.0,0.0
31,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",20646.0,11138.0,9508.0,9905.0,5359.0,4546.0,10741.0,5779.0,4962.0,7525.0,3802.0,3723.0,4745.0,2286.0,2459.0,2780.0,1516.0,1264.0,10292.0,6194.0,4098.0,4213.0,2840.0,1373.0,6079.0,3354.0,2725.0,2829.0,1142.0,1687.0,947.0,233.0,714.0,1882.0,909.0,973.0
32,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,7750.0,3787.0,3963.0,906.0,501.0,405.0,6844.0,3286.0,3558.0,3100.0,1641.0,1459.0,456.0,105.0,351.0,2644.0,1536.0,1108.0,3717.0,1798.0,1919.0,450.0,396.0,54.0,3267.0,1402.0,1865.0,933.0,348.0,585.0,0.0,0.0,0.0,933.0,348.0,585.0
33,Suffolk County (Central)--Brookhaven Town (Central) PUMA,7589.0,4436.0,3153.0,5785.0,3256.0,2529.0,1804.0,1180.0,624.0,2080.0,970.0,1110.0,1914.0,970.0,944.0,166.0,0.0,166.0,3237.0,1636.0,1601.0,2851.0,1467.0,1384.0,386.0,169.0,217.0,2272.0,1830.0,442.0,1020.0,819.0,201.0,1252.0,1011.0,241.0
