,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NRB_mf_t,Total_NRB_m,Total_NRB_f,Total_RB_mf_t,Total_RB_m,Total_RB_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NRB_mf_t,BABS_NRB_m,BABS_NRB_f,BABS_RB_mf_t,BABS_RB_m,BABS_RB_f,Total_HS,Total_HS_m,Total_HS_f,HS_NRB_mf_t,HS_NRB_m,HS_NRB_f,HS_RB_mf_t,HS_RB_m,HS_RB_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NRB_mf_t,HSINC_NRB_m,HSINC_NRB_f,HSINC_RB_mf_t,HSINC_RB_m,HSINC_RB_f
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",1078.0,1002.0,76.0,589.0,513.0,76.0,489.0,489.0,0.0,312.0,312.0,0.0,312.0,312.0,0.0,0.0,0.0,0.0,600.0,600.0,0.0,111.0,111.0,0.0,489.0,489.0,0.0,166.0,90.0,76.0,166.0,90.0,76.0,0.0,0.0,0.0
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",1014.0,315.0,699.0,871.0,172.0,699.0,143.0,143.0,0.0,437.0,37.0,400.0,400.0,0.0,400.0,37.0,37.0,0.0,577.0,278.0,299.0,471.0,172.0,299.0,106.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,750.0,422.0,328.0,565.0,300.0,265.0,185.0,122.0,63.0,379.0,169.0,210.0,316.0,169.0,147.0,63.0,0.0,63.0,249.0,131.0,118.0,249.0,131.0,118.0,0.0,0.0,0.0,122.0,122.0,0.0,0.0,0.0,0.0,122.0,122.0,0.0
45,Saratoga County (Outer) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",1957.0,696.0,1261.0,1262.0,696.0,566.0,695.0,0.0,695.0,166.0,166.0,0.0,166.0,166.0,0.0,0.0,0.0,0.0,1451.0,412.0,1039.0,917.0,412.0,505.0,534.0,0.0,534.0,340.0,118.0,222.0,179.0,118.0,61.0,161.0,0.0,161.0
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",615.0,0.0,615.0,575.0,0.0,575.0,40.0,0.0,40.0,40.0,0.0,40.0,0.0,0.0,0.0,40.0,0.0,40.0,237.0,0.0,237.0,237.0,0.0,237.0,0.0,0.0,0.0,338.0,0.0,338.0,338.0,0.0,338.0,0.0,0.0,0.0
48,Wayne & Seneca Counties PUMA,401.0,198.0,203.0,401.0,198.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,107.0,203.0,310.0,107.0,203.0,0.0,0.0,0.0,91.0,91.0,0.0,91.0,91.0,0.0,0.0,0.0,0.0
49,Schenectady County--Schenectady City PUMA,423.0,153.0,270.0,423.0,153.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423.0,153.0,270.0,423.0,153.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,3071.0,1492.0,1579.0,2756.0,1333.0,1423.0,315.0,159.0,156.0,1109.0,608.0,501.0,956.0,549.0,407.0,153.0,59.0,94.0,1566.0,663.0,903.0,1404.0,563.0,841.0,162.0,100.0,62.0,396.0,221.0,175.0,396.0,221.0,175.0,0.0,0.0,0.0
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,38.0,38.0,0.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,38.0,0.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,600.0,173.0,427.0,600.0,173.0,427.0,0.0,0.0,0.0,106.0,106.0,0.0,106.0,106.0,0.0,0.0,0.0,0.0,494.0,67.0,427.0,494.0,67.0,427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",3279.0,1461.0,1818.0,2339.0,1339.0,1000.0,940.0,122.0,818.0,534.0,0.0,534.0,483.0,0.0,483.0,51.0,0.0,51.0,2057.0,1142.0,915.0,1537.0,1020.0,517.0,520.0,122.0,398.0,688.0,319.0,369.0,319.0,319.0,0.0,369.0,0.0,369.0
54,Columbia & Greene Counties PUMA,214.0,0.0,214.0,0.0,0.0,0.0,214.0,0.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,0.0,214.0,0.0,0.0,0.0,214.0,0.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Rensselaer County--Troy City PUMA,392.0,0.0,392.0,89.0,0.0,89.0,303.0,0.0,303.0,89.0,0.0,89.0,89.0,0.0,89.0,0.0,0.0,0.0,56.0,0.0,56.0,0.0,0.0,0.0,56.0,0.0,56.0,247.0,0.0,247.0,0.0,0.0,0.0,247.0,0.0,247.0
56,Erie County (West Central)--Buffalo City (West) PUMA,2364.0,1721.0,643.0,1867.0,1463.0,404.0,497.0,258.0,239.0,40.0,0.0,40.0,40.0,0.0,40.0,0.0,0.0,0.0,1963.0,1360.0,603.0,1724.0,1360.0,364.0,239.0,0.0,239.0,361.0,361.0,0.0,103.0,103.0,0.0,258.0,258.0,0.0
