,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",5293,2342,2951,4866,1915,2951,427,427,0,809,134,675,708,33,675,101,101,0,3890,1838,2052,3564,1512,2052,326,326,0,594,370,224,594,370,224,0,0,0
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,350,200,150,350,200,150,0,0,0,0,0,0,0,0,0,0,0,0,350,200,150,350,200,150,0,0,0,0,0,0,0,0,0,0,0,0
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",1578,1180,398,1499,1101,398,79,79,0,221,221,0,221,221,0,0,0,0,1203,805,398,1136,738,398,67,67,0,154,154,0,142,142,0,12,12,0
41,Suffolk County (Central)--Islip Town (East) PUMA,1729,766,963,1729,766,963,0,0,0,331,241,90,331,241,90,0,0,0,1223,350,873,1223,350,873,0,0,0,175,175,0,175,175,0,0,0,0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",988,912,76,676,600,76,312,312,0,312,312,0,0,0,0,312,312,0,600,600,0,600,600,0,0,0,0,76,0,76,76,0,76,0,0,0
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",1469,545,924,1217,402,815,252,143,109,774,193,581,628,156,472,146,37,109,621,278,343,515,172,343,106,106,0,74,74,0,74,74,0,0,0,0
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,889,422,467,847,422,425,42,0,42,379,169,210,379,169,210,0,0,0,388,131,257,346,131,215,42,0,42,122,122,0,122,122,0,0,0,0
45,Saratoga County (Outer) PUMA,315,315,0,315,315,0,0,0,0,41,41,0,41,41,0,0,0,0,274,274,0,274,274,0,0,0,0,0,0,0,0,0,0,0,0,0
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",2690,1493,1197,2502,1493,1009,188,0,188,679,269,410,679,269,410,0,0,0,1719,993,726,1531,993,538,188,0,188,292,231,61,292,231,61,0,0,0
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",482,58,424,321,0,321,161,58,103,0,0,0,0,0,0,0,0,0,334,0,334,231,0,231,103,0,103,148,58,90,90,0,90,58,58,0
48,Wayne & Seneca Counties PUMA,513,250,263,203,143,60,310,107,203,0,0,0,0,0,0,0,0,0,422,159,263,112,52,60,310,107,203,91,91,0,91,91,0,0,0,0
49,Schenectady County--Schenectady City PUMA,701,299,402,701,299,402,0,0,0,0,0,0,0,0,0,0,0,0,701,299,402,701,299,402,0,0,0,0,0,0,0,0,0,0,0,0
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,2665,1223,1442,2607,1165,1442,58,58,0,1041,540,501,983,482,501,58,58,0,1518,683,835,1518,683,835,0,0,0,106,0,106,106,0,106,0,0,0
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,307,121,186,307,121,186,0,0,0,83,83,0,83,83,0,0,0,0,224,38,186,224,38,186,0,0,0,0,0,0,0,0,0,0,0,0
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,2479,1269,1210,2127,1202,925,352,67,285,739,473,266,606,473,133,133,0,133,1661,796,865,1442,729,713,219,67,152,79,0,79,79,0,79,0,0,0
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",2844,1535,1309,2361,1535,826,483,0,483,534,0,534,51,0,51,483,0,483,1991,1216,775,1991,1216,775,0,0,0,319,319,0,319,319,0,0,0,0
54,Columbia & Greene Counties PUMA,113,84,29,113,84,29,0,0,0,0,0,0,0,0,0,0,0,0,113,84,29,113,84,29,0,0,0,0,0,0,0,0,0,0,0,0
55,Rensselaer County--Troy City PUMA,260,86,174,260,86,174,0,0,0,118,0,118,118,0,118,0,0,0,56,0,56,56,0,56,0,0,0,86,86,0,86,86,0,0,0,0
56,Erie County (West Central)--Buffalo City (West) PUMA,2929,2034,895,2715,1820,895,214,214,0,111,0,111,111,0,111,0,0,0,2715,1931,784,2501,1717,784,214,214,0,103,103,0,103,103,0,0,0,0
57,Erie County (South) PUMA,46,0,46,46,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,46,46,0,46,0,0,0
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,518,171,347,518,171,347,0,0,0,115,115,0,115,115,0,0,0,0,403,56,347,403,56,347,0,0,0,0,0,0,0,0,0,0,0,0
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",4092,1253,2839,4092,1253,2839,0,0,0,1768,220,1548,1768,220,1548,0,0,0,2101,1033,1068,2101,1033,1068,0,0,0,223,0,223,223,0,223,0,0,0
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,1170,728,442,1170,728,442,0,0,0,269,0,269,269,0,269,0,0,0,901,728,173,901,728,173,0,0,0,0,0,0,0,0,0,0,0,0
61,NYC-Manhattan Community District 10--Central Harlem PUMA,3887,1604,2283,3810,1604,2206,77,0,77,847,321,526,770,321,449,77,0,77,2245,629,1616,2245,629,1616,0,0,0,795,654,141,795,654,141,0,0,0
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,1103,49,1054,1103,49,1054,0,0,0,374,49,325,374,49,325,0,0,0,622,0,622,622,0,622,0,0,0,107,0,107,107,0,107,0,0,0
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,2811,1560,1251,2153,980,1173,658,580,78,172,0,172,172,0,172,0,0,0,1726,808,918,1648,808,840,78,0,78,913,752,161,333,172,161,580,580,0
64,Albany County (East Central)--Albany City PUMA,1464,621,843,1288,445,843,176,176,0,333,186,147,333,186,147,0,0,0,955,259,696,955,259,696,0,0,0,176,176,0,0,0,0,176,176,0
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,1095,548,547,1049,548,501,46,0,46,229,0,229,229,0,229,0,0,0,866,548,318,820,548,272,46,0,46,0,0,0,0,0,0,0,0,0
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,86,0,86,86,0,86,0,0,0,0,0,0,0,0,0,0,0,0,86,0,86,86,0,86,0,0,0,0,0,0,0,0,0,0,0,0
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",8400,3846,4554,6686,3301,3385,1714,545,1169,875,406,469,875,406,469,0,0,0,5775,2267,3508,4425,1798,2627,1350,469,881,1750,1173,577,1386,1097,289,364,76,288
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",3799,1448,2351,3395,1360,2035,404,88,316,899,119,780,899,119,780,0,0,0,1816,681,1135,1613,681,932,203,0,203,1084,648,436,883,560,323,201,88,113
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",4769,2406,2363,4451,2150,2301,318,256,62,1376,503,873,1376,503,873,0,0,0,3042,1552,1490,2917,1489,1428,125,63,62,351,351,0,158,158,0,193,193,0
70,Erie County (Northeast) PUMA,155,155,0,155,155,0,0,0,0,80,80,0,80,80,0,0,0,0,75,75,0,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0
71,NYC-Manhattan Community District 11--East Harlem PUMA,5530,1721,3809,4812,1721,3091,718,0,718,1839,338,1501,1839,338,1501,0,0,0,3691,1383,2308,2973,1383,1590,718,0,718,0,0,0,0,0,0,0,0,0
72,Orange County (Southeast) PUMA,5284,2713,2571,5284,2713,2571,0,0,0,1087,305,782,1087,305,782,0,0,0,4025,2236,1789,4025,2236,1789,0,0,0,172,172,0,172,172,0,0,0,0
73,Westchester County (Southeast) PUMA,194,69,125,194,69,125,0,0,0,194,69,125,194,69,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,2452,1251,1201,2452,1251,1201,0,0,0,1551,655,896,1551,655,896,0,0,0,901,596,305,901,596,305,0,0,0,0,0,0,0,0,0,0,0,0
75,Livingston & Wyoming Counties PUMA,92,72,20,92,72,20,0,0,0,0,0,0,0,0,0,0,0,0,92,72,20,92,72,20,0,0,0,0,0,0,0,0,0,0,0,0
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,1450,687,763,1249,486,763,201,201,0,303,54,249,303,54,249,0,0,0,945,633,312,744,432,312,201,201,0,202,0,202,202,0,202,0,0,0
77,Westchester County (Southwest)--Yonkers City PUMA,7265,3273,3992,6384,3152,3232,881,121,760,2523,1230,1293,2326,1230,1096,197,0,197,4167,1669,2498,3518,1548,1970,649,121,528,575,374,201,540,374,166,35,0,35
78,Erie County (North Central) PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Saratoga County (South & Central) PUMA,312,312,0,312,312,0,0,0,0,91,91,0,91,91,0,0,0,0,221,221,0,221,221,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Suffolk County (South Central)--Brookhaven Town (South) PUMA,1672,739,933,1568,635,933,104,104,0,371,0,371,371,0,371,0,0,0,1195,739,456,1091,635,456,104,104,0,106,0,106,106,0,106,0,0,0
81,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",2711,1484,1227,2633,1406,1227,78,78,0,875,417,458,875,417,458,0,0,0,1552,924,628,1474,846,628,78,78,0,284,143,141,284,143,141,0,0,0
82,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,534,534,0,390,390,0,144,144,0,17,17,0,17,17,0,0,0,0,517,517,0,373,373,0,144,144,0,0,0,0,0,0,0,0,0,0
83,Niagara County (North & East) PUMA,588,552,36,588,552,36,0,0,0,218,218,0,218,218,0,0,0,0,170,134,36,170,134,36,0,0,0,200,200,0,200,200,0,0,0,0
84,Monroe County (Central)--Rochester City (East) PUMA,2009,1054,955,1678,891,787,331,163,168,222,75,147,222,75,147,0,0,0,1161,529,632,931,366,565,230,163,67,626,450,176,525,450,75,101,0,101
85,Warren & Washington Counties PUMA,344,283,61,344,283,61,0,0,0,0,0,0,0,0,0,0,0,0,344,283,61,344,283,61,0,0,0,0,0,0,0,0,0,0,0,0
86,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,1023,707,316,1023,707,316,0,0,0,0,0,0,0,0,0,0,0,0,1023,707,316,1023,707,316,0,0,0,0,0,0,0,0,0,0,0,0
87,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,1033,759,274,1033,759,274,0,0,0,435,161,274,435,161,274,0,0,0,598,598,0,598,598,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Onondaga County (Central)--Syracuse City PUMA,744,496,248,651,403,248,93,93,0,73,32,41,73,32,41,0,0,0,539,371,168,539,371,168,0,0,0,132,93,39,39,0,39,93,93,0
89,Westchester County (Central)--White Plains City PUMA,3180,1962,1218,3180,1962,1218,0,0,0,693,0,693,693,0,693,0,0,0,2487,1962,525,2487,1962,525,0,0,0,0,0,0,0,0,0,0,0,0
90,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,2407,1231,1176,1579,844,735,828,387,441,587,330,257,587,330,257,0,0,0,1640,801,839,904,426,478,736,375,361,180,100,80,88,88,0,92,12,80
91,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",7727,2768,4959,7057,2597,4460,670,171,499,699,258,441,699,258,441,0,0,0,5266,1852,3414,5112,1807,3305,154,45,109,1762,658,1104,1246,532,714,516,126,390
92,Cattaraugus & Allegany Counties PUMA,117,8,109,117,8,109,0,0,0,76,0,76,76,0,76,0,0,0,41,8,33,41,8,33,0,0,0,0,0,0,0,0,0,0,0,0
93,Oswego County PUMA,222,0,222,222,0,222,0,0,0,222,0,222,222,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",5911,2794,3117,5708,2794,2914,203,0,203,748,510,238,748,510,238,0,0,0,4700,2284,2416,4497,2284,2213,203,0,203,463,0,463,463,0,463,0,0,0
95,Monroe County (East) PUMA,1117,394,723,1117,394,723,0,0,0,298,64,234,298,64,234,0,0,0,734,245,489,734,245,489,0,0,0,85,85,0,85,85,0,0,0,0
96,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,1515,1115,400,1404,1115,289,111,0,111,610,492,118,610,492,118,0,0,0,905,623,282,794,623,171,111,0,111,0,0,0,0,0,0,0,0,0
97,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",3190,1018,2172,2769,1018,1751,421,0,421,428,87,341,310,87,223,118,0,118,2618,859,1759,2315,859,1456,303,0,303,144,72,72,144,72,72,0,0,0
98,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",707,254,453,707,254,453,0,0,0,161,0,161,161,0,161,0,0,0,471,254,217,471,254,217,0,0,0,75,0,75,75,0,75,0,0,0
99,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",9459,4245,5214,8916,3888,5028,543,357,186,2222,792,1430,2222,792,1430,0,0,0,6413,3096,3317,6076,2945,3131,337,151,186,824,357,467,618,151,467,206,206,0
100,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",1639,1012,627,1639,1012,627,0,0,0,816,454,362,816,454,362,0,0,0,743,516,227,743,516,227,0,0,0,80,42,38,80,42,38,0,0,0
101,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",531,395,136,531,395,136,0,0,0,136,0,136,136,0,136,0,0,0,395,395,0,395,395,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Chautauqua County PUMA,1437,917,520,903,383,520,534,534,0,352,213,139,352,213,139,0,0,0,729,510,219,389,170,219,340,340,0,356,194,162,162,0,162,194,194,0
103,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,2176,1309,867,1981,1204,777,195,105,90,338,0,338,338,0,338,0,0,0,1838,1309,529,1643,1204,439,195,105,90,0,0,0,0,0,0,0,0,0
104,Erie County (West Central)--Buffalo City (East) PUMA,1114,158,956,1114,158,956,0,0,0,0,0,0,0,0,0,0,0,0,1000,158,842,1000,158,842,0,0,0,114,0,114,114,0,114,0,0,0
105,Genesee & Orleans Counties PUMA,167,95,72,115,95,20,52,0,52,20,0,20,20,0,20,0,0,0,147,95,52,95,95,0,52,0,52,0,0,0,0,0,0,0,0,0
