,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,3302,1723,1579,2876,1453,1423,426,270,156,1167,666,501,956,549,407,211,117,94,1686,783,903,1524,683,841,162,100,62,449,274,175,396,221,175,53,53,0
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,453,121,332,415,83,332,38,38,0,83,83,0,83,83,0,0,0,0,370,38,332,332,0,332,38,38,0,0,0,0,0,0,0,0,0,0
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,3420,1932,1488,2518,1403,1115,902,529,373,1279,1013,266,1279,1013,266,0,0,0,2048,919,1129,1160,390,770,888,529,359,93,0,93,79,0,79,14,0,14
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",3475,1657,1818,2535,1535,1000,940,122,818,534,0,534,483,0,483,51,0,51,2253,1338,915,1733,1216,517,520,122,398,688,319,369,319,319,0,369,0,369
54,Columbia & Greene Counties PUMA,459,134,325,195,84,111,264,50,214,82,0,82,82,0,82,0,0,0,327,84,243,113,84,29,214,0,214,50,50,0,0,0,0,50,50,0
55,Rensselaer County--Troy City PUMA,581,160,421,252,134,118,329,26,303,118,0,118,118,0,118,0,0,0,130,74,56,48,48,0,82,26,56,333,86,247,86,86,0,247,0,247
56,Erie County (West Central)--Buffalo City (West) PUMA,3819,2432,1387,3069,2174,895,750,258,492,111,0,111,111,0,111,0,0,0,3198,1931,1267,2715,1931,784,483,0,483,510,501,9,243,243,0,267,258,9
57,Erie County (South) PUMA,139,0,139,46,0,46,93,0,93,0,0,0,0,0,0,0,0,0,93,0,93,0,0,0,93,0,93,46,0,46,46,0,46,0,0,0
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,790,443,347,210,171,39,580,272,308,115,115,0,115,115,0,0,0,0,403,56,347,95,56,39,308,0,308,272,272,0,0,0,0,272,272,0
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",4517,1505,3012,3936,1330,2606,581,175,406,1845,297,1548,1845,297,1548,0,0,0,2424,1183,1241,2091,1033,1058,333,150,183,248,25,223,0,0,0,248,25,223
