,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,34108,17761,16347,32474,16878,15596,1634,883,751,12792,5724,7068,12345,5441,6904,447,283,164,20038,11101,8937,18948,10598,8350,1090,503,587,1278,936,342,1181,839,342,97,97,0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,39315,19335,19980,36375,17537,18838,2940,1798,1142,7654,3101,4553,7578,3025,4553,76,76,0,29181,14859,14322,27250,13765,13485,1931,1094,837,2480,1375,1105,1547,747,800,933,628,305
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,41877,23581,18296,40130,22340,17790,1747,1241,506,16348,8338,8010,15987,8114,7873,361,224,137,24310,14240,10070,22924,13223,9701,1386,1017,369,1219,1003,216,1219,1003,216,0,0,0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",18196,9119,9077,15521,7682,7839,2675,1437,1238,4370,1671,2699,4004,1466,2538,366,205,161,11401,5703,5698,9838,5145,4693,1563,558,1005,2425,1745,680,1679,1071,608,746,674,72
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,8833,4681,4152,8588,4594,3994,245,87,158,3965,2020,1945,3807,2020,1787,158,0,158,3982,2086,1896,3895,1999,1896,87,87,0,886,575,311,886,575,311,0,0,0
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",52817,27359,25458,50290,26054,24236,2527,1305,1222,44952,22062,22890,43741,21516,22225,1211,546,665,6910,4681,2229,5969,4208,1761,941,473,468,955,616,339,580,330,250,375,286,89
41,Suffolk County (Central)--Islip Town (East) PUMA,40644,19524,21120,38323,18109,20214,2321,1415,906,18423,8141,10282,17797,7898,9899,626,243,383,21590,10752,10838,20071,9756,10315,1519,996,523,631,631,0,455,455,0,176,176,0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",22831,10863,11968,20816,9383,11433,2015,1480,535,10741,5233,5508,9949,4583,5366,792,650,142,11023,5021,6002,10097,4412,5685,926,609,317,1067,609,458,770,388,382,297,221,76
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",29407,15720,13687,28043,15031,13012,1364,689,675,13973,6557,7416,13369,6202,7167,604,355,249,14859,8808,6051,14153,8528,5625,706,280,426,575,355,220,521,301,220,54,54,0
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,16598,9343,7255,16074,9171,6903,524,172,352,8308,5291,3017,8230,5254,2976,78,37,41,6969,3232,3737,6578,3152,3426,391,80,311,1321,820,501,1266,765,501,55,55,0
