,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,51781,26693,25088,49776,25936,23840,2005,757,1248,23808,10676,13132,23115,10312,12803,693,364,329,27639,15905,11734,26489,15624,10865,1150,281,869,334,112,222,172,0,172,162,112,50
33,Fulton & Montgomery Counties PUMA,50732,25190,25542,38250,20066,18184,12482,5124,7358,8621,3632,4989,7577,3099,4478,1044,533,511,36328,19055,17273,27803,15426,12377,8525,3629,4896,5783,2503,3280,2870,1541,1329,2913,962,1951
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,77927,37399,40528,69654,33689,35965,8273,3710,4563,33499,16045,17454,31783,15159,16624,1716,886,830,42079,20285,21794,36462,18075,18387,5617,2210,3407,2349,1069,1280,1409,455,954,940,614,326
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,45791,22597,23194,40074,19768,20306,5717,2829,2888,15229,6495,8734,14554,6495,8059,675,0,675,27057,14276,12781,23037,11973,11064,4020,2303,1717,3505,1826,1679,2483,1300,1183,1022,526,496
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,53169,26020,27149,38599,20462,18137,14570,5558,9012,8719,3539,5180,7847,3217,4630,872,322,550,39788,20423,19365,29018,16416,12602,10770,4007,6763,4662,2058,2604,1734,829,905,2928,1229,1699
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,52259,27692,24567,48154,26302,21852,4105,1390,2715,17754,9038,8716,17239,8796,8443,515,242,273,32186,16821,15365,29258,16027,13231,2928,794,2134,2319,1833,486,1657,1479,178,662,354,308
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",26644,12804,13840,15857,8835,7022,10787,3969,6818,4993,1992,3001,4356,1992,2364,637,0,637,16349,7442,8907,9480,5214,4266,6869,2228,4641,5302,3370,1932,2021,1629,392,3281,1741,1540
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,10853,5210,5643,7791,4477,3314,3062,733,2329,4161,2216,1945,3480,2020,1460,681,196,485,5188,2401,2787,3348,1882,1466,1840,519,1321,1504,593,911,963,575,388,541,18,523
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",58359,28604,29755,54073,27581,26492,4286,1023,3263,47982,22984,24998,46848,22679,24169,1134,305,829,8767,4899,3868,6177,4193,1984,2590,706,1884,1610,721,889,1048,709,339,562,12,550
41,Suffolk County (Central)--Islip Town (East) PUMA,48638,23382,25256,47410,22701,24709,1228,681,547,20134,8910,11224,19858,8871,10987,276,39,237,27502,13659,13843,26587,13054,13533,915,605,310,1002,813,189,965,776,189,37,37,0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",26266,12374,13892,20183,9945,10238,6083,2429,3654,11883,5845,6038,10157,4904,5253,1726,941,785,12445,5358,7087,9199,4349,4850,3246,1009,2237,1938,1171,767,827,692,135,1111,479,632
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",38350,19696,18654,32094,16584,15510,6256,3112,3144,17250,7968,9282,15508,7424,8084,1742,544,1198,19408,10735,8673,15789,8652,7137,3619,2083,1536,1692,993,699,797,508,289,895,485,410
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,20872,11694,9178,18062,10552,7510,2810,1142,1668,9268,5750,3518,8696,5260,3436,572,490,82,9302,4427,4875,7795,4017,3778,1507,410,1097,2302,1517,785,1571,1275,296,731,242,489
45,Saratoga County (Outer) PUMA,60114,29678,30436,54982,27323,27659,5132,2355,2777,21312,9617,11695,19964,9429,10535,1348,188,1160,36912,18588,18324,33795,17001,16794,3117,1587,1530,1890,1473,417,1223,893,330,667,580,87
