,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
130,Erie County (Northeast) PUMA,499,262,262,0,237,126,111,0,0,0
131,Monroe County (Central)--Greece & Gates Towns PUMA,118,0,0,0,118,0,118,0,0,0
132,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,1522,234,155,79,916,535,381,372,372,0
133,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",1841,79,43,36,1585,696,889,177,0,177
134,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",230,230,230,0,0,0,0,0,0,0
135,Albany County (East Central)--Albany City PUMA,69,69,69,0,0,0,0,0,0,0
136,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",3065,575,231,344,2490,1140,1350,0,0,0
137,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,12281,762,75,687,9091,5328,3763,2428,1920,508
138,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,5226,526,307,219,2430,1146,1284,2270,1759,511
139,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",690,202,57,145,214,0,214,274,40,234
140,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",10837,962,437,525,8460,4135,4325,1415,780,635
141,NYC-Manhattan Community District 8--Upper East Side PUMA,4713,1618,0,1618,3095,3095,0,0,0,0
142,Orange County (Northeast)--Greater Newburgh City PUMA,2567,465,0,465,1428,898,530,674,593,81
143,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",1729,276,183,93,838,547,291,615,0,615
144,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,3802,608,265,343,2233,1412,821,961,261,700
145,Suffolk County (Central)--Islip Town (Northwest) PUMA,8220,1633,1306,327,3813,1111,2702,2774,1398,1376
146,Capital Region,866,271,151,120,453,43,410,142,142,0
147,Central NY,1317,426,369,57,759,508,251,132,132,0
148,Finger Lakes,1307,91,0,91,717,141,576,499,499,0
149,Long Island,45699,9534,4557,4977,24293,12166,12127,11872,7072,4800
150,Mid-Hudson,43810,9028,3605,5423,22778,11495,11283,12004,8073,3931
151,Mohawk Valley,532,0,0,0,416,348,68,116,93,23
152,New York City,241176,45441,19674,25767,151455,83955,67500,44280,26326,17954
153,North Country,612,44,32,12,362,290,72,206,206,0
154,Southern Tier,811,476,476,0,335,229,106,0,0,0
155,Western NY,1312,395,262,133,714,530,184,203,203,0
