,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
23,Monroe County (Central)--Rochester City (West) PUMA,543.0,373.0,170.0,155.0,58.0,97.0,388.0,315.0,73.0,173.0,173.0,0.0,0.0,0.0,0.0,173.0,173.0,0.0,248.0,78.0,170.0,97.0,0.0,97.0,151.0,78.0,73.0,122.0,122.0,0.0,58.0,58.0,0.0,64.0,64.0,0.0
24,Suffolk County (Central)--Islip Town (East) PUMA,688.0,284.0,404.0,611.0,284.0,327.0,77.0,0.0,77.0,77.0,0.0,77.0,0.0,0.0,0.0,77.0,0.0,77.0,450.0,284.0,166.0,450.0,284.0,166.0,0.0,0.0,0.0,161.0,0.0,161.0,161.0,0.0,161.0,0.0,0.0,0.0
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,201.0,53.0,148.0,53.0,53.0,0.0,148.0,0.0,148.0,53.0,53.0,0.0,53.0,53.0,0.0,0.0,0.0,0.0,148.0,0.0,148.0,0.0,0.0,0.0,148.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",10725.0,5323.0,5402.0,499.0,258.0,241.0,10226.0,5065.0,5161.0,1751.0,958.0,793.0,203.0,0.0,203.0,1548.0,958.0,590.0,5249.0,2558.0,2691.0,258.0,258.0,0.0,4991.0,2300.0,2691.0,3725.0,1807.0,1918.0,38.0,0.0,38.0,3687.0,1807.0,1880.0
27,St. Lawrence County PUMA,77.0,0.0,77.0,77.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,77.0,77.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Columbia & Greene Counties PUMA,236.0,147.0,89.0,87.0,87.0,0.0,149.0,60.0,89.0,87.0,87.0,0.0,87.0,87.0,0.0,0.0,0.0,0.0,149.0,60.0,89.0,0.0,0.0,0.0,149.0,60.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,337.0,76.0,261.0,131.0,0.0,131.0,206.0,76.0,130.0,84.0,0.0,84.0,84.0,0.0,84.0,0.0,0.0,0.0,177.0,0.0,177.0,47.0,0.0,47.0,130.0,0.0,130.0,76.0,76.0,0.0,0.0,0.0,0.0,76.0,76.0,0.0
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",3329.0,1817.0,1512.0,2052.0,1242.0,810.0,1277.0,575.0,702.0,873.0,129.0,744.0,460.0,129.0,331.0,413.0,0.0,413.0,2404.0,1688.0,716.0,1540.0,1113.0,427.0,864.0,575.0,289.0,52.0,0.0,52.0,52.0,0.0,52.0,0.0,0.0,0.0
31,Monroe County (North & West) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Schenectady County--Schenectady City PUMA,743.0,172.0,571.0,682.0,172.0,510.0,61.0,0.0,61.0,234.0,0.0,234.0,234.0,0.0,234.0,0.0,0.0,0.0,509.0,172.0,337.0,448.0,172.0,276.0,61.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
