,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
31,Monroe County (North & West) PUMA,143,143,0,44500.0,44500.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0,143,143,0,44500.0,44500.0,0.0
32,Schenectady County--Schenectady City PUMA,167,76,91,56081.4371257485,61965.78947368421,51167.03296703297,63,31,32,59009.52380952381,74400.0,44100.0,104,45,59,54307.692307692305,53400.0,55000.0,0,0,0,#DIV/0!,0.0,0.0
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",1299,890,409,65494.07236335643,69326.96629213484,57153.54523227384,252,60,192,86746.03174603175,130000.0,73229.16666666667,865,736,129,62597.456647398845,68324.72826086957,29920.93023255814,182,94,88,49835.16483516483,38446.8085106383,62000.0
34,Niagara County (North & East) PUMA,204,204,0,484852.9411764706,484852.9411764706,0.0,126,126,0,655000.0,655000.0,0.0,78,78,0,210000.0,210000.0,0.0,0,0,0,#DIV/0!,0.0,0.0
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,1713,1224,489,53951.546993578515,44107.02614379085,78593.04703476482,755,540,215,71492.71523178808,59900.0,100609.30232558139,858,584,274,38976.68997668997,28494.86301369863,61317.51824817518,100,100,0,50000.0,50000.0,0.0
36,Suffolk County (East) PUMA,1576,1017,559,64055.58375634518,66196.26352015733,60161.00178890877,638,354,284,84086.36363636363,78296.89265536724,91302.81690140846,938,663,275,50431.23667377399,59735.294117647056,28000.0,0,0,0,#DIV/0!,0.0,0.0
37,Warren & Washington Counties PUMA,364,214,150,64041.20879120879,96943.92523364486,17100.0,214,214,0,96943.92523364486,96943.92523364486,0.0,0,0,0,#DIV/0!,0.0,0.0,150,0,150,17100.0,0.0,17100.0
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,8200,4967,3233,87365.28048780488,103427.72297161265,62687.84410763996,5538,3027,2511,99761.66486096063,125115.26263627353,69198.00876144962,2462,1740,722,63147.928513403735,72733.67816091955,40046.53739612189,200,200,0,42225.0,42225.0,0.0
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",726,292,434,80395.31680440772,138160.95890410958,41529.95391705069,510,292,218,91500.0,138160.95890410958,29000.0,216,0,216,54175.92592592593,0.0,54175.92592592593,0,0,0,#DIV/0!,0.0,0.0
40,Westchester County (Central)--White Plains City PUMA,1810,1269,541,284455.09392265195,271318.3609141056,315269.3530499076,1493,952,541,322831.02478231746,327128.1512605042,315269.3530499076,243,243,0,89617.28395061729,89617.28395061729,0.0,74,74,0,150000.0,150000.0,0.0
41,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",338,338,0,61744.08284023669,61744.08284023669,0.0,32,32,0,150000.0,150000.0,0.0,306,306,0,52514.705882352944,52514.705882352944,0.0,0,0,0,#DIV/0!,0.0,0.0
