,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
65,Cayuga & Onondaga (South) Counties PUMA,607,306,301,607,306,301,0,0,0,333,184,149,333,184,149,0,0,0,274,122,152,274,122,152,0,0,0,0,0,0,0,0,0,0,0,0
66,Sullivan & Ulster (West) Counties PUMA,1291,674,617,1187,570,617,104,104,0,464,328,136,464,328,136,0,0,0,778,297,481,674,193,481,104,104,0,49,49,0,49,49,0,0,0,0
67,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",957,187,770,957,187,770,0,0,0,765,187,578,765,187,578,0,0,0,192,0,192,192,0,192,0,0,0,0,0,0,0,0,0,0,0,0
68,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,1585,1112,473,1529,1056,473,56,56,0,724,498,226,724,498,226,0,0,0,717,470,247,661,414,247,56,56,0,144,144,0,144,144,0,0,0,0
69,NYC-Queens Community District 1--Astoria & Long Island City PUMA,9807,5220,4587,9078,4697,4381,729,523,206,5722,2671,3051,5364,2482,2882,358,189,169,3726,2353,1373,3355,2019,1336,371,334,37,359,196,163,359,196,163,0,0,0
70,Jefferson & Lewis Counties PUMA,355,146,209,355,146,209,0,0,0,170,130,40,170,130,40,0,0,0,164,16,148,164,16,148,0,0,0,21,0,21,21,0,21,0,0,0
71,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,1603,541,1062,1549,541,1008,54,0,54,1027,367,660,1027,367,660,0,0,0,273,114,159,219,114,105,54,0,54,303,60,243,303,60,243,0,0,0
72,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,86,86,0,86,86,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,0,86,86,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Orange County (Northeast)--Greater Newburgh City PUMA,561,284,277,561,284,277,0,0,0,277,0,277,277,0,277,0,0,0,284,284,0,284,284,0,0,0,0,0,0,0,0,0,0,0,0,0
74,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",2165,1788,377,2165,1788,377,0,0,0,863,602,261,863,602,261,0,0,0,887,812,75,887,812,75,0,0,0,415,374,41,415,374,41,0,0,0
