,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NRB_mf_t,Total_NRB_m,Total_NRB_f,Total_RB_mf_t,Total_RB_m,Total_RB_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NRB_mf_t,BABS_NRB_m,BABS_NRB_f,BABS_RB_mf_t,BABS_RB_m,BABS_RB_f,Total_HS,Total_HS_m,Total_HS_f,HS_NRB_mf_t,HS_NRB_m,HS_NRB_f,HS_RB_mf_t,HS_RB_m,HS_RB_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NRB_mf_t,HSINC_NRB_m,HSINC_NRB_f,HSINC_RB_mf_t,HSINC_RB_m,HSINC_RB_f
78,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",11522.0,4466.0,7056.0,9493.0,3639.0,5854.0,2029.0,827.0,1202.0,5235.0,1799.0,3436.0,4423.0,1502.0,2921.0,812.0,297.0,515.0,5827.0,2667.0,3160.0,4805.0,2137.0,2668.0,1022.0,530.0,492.0,460.0,0.0,460.0,265.0,0.0,265.0,195.0,0.0,195.0
79,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",529.0,389.0,140.0,392.0,313.0,79.0,137.0,76.0,61.0,245.0,245.0,0.0,245.0,245.0,0.0,0.0,0.0,0.0,284.0,144.0,140.0,147.0,68.0,79.0,137.0,76.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,385.0,149.0,236.0,385.0,149.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.0,149.0,236.0,385.0,149.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Onondaga County (Central)--Syracuse City (Outer) PUMA,347.0,206.0,141.0,347.0,206.0,141.0,0.0,0.0,0.0,281.0,140.0,141.0,281.0,140.0,141.0,0.0,0.0,0.0,66.0,66.0,0.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",2537.0,1578.0,959.0,1656.0,908.0,748.0,881.0,670.0,211.0,1867.0,908.0,959.0,1656.0,908.0,748.0,211.0,0.0,211.0,670.0,670.0,0.0,0.0,0.0,0.0,670.0,670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,"Chenango, Delaware & Broome (East) Counties PUMA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Orange County (Northwest) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,1601.0,1062.0,539.0,1118.0,668.0,450.0,483.0,394.0,89.0,640.0,405.0,235.0,242.0,96.0,146.0,398.0,309.0,89.0,903.0,599.0,304.0,818.0,514.0,304.0,85.0,85.0,0.0,58.0,58.0,0.0,58.0,58.0,0.0,0.0,0.0,0.0
86,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,1231.0,489.0,742.0,797.0,399.0,398.0,434.0,90.0,344.0,489.0,489.0,0.0,399.0,399.0,0.0,90.0,90.0,0.0,742.0,0.0,742.0,398.0,0.0,398.0,344.0,0.0,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Dutchess County (North & East) PUMA,230.0,56.0,174.0,0.0,0.0,0.0,230.0,56.0,174.0,230.0,56.0,174.0,0.0,0.0,0.0,230.0,56.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Putnam County PUMA,878.0,407.0,471.0,814.0,407.0,407.0,64.0,0.0,64.0,207.0,0.0,207.0,143.0,0.0,143.0,64.0,0.0,64.0,671.0,407.0,264.0,671.0,407.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Albany County (Outside Albany City) PUMA,943.0,679.0,264.0,750.0,585.0,165.0,193.0,94.0,99.0,574.0,310.0,264.0,381.0,216.0,165.0,193.0,94.0,99.0,369.0,369.0,0.0,369.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",349.0,349.0,0.0,349.0,349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.0,349.0,0.0,349.0,349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,2076.0,945.0,1131.0,584.0,339.0,245.0,1492.0,606.0,886.0,1403.0,730.0,673.0,369.0,124.0,245.0,1034.0,606.0,428.0,215.0,215.0,0.0,215.0,215.0,0.0,0.0,0.0,0.0,458.0,0.0,458.0,0.0,0.0,0.0,458.0,0.0,458.0
92,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",4487.0,2265.0,2222.0,2941.0,1479.0,1462.0,1546.0,786.0,760.0,2107.0,1167.0,940.0,1487.0,720.0,767.0,620.0,447.0,173.0,1993.0,752.0,1241.0,1108.0,413.0,695.0,885.0,339.0,546.0,387.0,346.0,41.0,346.0,346.0,0.0,41.0,0.0,41.0
93,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Suffolk County (Northwest)--Huntington Town (South) PUMA,609.0,282.0,327.0,609.0,282.0,327.0,0.0,0.0,0.0,609.0,282.0,327.0,609.0,282.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Oswego County PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Rensselaer County--Troy City PUMA,600.0,336.0,264.0,343.0,259.0,84.0,257.0,77.0,180.0,523.0,336.0,187.0,343.0,259.0,84.0,180.0,77.0,103.0,77.0,0.0,77.0,0.0,0.0,0.0,77.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,Saratoga County (Outer) PUMA,82.0,82.0,0.0,82.0,82.0,0.0,0.0,0.0,0.0,82.0,82.0,0.0,82.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,62.0,62.0,0.0,62.0,62.0,0.0,0.0,0.0,0.0,62.0,62.0,0.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,Monroe County (East) PUMA,150.0,0.0,150.0,150.0,0.0,150.0,0.0,0.0,0.0,150.0,0.0,150.0,150.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,Erie County (South) PUMA,769.0,371.0,398.0,769.0,371.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,769.0,371.0,398.0,769.0,371.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Monroe County (Central)--Greece & Gates Towns PUMA,340.0,186.0,154.0,286.0,132.0,154.0,54.0,54.0,0.0,286.0,132.0,154.0,286.0,132.0,154.0,0.0,0.0,0.0,54.0,54.0,0.0,0.0,0.0,0.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,6094.0,3254.0,2840.0,5063.0,2862.0,2201.0,1031.0,392.0,639.0,5591.0,2955.0,2636.0,4949.0,2748.0,2201.0,642.0,207.0,435.0,389.0,185.0,204.0,0.0,0.0,0.0,389.0,185.0,204.0,114.0,114.0,0.0,114.0,114.0,0.0,0.0,0.0,0.0
104,NYC-Manhattan Community District 11--East Harlem PUMA,1556.0,957.0,599.0,1322.0,797.0,525.0,234.0,160.0,74.0,1333.0,844.0,489.0,1099.0,684.0,415.0,234.0,160.0,74.0,223.0,113.0,110.0,223.0,113.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
