,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
34,Niagara County (North & East) PUMA,204.0,204.0,0.0,126.0,126.0,0.0,78.0,78.0,0.0,126.0,126.0,0.0,126.0,126.0,0.0,0.0,0.0,0.0,78.0,78.0,0.0,0.0,0.0,0.0,78.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,2427.0,1827.0,600.0,1672.0,1072.0,600.0,755.0,755.0,0.0,755.0,540.0,215.0,422.0,207.0,215.0,333.0,333.0,0.0,1347.0,962.0,385.0,925.0,540.0,385.0,422.0,422.0,0.0,325.0,325.0,0.0,325.0,325.0,0.0,0.0,0.0,0.0
36,Suffolk County (East) PUMA,2238.0,1251.0,987.0,909.0,547.0,362.0,1329.0,704.0,625.0,947.0,461.0,486.0,587.0,247.0,340.0,360.0,214.0,146.0,1291.0,790.0,501.0,322.0,300.0,22.0,969.0,490.0,479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Warren & Washington Counties PUMA,440.0,214.0,226.0,415.0,214.0,201.0,25.0,0.0,25.0,239.0,214.0,25.0,214.0,214.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,201.0,201.0,0.0,201.0,0.0,0.0,0.0
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,10820.0,5624.0,5196.0,6255.0,2972.0,3283.0,4565.0,2652.0,1913.0,6480.0,3019.0,3461.0,3907.0,1500.0,2407.0,2573.0,1519.0,1054.0,3849.0,2217.0,1632.0,1930.0,1157.0,773.0,1919.0,1060.0,859.0,491.0,388.0,103.0,418.0,315.0,103.0,73.0,73.0,0.0
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",1114.0,533.0,581.0,285.0,0.0,285.0,829.0,533.0,296.0,751.0,533.0,218.0,0.0,0.0,0.0,751.0,533.0,218.0,274.0,0.0,274.0,196.0,0.0,196.0,78.0,0.0,78.0,89.0,0.0,89.0,89.0,0.0,89.0,0.0,0.0,0.0
40,Westchester County (Central)--White Plains City PUMA,2539.0,1544.0,995.0,2120.0,1311.0,809.0,419.0,233.0,186.0,1882.0,952.0,930.0,1528.0,719.0,809.0,354.0,233.0,121.0,583.0,518.0,65.0,518.0,518.0,0.0,65.0,0.0,65.0,74.0,74.0,0.0,74.0,74.0,0.0,0.0,0.0,0.0
41,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",589.0,383.0,206.0,271.0,137.0,134.0,318.0,246.0,72.0,104.0,32.0,72.0,32.0,32.0,0.0,72.0,0.0,72.0,485.0,351.0,134.0,239.0,105.0,134.0,246.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Erie County (North Central) PUMA,1475.0,786.0,689.0,886.0,442.0,444.0,589.0,344.0,245.0,928.0,370.0,558.0,425.0,112.0,313.0,503.0,258.0,245.0,387.0,256.0,131.0,387.0,256.0,131.0,0.0,0.0,0.0,160.0,160.0,0.0,74.0,74.0,0.0,86.0,86.0,0.0
43,Chautauqua County PUMA,252.0,93.0,159.0,252.0,93.0,159.0,0.0,0.0,0.0,93.0,93.0,0.0,93.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,0.0,159.0,159.0,0.0,159.0,0.0,0.0,0.0
44,Dutchess County (Southwest) PUMA,1670.0,385.0,1285.0,1522.0,339.0,1183.0,148.0,46.0,102.0,744.0,297.0,447.0,596.0,251.0,345.0,148.0,46.0,102.0,466.0,88.0,378.0,466.0,88.0,378.0,0.0,0.0,0.0,460.0,0.0,460.0,460.0,0.0,460.0,0.0,0.0,0.0
45,Westchester County (Southeast) PUMA,5010.0,2711.0,2299.0,3007.0,1098.0,1909.0,2003.0,1613.0,390.0,2805.0,1248.0,1557.0,2118.0,758.0,1360.0,687.0,490.0,197.0,1939.0,1357.0,582.0,623.0,234.0,389.0,1316.0,1123.0,193.0,266.0,106.0,160.0,266.0,106.0,160.0,0.0,0.0,0.0
46,Rockland County (North)--New City & Congers PUMA,672.0,296.0,376.0,672.0,296.0,376.0,0.0,0.0,0.0,212.0,0.0,212.0,212.0,0.0,212.0,0.0,0.0,0.0,460.0,296.0,164.0,460.0,296.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,11151.0,5972.0,5179.0,10115.0,5365.0,4750.0,1036.0,607.0,429.0,4703.0,2602.0,2101.0,4085.0,2292.0,1793.0,618.0,310.0,308.0,5450.0,2470.0,2980.0,5102.0,2243.0,2859.0,348.0,227.0,121.0,998.0,900.0,98.0,928.0,830.0,98.0,70.0,70.0,0.0
