,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
31,Monroe County (North & West) PUMA,54829,27555,27274,45871,23663,22208,8958,3892,5066,22276,9815,12461,19728,8865,10863,2548,950,1598,30613,17107,13506,25171,14274,10897,5442,2833,2609,1940,633,1307,972,524,448,968,109,859
32,Schenectady County--Schenectady City PUMA,69645,33971,35674,60197,30128,30069,9448,3843,5605,25052,10382,14670,24092,10106,13986,960,276,684,40241,21482,18759,33018,18648,14370,7223,2834,4389,4352,2107,2245,3087,1374,1713,1265,733,532
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",29611,14593,15018,18605,8905,9700,11006,5688,5318,9108,4538,4570,7530,3882,3648,1578,656,922,16735,8384,8351,10170,4574,5596,6565,3810,2755,3768,1671,2097,905,449,456,2863,1222,1641
34,Niagara County (North & East) PUMA,53574,26784,26790,44338,22573,21765,9236,4211,5025,14919,6182,8737,13895,5882,8013,1024,300,724,36072,19295,16777,28407,15919,12488,7665,3376,4289,2583,1307,1276,2036,772,1264,547,535,12
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,61645,28799,32846,56482,26988,29494,5163,1811,3352,19666,7741,11925,18917,7671,11246,749,70,679,39257,19398,19859,35585,18214,17371,3672,1184,2488,2722,1660,1062,1980,1103,877,742,557,185
36,Suffolk County (East) PUMA,52432,26547,25885,46274,24072,22202,6158,2475,3683,26755,12838,13917,24824,11939,12885,1931,899,1032,24432,12948,11484,20681,11617,9064,3751,1331,2420,1245,761,484,769,516,253,476,245,231
37,Warren & Washington Counties PUMA,62036,30683,31353,51230,25469,25761,10806,5214,5592,17213,7704,9509,16638,7219,9419,575,485,90,39840,20195,19645,32490,16922,15568,7350,3273,4077,4983,2784,2199,2102,1328,774,2881,1456,1425
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,29240,14886,14354,25891,13641,12250,3349,1245,2104,19753,10035,9718,18160,9304,8856,1593,731,862,8873,4525,4348,7363,4078,3285,1510,447,1063,614,326,288,368,259,109,246,67,179
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",36577,17817,18760,29592,14893,14699,6985,2924,4061,18496,8720,9776,17663,8445,9218,833,275,558,14769,6930,7839,10188,5516,4672,4581,1414,3167,3312,2167,1145,1741,932,809,1571,1235,336
40,Westchester County (Central)--White Plains City PUMA,56197,27212,28985,50673,26062,24611,5524,1150,4374,39047,18494,20553,36359,18154,18205,2688,340,2348,15877,8394,7483,14004,7811,6193,1873,583,1290,1273,324,949,310,97,213,963,227,736
41,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",46597,20645,25952,22847,10977,11870,23750,9668,14082,8312,3909,4403,6374,3245,3129,1938,664,1274,27366,12231,15135,13751,6145,7606,13615,6086,7529,10919,4505,6414,2722,1587,1135,8197,2918,5279
42,Erie County (North Central) PUMA,48236,21711,26525,45101,20297,24804,3135,1414,1721,30599,13041,17558,29283,12516,16767,1316,525,791,16673,8056,8617,15036,7337,7699,1637,719,918,964,614,350,782,444,338,182,170,12
43,Chautauqua County PUMA,62554,31436,31118,45984,23830,22154,16570,7606,8964,14824,5958,8866,13329,5784,7545,1495,174,1321,41644,22007,19637,29885,16668,13217,11759,5339,6420,6086,3471,2615,2770,1378,1392,3316,2093,1223
44,Dutchess County (Southwest) PUMA,72456,36801,35655,64224,33503,30721,8232,3298,4934,26265,10740,15525,24459,10376,14083,1806,364,1442,41371,23771,17600,37112,21639,15473,4259,2132,2127,4820,2290,2530,2653,1488,1165,2167,802,1365
45,Westchester County (Southeast) PUMA,34765,18260,16505,33361,17659,15702,1404,601,803,25690,12918,12772,25178,12860,12318,512,58,454,8050,4641,3409,7185,4098,3087,865,543,322,1025,701,324,998,701,297,27,0,27
46,Rockland County (North)--New City & Congers PUMA,37168,19387,17781,33264,17300,15964,3904,2087,1817,17334,7239,10095,16561,7119,9442,773,120,653,17296,10303,6993,15040,9181,5859,2256,1122,1134,2538,1845,693,1663,1000,663,875,845,30
47,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,43570,20657,22913,39164,18445,20719,4406,2212,2194,15183,7587,7596,14637,7482,7155,546,105,441,26199,11934,14265,22735,9929,12806,3464,2005,1459,2188,1136,1052,1792,1034,758,396,102,294
48,Suffolk County (Southwest)--Islip Town (South) PUMA,45444,23137,22307,42476,21422,21054,2968,1715,1253,18942,8326,10616,18690,8185,10505,252,141,111,24723,13987,10736,22905,13064,9841,1818,923,895,1779,824,955,881,173,708,898,651,247
49,Erie County (West Central)--Buffalo City (East) PUMA,65587,30835,34752,42383,22079,20304,23204,8756,14448,11010,4442,6568,9533,3905,5628,1477,537,940,44558,20560,23998,29540,15844,13696,15018,4716,10302,10019,5833,4186,3310,2330,980,6709,3503,3206
50,Wayne & Seneca Counties PUMA,60472,30577,29895,50183,26392,23791,10289,4185,6104,13883,5782,8101,13196,5750,7446,687,32,655,41380,22044,19336,34255,18916,15339,7125,3128,3997,5209,2751,2458,2732,1726,1006,2477,1025,1452
51,Monroe County (South) PUMA,70842,33402,37440,63968,30161,33807,6874,3241,3633,43305,18947,24358,40186,17709,22477,3119,1238,1881,25937,13813,12124,22573,12020,10553,3364,1793,1571,1600,642,958,1209,432,777,391,210,181
52,Tompkins County PUMA,38128,17801,20327,32166,15386,16780,5962,2415,3547,21189,8900,12289,19836,8610,11226,1353,290,1063,15285,7834,7451,11251,5793,5458,4034,2041,1993,1654,1067,587,1079,983,96,575,84,491
53,Suffolk County (South Central)--Brookhaven Town (South) PUMA,60465,30381,30084,52929,27250,25679,7536,3131,4405,16521,6975,9546,16166,6860,9306,355,115,240,39362,20313,19049,33858,18610,15248,5504,1703,3801,4582,3093,1489,2905,1780,1125,1677,1313,364
54,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",50366,25310,25056,41722,21586,20136,8644,3724,4920,14543,6621,7922,13148,6043,7105,1395,578,817,32194,16182,16012,26330,13883,12447,5864,2299,3565,3629,2507,1122,2244,1660,584,1385,847,538
55,NYC-Manhattan Community District 8--Upper East Side PUMA,87251,36235,51016,81582,34503,47079,5669,1732,3937,77783,33032,44751,75496,32008,43488,2287,1024,1263,9193,3039,6154,5826,2346,3480,3367,693,2674,275,164,111,260,149,111,15,15,0
56,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",70889,36529,34360,67621,34862,32759,3268,1667,1601,63689,31297,32392,61427,30266,31161,2262,1031,1231,6283,4547,1736,5731,4365,1366,552,182,370,917,685,232,463,231,232,454,454,0
