,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
38,Westchester County (Southwest)--Yonkers City PUMA,17009,8853,8156,16342,8695,7647,667,158,509,4924,2389,2535,4831,2389,2442,93,0,93,9259,4715,4544,8821,4557,4264,438,158,280,2826,1749,1077,2690,1749,941,136,0,136
39,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",5504,2600,2904,5366,2600,2766,138,0,138,4084,1915,2169,3946,1915,2031,138,0,138,220,142,78,220,142,78,0,0,0,1200,543,657,1200,543,657,0,0,0
40,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,11451,6708,4743,11128,6385,4743,323,323,0,3900,2329,1571,3741,2170,1571,159,159,0,6229,3811,2418,6157,3739,2418,72,72,0,1322,568,754,1230,476,754,92,92,0
41,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,20388,12763,7625,19125,11908,7217,1263,855,408,7546,4516,3030,6887,3897,2990,659,619,40,10125,6119,4006,9705,5966,3739,420,153,267,2717,2128,589,2533,2045,488,184,83,101
42,Erie County (West Central)--Buffalo City (West) PUMA,2895,1349,1546,2794,1349,1445,101,0,101,1247,503,744,1247,503,744,0,0,0,899,551,348,899,551,348,0,0,0,749,295,454,648,295,353,101,0,101
43,Fulton & Montgomery Counties PUMA,647,491,156,647,491,156,0,0,0,200,114,86,200,114,86,0,0,0,447,377,70,447,377,70,0,0,0,0,0,0,0,0,0,0,0,0
44,Westchester County (Central)--White Plains City PUMA,13061,6921,6140,12510,6524,5986,551,397,154,5937,2465,3472,5687,2215,3472,250,250,0,4877,2705,2172,4576,2558,2018,301,147,154,2247,1751,496,2247,1751,496,0,0,0
45,St. Lawrence County PUMA,451,187,264,451,187,264,0,0,0,416,169,247,416,169,247,0,0,0,35,18,17,35,18,17,0,0,0,0,0,0,0,0,0,0,0,0
46,Saratoga County (South & Central) PUMA,3433,2238,1195,2834,1734,1100,599,504,95,2325,1364,961,2230,1364,866,95,0,95,446,212,234,446,212,234,0,0,0,662,662,0,158,158,0,504,504,0
47,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,3472,2010,1462,3472,2010,1462,0,0,0,1554,837,717,1554,837,717,0,0,0,1539,887,652,1539,887,652,0,0,0,379,286,93,379,286,93,0,0,0
48,Suffolk County (North Central)--Brookhaven Town (North) PUMA,2631,1393,1238,2631,1393,1238,0,0,0,2268,1311,957,2268,1311,957,0,0,0,363,82,281,363,82,281,0,0,0,0,0,0,0,0,0,0,0,0
49,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,98,98,0,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,98,98,0,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Suffolk County (Central)--Islip Town (East) PUMA,1961,1127,834,1736,902,834,225,225,0,1334,814,520,1334,814,520,0,0,0,402,88,314,402,88,314,0,0,0,225,225,0,0,0,0,225,225,0
51,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",5557,2436,3121,5557,2436,3121,0,0,0,948,800,148,948,800,148,0,0,0,4104,1345,2759,4104,1345,2759,0,0,0,505,291,214,505,291,214,0,0,0
52,Westchester County (Northeast) PUMA,5006,2694,2312,4889,2694,2195,117,0,117,2671,1082,1589,2554,1082,1472,117,0,117,2087,1364,723,2087,1364,723,0,0,0,248,248,0,248,248,0,0,0,0
53,Chautauqua County PUMA,395,173,222,395,173,222,0,0,0,25,0,25,25,0,25,0,0,0,232,173,59,232,173,59,0,0,0,138,0,138,138,0,138,0,0,0
54,Erie County (West Central)--Buffalo City (East) PUMA,1742,1442,300,1658,1442,216,84,0,84,492,339,153,408,339,69,84,0,84,1114,967,147,1114,967,147,0,0,0,136,136,0,136,136,0,0,0,0
55,Cayuga & Onondaga (South) Counties PUMA,758,437,321,758,437,321,0,0,0,513,282,231,513,282,231,0,0,0,109,109,0,109,109,0,0,0,0,136,46,90,136,46,90,0,0,0
56,Oneida County (Central)--Greater Utica & Rome Cities PUMA,2726,1535,1191,2726,1535,1191,0,0,0,232,150,82,232,150,82,0,0,0,1818,928,890,1818,928,890,0,0,0,676,457,219,676,457,219,0,0,0
