,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
35,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",5389,2956,2433,4508,2622,1886,881,334,547,1551,492,1059,1163,492,671,388,0,388,3014,1799,1215,3014,1799,1215,0,0,0,824,665,159,331,331,0,493,334,159
36,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,22031,13870,8161,20269,12464,7805,1762,1406,356,10700,5715,4985,10326,5449,4877,374,266,108,10310,7516,2794,9101,6496,2605,1209,1020,189,1021,639,382,842,519,323,179,120,59
37,Suffolk County (Northwest)--Huntington Town (South) PUMA,3518,2336,1182,3261,2079,1182,257,257,0,2311,1531,780,2311,1531,780,0,0,0,924,607,317,667,350,317,257,257,0,283,198,85,283,198,85,0,0,0
38,Westchester County (Southwest)--Yonkers City PUMA,14068,7526,6542,11420,5899,5521,2648,1627,1021,4766,2324,2442,4573,2324,2249,193,0,193,7441,3647,3794,5694,2532,3162,1747,1115,632,1861,1555,306,1153,1043,110,708,512,196
39,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",4630,2499,2131,4398,2499,1899,232,0,232,3945,1814,2131,3713,1814,1899,232,0,232,142,142,0,142,142,0,0,0,0,543,543,0,543,543,0,0,0,0
40,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,9967,6080,3887,8256,4764,3492,1711,1316,395,3543,1972,1571,3303,1824,1479,240,148,92,5633,3672,1961,4670,2709,1961,963,963,0,791,436,355,283,231,52,508,205,303
41,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,16138,11198,4940,14390,9682,4708,1748,1516,232,6050,3531,2519,5426,3049,2377,624,482,142,7830,5764,2066,7363,5387,1976,467,377,90,2258,1903,355,1601,1246,355,657,657,0
42,Erie County (West Central)--Buffalo City (West) PUMA,2343,1349,994,1478,832,646,865,517,348,947,503,444,747,503,244,200,0,200,699,551,148,166,166,0,533,385,148,697,295,402,565,163,402,132,132,0
43,Fulton & Montgomery Counties PUMA,577,491,86,463,377,86,114,114,0,200,114,86,86,0,86,114,114,0,377,377,0,377,377,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Westchester County (Central)--White Plains City PUMA,11765,6222,5543,10693,5904,4789,1072,318,754,5563,2121,3442,5044,2121,2923,519,0,519,3955,2350,1605,3873,2350,1523,82,0,82,2247,1751,496,1776,1433,343,471,318,153
45,St. Lawrence County PUMA,451,187,264,433,169,264,18,18,0,416,169,247,416,169,247,0,0,0,35,18,17,17,0,17,18,18,0,0,0,0,0,0,0,0,0,0
46,Saratoga County (South & Central) PUMA,2608,1643,965,2260,1295,965,348,348,0,2095,1364,731,2026,1295,731,69,69,0,355,121,234,234,0,234,121,121,0,158,158,0,0,0,0,158,158,0
47,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,2631,1746,885,2631,1746,885,0,0,0,1369,822,547,1369,822,547,0,0,0,1102,857,245,1102,857,245,0,0,0,160,67,93,160,67,93,0,0,0
48,Suffolk County (North Central)--Brookhaven Town (North) PUMA,2283,1149,1134,2201,1067,1134,82,82,0,2004,1067,937,2004,1067,937,0,0,0,279,82,197,197,0,197,82,82,0,0,0,0,0,0,0,0,0,0
49,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,98,98,0,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,98,98,0,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Suffolk County (Central)--Islip Town (East) PUMA,1182,658,524,1182,658,524,0,0,0,776,345,431,776,345,431,0,0,0,181,88,93,181,88,93,0,0,0,225,225,0,225,225,0,0,0,0
51,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",5472,2351,3121,4657,2059,2598,815,292,523,863,715,148,863,715,148,0,0,0,4104,1345,2759,3289,1053,2236,815,292,523,505,291,214,505,291,214,0,0,0
52,Westchester County (Northeast) PUMA,4139,2694,1445,3322,2272,1050,817,422,395,2183,1082,1101,1788,1082,706,395,0,395,1708,1364,344,1534,1190,344,174,174,0,248,248,0,0,0,0,248,248,0
53,Chautauqua County PUMA,395,173,222,119,35,84,276,138,138,25,0,25,25,0,25,0,0,0,232,173,59,94,35,59,138,138,0,138,0,138,0,0,0,138,0,138
54,Erie County (West Central)--Buffalo City (East) PUMA,1628,1357,271,1190,1003,187,438,354,84,463,339,124,289,249,40,174,90,84,824,677,147,560,413,147,264,264,0,341,341,0,341,341,0,0,0,0
55,Cayuga & Onondaga (South) Counties PUMA,617,296,321,617,296,321,0,0,0,513,282,231,513,282,231,0,0,0,0,0,0,0,0,0,0,0,0,104,14,90,104,14,90,0,0,0
56,Oneida County (Central)--Greater Utica & Rome Cities PUMA,2164,1246,918,1393,700,693,771,546,225,150,150,0,150,150,0,0,0,0,1338,639,699,821,347,474,517,292,225,676,457,219,422,203,219,254,254,0
57,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,2530,1571,959,2530,1571,959,0,0,0,999,429,570,999,429,570,0,0,0,1151,814,337,1151,814,337,0,0,0,380,328,52,380,328,52,0,0,0
58,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",6700,4100,2600,5751,3753,1998,949,347,602,5399,3626,1773,5152,3379,1773,247,247,0,1165,338,827,463,238,225,702,100,602,136,136,0,136,136,0,0,0,0
59,NYC-Manhattan Community District 11--East Harlem PUMA,6560,3485,3075,5654,2947,2707,906,538,368,2916,1483,1433,2817,1483,1334,99,0,99,2073,637,1436,1690,426,1264,383,211,172,1571,1365,206,1147,1038,109,424,327,97
60,Schenectady County--Schenectady City PUMA,959,907,52,832,780,52,127,127,0,715,663,52,692,640,52,23,23,0,244,244,0,140,140,0,104,104,0,0,0,0,0,0,0,0,0,0
61,"Clinton, Franklin, Essex & Hamilton Counties PUMA",251,124,127,251,124,127,0,0,0,178,124,54,178,124,54,0,0,0,0,0,0,0,0,0,0,0,0,73,0,73,73,0,73,0,0,0
62,Onondaga County (Central)--Syracuse City (Outer) PUMA,1182,627,555,1116,576,540,66,51,15,933,576,357,918,576,342,15,0,15,175,51,124,124,0,124,51,51,0,74,0,74,74,0,74,0,0,0
63,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",9743,5168,4575,8803,4629,4174,940,539,401,4479,2324,2155,4169,2157,2012,310,167,143,4340,2283,2057,3841,2042,1799,499,241,258,924,561,363,793,430,363,131,131,0
64,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",2683,1568,1115,2508,1568,940,175,0,175,1194,549,645,1194,549,645,0,0,0,998,528,470,823,528,295,175,0,175,491,491,0,491,491,0,0,0,0
65,Onondaga County (North) PUMA,916,253,663,609,148,461,307,105,202,147,81,66,147,81,66,0,0,0,603,67,536,401,67,334,202,0,202,166,105,61,61,0,61,105,105,0
66,Ulster County (East) PUMA,2513,1032,1481,2385,1032,1353,128,0,128,1044,383,661,1044,383,661,0,0,0,1228,524,704,1100,524,576,128,0,128,241,125,116,241,125,116,0,0,0
67,Oswego County PUMA,209,209,0,209,209,0,0,0,0,144,144,0,144,144,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,0,65,65,0,0,0,0
68,Niagara County (North & East) PUMA,257,168,89,205,116,89,52,52,0,150,150,0,98,98,0,52,52,0,107,18,89,107,18,89,0,0,0,0,0,0,0,0,0,0,0,0
69,Broome (Outer West) & Tioga Counties PUMA,169,82,87,169,82,87,0,0,0,169,82,87,169,82,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",13362,7446,5916,9810,5833,3977,3552,1613,1939,3409,1583,1826,2326,952,1374,1083,631,452,7092,4367,2725,5661,4030,1631,1431,337,1094,2861,1496,1365,1823,851,972,1038,645,393
71,Suffolk County (Southwest)--Islip Town (South) PUMA,4439,2655,1784,4284,2655,1629,155,0,155,1693,1047,646,1693,1047,646,0,0,0,1973,1115,858,1973,1115,858,0,0,0,773,493,280,618,493,125,155,0,155
72,Erie County (Central) PUMA,713,484,229,551,322,229,162,162,0,254,125,129,254,125,129,0,0,0,412,359,53,250,197,53,162,162,0,47,0,47,47,0,47,0,0,0
73,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",7751,4220,3531,6589,3861,2728,1162,359,803,3555,1537,2018,3379,1419,1960,176,118,58,3030,1517,1513,2285,1517,768,745,0,745,1166,1166,0,925,925,0,241,241,0
74,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,1221,872,349,838,489,349,383,383,0,838,489,349,838,489,349,0,0,0,383,383,0,0,0,0,383,383,0,0,0,0,0,0,0,0,0,0
75,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,4107,2465,1642,4107,2465,1642,0,0,0,1462,667,795,1462,667,795,0,0,0,1878,1222,656,1878,1222,656,0,0,0,767,576,191,767,576,191,0,0,0
76,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",18102,10246,7856,16541,8987,7554,1561,1259,302,6435,2400,4035,6286,2288,3998,149,112,37,9372,6169,3203,8400,5462,2938,972,707,265,2295,1677,618,1855,1237,618,440,440,0
77,Cattaraugus & Allegany Counties PUMA,153,126,27,27,0,27,126,126,0,27,0,27,27,0,27,0,0,0,0,0,0,0,0,0,0,0,0,126,126,0,0,0,0,126,126,0
78,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",28214,15878,12336,25933,14248,11685,2281,1630,651,12417,7117,5300,12378,7117,5261,39,0,39,13840,7513,6327,12370,6355,6015,1470,1158,312,1957,1248,709,1185,776,409,772,472,300
79,Jefferson & Lewis Counties PUMA,993,258,735,774,140,634,219,118,101,359,258,101,140,140,0,219,118,101,634,0,634,634,0,634,0,0,0,0,0,0,0,0,0,0,0,0
