,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
133,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",13232,5365,2229,3136,5915,2755,3160,1952,1143,809
134,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",22551,3750,2280,1470,15232,6189,9043,3569,1858,1711
135,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,2891,808,561,247,1249,390,859,834,406,428
136,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,4008,1350,846,504,1499,671,828,1159,764,395
137,NYC-Manhattan Community District 8--Upper East Side PUMA,10768,9396,4554,4842,1120,499,621,252,252,0
138,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,14814,3312,1500,1812,7620,3859,3761,3882,2550,1332
139,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",18658,3724,1271,2453,11970,7180,4790,2964,1963,1001
140,Monroe County (East) PUMA,1834,721,469,252,957,294,663,156,85,71
141,Suffolk County (East) PUMA,6735,1157,240,917,4049,2205,1844,1529,1095,434
142,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",25418,13589,6770,6819,10654,5004,5650,1175,975,200
143,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",20462,5123,2674,2449,10217,5091,5126,5122,3272,1850
144,Suffolk County (Central)--Islip Town (Northwest) PUMA,21412,2645,1420,1225,11349,5643,5706,7418,5760,1658
145,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,8401,7258,2297,4961,707,489,218,436,436,0
146,Capital Region,19970,13407,7097,6310,4186,2182,2004,2377,1660,717
147,Central NY,8997,4580,2622,1958,3099,1197,1902,1318,551,767
148,Finger Lakes,17486,8523,5264,3259,7381,3923,3458,1582,884,698
149,Long Island,181524,74172,34883,39289,77155,40992,36163,30197,20447,9750
150,Mid-Hudson,140115,46320,19131,27189,68019,33098,34921,25776,15501,10275
151,Mohawk Valley,6173,1133,408,725,3428,1723,1705,1612,807,805
152,New York City,838436,313519,149688,163831,410519,207344,203175,114398,64598,49800
153,North Country,2586,1200,733,467,1210,178,1032,176,0,176
154,Southern Tier,9039,6147,2759,3388,2298,1449,849,594,276,318
155,Western NY,16060,8441,4860,3581,5243,3476,1767,2376,1162,1214
