,puma,Unemployment_BABS_score,FT_Work_BABS_score,Poverty_BABS_score,Working_Poor_BABS_score,Rent_Burden_BABS_score,Home_ownership_BABS_score,Income_level_BABS_score,Overall_BABS_score,Unemployment_HS_score,FT_Work_HS_score,Poverty_HS_score,Working_Poor_HS_score,Rent_Burden_HS_score,Home_ownership_HS_score,Income_level_HS_score,Overall_HS_score,Unemployment_BABS_grade,FT_Work_BABS_grade,Poverty_BABS_grade,Working_Poor_BABS_grade,Rent_Burden_BABS_grade,Home_ownership_BABS_grade,Income_level_BABS_grade,Overall_BABS_grade,Unemployment_HS_grade,FT_Work_HS_grade,Poverty_HS_grade,Working_Poor_HS_grade,Income_level_HS_grade,Rent_Burden_HS_grade,Home_ownership_HS_grade,Overall_HS_grade,Home_Ownership_BABS_score
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,0.24035742891488085,0.26642255517963165,-0.9533842053540499,-5.084606289457198,0.6670975407403884,0.1469186618116716,-0.1047298298720868,-0.6888463054338231,0.29146255447013436,0.7864582695947296,0.9453935667048867,0.5515468531150173,#DIV/0!,0.577159075493356,-1.10587528990942,#DIV/0!,C,B-,D,E,B-,C,C,C-,B-,B,B,B-,D,#DIV!0,B-,#DIV!0,#DIV/0!
33,Fulton & Montgomery Counties PUMA,0.24035742891488085,0.6257726876631248,0.6004635751385465,0.46850970198944564,#DIV/0!,0.79825901135843,10.956814810528682,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,C,B-,B-,B-,#DIV!0,B,A,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV/0!
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,0.24035742891488085,0.5729672744457208,0.6004635751385465,0.46850970198944564,0.6670975407403884,-0.29148066955808316,0.6056911712008661,0.4090865746959665,0.29146255447013436,-1.9756671872498381,0.9453935667048867,0.5515468531150173,0.35519778812237746,-0.05200492936424575,1.7102386022729121,0.26088103543874913,C,B-,B-,B-,B-,C-,B-,B-,B-,E,B,B-,A-,B-,C,B-,#DIV/0!
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,0.1275192935173998,-0.8099938198870023,0.32248184854474954,0.46850970198944564,#DIV/0!,1.043458137873997,0.2464987482488328,#DIV/0!,0.29146255447013436,-0.9332847705692645,-0.6927933973114413,0.2584027546877371,-0.3253772735770174,0.3325982064565035,0.7899096091988136,-0.03986890237779073,C,D,B-,B-,#DIV!0,B,C,#DIV!0,B-,D,C-,B-,B,C-,B-,C,#DIV/0!
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,0.24035742891488085,0.7969154851532364,-1.9014731929834485,-4.773850542516599,-4.2665234647271655,-1.0555590951982565,-0.15885645720609398,-1.5884271197947781,0.29146255447013436,0.7168718416852098,0.9453935667048867,0.5515468531150173,0.35519778812237746,-0.08869535183843912,0.8627553494044953,0.5192189430948116,C,B,E,E,E,D,C,D-,B-,B-,B,B-,B,B-,C,B-,#DIV/0!
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,-0.05461386410220522,-1.6910695630464176,0.3384258448817774,0.46850970198944564,0.6670975407403884,0.06594423413783342,0.19248004022731166,-0.001889437881695183,0.29146255447013436,0.14768135082293343,-2.4348968801036213,-3.5281438521478377,-0.6643196405231303,0.015953223062172988,-0.40100756795402903,-0.9390386874819112,C,D-,B-,B-,B-,C,C,C,B-,C,E,E,C-,C-,C,D,#DIV/0!
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",#DIV/0!,-0.5257699261749105,0.26389393277399315,#DIV/0!,#DIV/0!,-1.532249479241341,-0.40717572909162336,#DIV/0!,0.20815061822657546,0.9577213623013874,0.3557975678412231,#DIV/0!,0.17618209596479006,#DIV/0!,-0.5237660727437871,#DIV/0!,#DIV!0,C-,B-,#DIV!0,#DIV!0,D-,C-,#DIV!0,C,B,B-,#DIV!0,C-,C,#DIV!0,#DIV!0,#DIV/0!
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,#DIV/0!,-1.3454078140510999,0.17457823812751197,0.020233522528509774,#DIV/0!,-1.3766742127266622,-0.13615103913217264,#DIV/0!,0.27584687463800595,1.7275542330469549,0.5607172917752514,#DIV/0!,#DIV/0!,-1.428867534220595,0.24387769397845532,#DIV/0!,#DIV!0,D-,C,C,#DIV!0,D-,C,#DIV!0,B-,A-,B-,#DIV!0,C,#DIV!0,D-,#DIV!0,#DIV/0!
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",0.03587944112930029,0.11447900686300884,0.1238415643848238,0.12749130256852084,0.07299796389153376,0.3478332914179609,-0.40097150970215734,0.06022158007899873,-0.7871780047552058,0.9701930702455056,0.11049331347374729,-0.5175995198156997,-0.005032737669371448,-0.5829611558890638,-0.43312425617888295,-0.17788704151271012,C,C,C,C,C,B-,C-,C,D,B,C,C-,C-,C,C-,C,#DIV/0!
41,Suffolk County (Central)--Islip Town (East) PUMA,0.24035742891488085,0.27776417674658954,0.6004635751385465,0.46850970198944564,0.225530512807036,-1.2123751645493268,-0.32389180155310837,0.03947977564200903,0.29146255447013436,0.5055047084507661,0.9453935667048867,0.5515468531150173,#DIV/0!,1.330206795581874,0.5316113036283977,#DIV/0!,C,B-,B-,B-,C,D,C-,C,B-,B-,B,B-,B-,#DIV!0,A-,#DIV!0,#DIV/0!
