,puma,Unemployment_BABS_score,FT_Work_BABS_score,Poverty_BABS_score,Working_Poor_BABS_score,Rent_Burden_BABS_score,Home_ownership_BABS_score,Income_level_BABS_score,Overall_BABS_score,Unemployment_HS_score,FT_Work_HS_score,Poverty_HS_score,Working_Poor_HS_score,Rent_Burden_HS_score,Home_ownership_HS_score,Income_level_HS_score,Overall_HS_score,Unemployment_BABS_grade,FT_Work_BABS_grade,Poverty_BABS_grade,Working_Poor_BABS_grade,Rent_Burden_BABS_grade,Home_ownership_BABS_grade,Income_level_BABS_grade,Overall_BABS_grade,Unemployment_HS_grade,FT_Work_HS_grade,Poverty_HS_grade,Working_Poor_HS_grade,Income_level_HS_grade,Rent_Burden_HS_grade,Home_ownership_HS_grade,Overall_HS_grade,Home_Ownership_BABS_score
55,Rensselaer County--Troy City PUMA,0.24035742891488085,0.12792915005743258,0.3085186952299984,0.46850970198944564,0.30531595238396536,-1.5951091507474757,-0.19829788576353674,-0.04896801541932709,0.29146255447013436,0.7039565455933362,0.9453935667048867,0.5515468531150173,0.35519778812237746,0.5987597101692802,0.06936487921172604,0.5022402710552512,C,C,B-,B-,B-,D-,C,C,B-,B-,B,B-,C,B-,B-,B-,#DIV/0!
56,Erie County (West Central)--Buffalo City (West) PUMA,0.24035742891488085,-0.7565669094889573,-0.559506487825566,-2.2465376730641835,-0.5672346813798468,-0.3650327924462113,0.11012687797776653,-0.5920563196160168,-0.20223059335273372,-0.3321890367570989,-0.5754822698219768,-0.11125425605757384,0.024348267468868586,-0.9436339959758455,-0.27150142490497375,-0.3445633299144762,C,D,C-,E,C-,C-,C,C-,C,C-,C-,C,C-,C,D,C-,#DIV/0!
57,Erie County (South) PUMA,0.24035742891488085,0.802647531389034,0.6004635751385465,0.46850970198944564,0.6670975407403884,-0.43985087500161707,0.14599258621329067,0.35503106991199557,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,C,B,B-,B-,B-,C-,C,B-,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV/0!
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,0.24035742891488085,0.3300186564784719,0.6004635751385465,0.46850970198944564,0.6670975407403884,0.9352847851642543,0.15393599980444142,0.4850953840329185,-0.31982065476020005,-0.2956574252769175,-0.6150194416787771,-0.2529150441635466,0.35519778812237746,-0.5296519865606641,-0.15964040235839158,-0.25964388095373137,C,B-,B-,B-,B-,B,C,B-,C-,C-,C-,C-,C,B-,C-,C-,#DIV/0!
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",0.2117236418373037,0.6215667782153224,0.33764885563050356,0.4020302748951209,0.33721512738988413,-1.2460467970556524,-0.17293404983207403,0.07017197586862975,#DIV/0!,-0.2742216493808476,0.20445306645638234,#DIV/0!,-0.17215227819514173,-0.01875510192909822,-0.9382707683278698,#DIV/0!,C,B-,B-,B-,B-,D,C,C,#DIV!0,C-,C,#DIV!0,D,C,C,#DIV!0,#DIV/0!
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,-0.05373907025873845,-0.12105156343524269,0.4861681516923824,0.4374103554799001,0.05988630790994039,1.2889384765854142,0.46951082554024887,0.3667319262162721,-0.24460980766733498,-0.09559849690941025,0.27424450702932035,#DIV/0!,0.29991031629081905,0.5728383397198213,0.34444715870504505,#DIV/0!,C,C,B-,B-,C,A-,B-,B-,C,C,B-,#DIV!0,B-,B-,B-,#DIV!0,#DIV/0!
61,NYC-Manhattan Community District 10--Central Harlem PUMA,0.24035742891488085,-0.24809083190838296,0.20279873590171962,-0.37178575357095917,-0.6446575310335564,0.22479452345132722,-0.3878192371447737,-0.1406289521985349,0.2791508091646732,0.24352177028337188,0.1459017446100882,#DIV/0!,0.2091764497748057,-1.5682199192176463,2.123702303015766,#DIV/0!,C,C,C,C-,C-,C,C-,C,B-,C,C,#DIV!0,A,C,D-,#DIV!0,#DIV/0!
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,0.194526705161278,-0.027927886112237114,-0.016202544364649577,0.28949878526175293,0.26107191673126096,0.5024786211048797,-0.05201185328401939,0.16449053492832363,0.29146255447013436,-0.43784614571031594,-0.3269265023289298,0.11941234787870848,0.19369330695094505,-0.2880257184794982,-0.6398838355040021,-0.15544485610327974,C,C,C,B-,B-,B-,C,C,B-,C-,C-,C,C-,C,C-,C,#DIV/0!
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,#DIV/0!,-0.8869687975366934,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.2590413875078594,#DIV/0!,#DIV/0!,-0.4669545087035249,0.2357329551081678,#DIV/0!,0.06111939098550571,-0.17117435912885878,-1.2020195348825795,#DIV/0!,#DIV!0,D,#DIV!0,#DIV!0,#DIV!0,#DIV!0,C-,#DIV!0,#DIV!0,C-,C,#DIV!0,D,C,C,#DIV!0,#DIV/0!
64,Albany County (East Central)--Albany City PUMA,0.24035742891488085,-0.044487059830429845,0.048542363578665676,-0.49144481404609763,-0.39256689092853275,-1.4192462576156295,-0.37133745280138586,-0.3471689546755042,0.29146255447013436,1.2707743013687682,0.7777513493155318,0.5515468531150173,0.03544355450559898,-1.2439006167335844,0.461461025021855,0.30636271729476017,C,C,C,C-,C-,D-,C-,C-,B-,A-,B,B-,B-,C,D,B-,#DIV/0!
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,0.24035742891488085,0.13430820198291077,0.15394445605253884,0.46850970198944564,0.6670975407403884,0.568930261670576,-0.08177804399270165,0.3073385067654341,0.2641588174271794,-0.2179093392368168,0.6399166389489901,0.43691639994788856,0.11566983895066608,0.523394247131073,-0.12441372817450867,0.2339618392849245,C,C,C,B-,B-,B-,C,B-,B-,C,B-,B-,C,C,B-,C,#DIV/0!
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,#DIV/0!,0.5210366552717642,0.6004635751385465,0.46850970198944564,0.6670975407403884,-0.21767337138873522,0.27977923749799116,#DIV/0!,#DIV/0!,0.8143263143834322,-1.7278280792525205,-1.3066912147818475,#DIV/0!,1.4300378219586372,-1.6373218932892286,#DIV/0!,#DIV!0,B-,B-,B-,B-,C,B-,#DIV!0,#DIV!0,B,D-,D-,D-,#DIV!0,A-,#DIV!0,#DIV/0!
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",#DIV/0!,-1.5785183155413447,0.4257682145858419,#DIV/0!,0.598769651300313,#DIV/0!,0.6827582291103393,#DIV/0!,#DIV/0!,-0.602216146387803,-0.11278854525732758,#DIV/0!,-0.5819651190652013,-1.3241595638619874,-0.802258452292698,#DIV/0!,#DIV!0,D-,B-,#DIV!0,B-,#DIV!0,B-,#DIV!0,#DIV!0,C-,C,#DIV!0,D,C-,D-,#DIV!0,#DIV/0!
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.8518022738602703,0.738651629327465,#DIV/0!,0.3279741052700451,-1.7048288299287222,-1.3267197504281982,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,D,B-,#DIV!0,D-,B-,D-,#DIV!0,#DIV/0!
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",0.1736478450758123,-0.627854232566323,-0.4169984287389798,#DIV/0!,-0.809571299947468,-0.035143255574150996,-0.5921343132661046,#DIV/0!,#DIV/0!,0.10953592940803944,-0.06141695702606185,-0.3426351452042332,0.04774956174368843,-1.5436090648594878,-0.49495970261621636,#DIV/0!,C,C-,C-,#DIV!0,D,C,C-,#DIV!0,#DIV!0,C,C,C-,C-,C,D-,#DIV!0,#DIV/0!
70,Erie County (Northeast) PUMA,0.24035742891488085,0.8117742503750682,0.6004635751385465,0.46850970198944564,#DIV/0!,-1.3464027470658757,0.19563977200236968,#DIV/0!,0.29146255447013436,0.6785344588024668,0.9453935667048867,0.5515468531150173,0.35519778812237746,-1.9429259475697291,-0.8350638041480033,0.006306495642450037,C,B,B-,B-,#DIV!0,D-,C,#DIV!0,B-,B-,B,B-,D,B-,E,C,#DIV/0!
71,NYC-Manhattan Community District 11--East Harlem PUMA,#DIV/0!,0.44018856483699004,0.18814206622892193,#DIV/0!,-0.6362994621359671,-0.11313191909513388,-0.44926038887308367,#DIV/0!,0.253493227719313,-0.682951107271763,-0.9760637737928601,0.03777124221464138,0.05266377132272152,1.35418022636576,-1.1259720854785003,-0.15526835698866961,#DIV!0,B-,C,#DIV!0,C-,C,C-,#DIV!0,B-,C-,D,C,D,C,A-,C,#DIV/0!
72,Orange County (Southeast) PUMA,0.24035742891488085,0.2991892816948707,0.34878404175647515,0.25205713323216555,0.6670975407403884,0.017860186350250905,-0.1505666669110452,0.23925413511114088,0.29146255447013436,0.17659780661721236,0.3455656601549402,0.5515468531150173,0.35519778812237746,1.0704322545147384,1.506785602331557,0.6139412170465681,C,B-,B-,B-,B-,C,C,C,B-,C,B-,B-,A-,B-,B,B-,#DIV/0!
73,Westchester County (Southeast) PUMA,0.24035742891488085,0.0201828712733325,-1.0224808612500933,#DIV/0!,0.6670975407403884,-0.8327945071325792,-0.5068009389660288,#DIV/0!,0.23316964377263105,0.17763297126890792,-0.6473368638236549,-1.1079364441724513,-0.10548438642545314,-1.6643500055610063,-1.144684742223722,-0.6084271181663927,C,C,D,#DIV!0,B-,D,C-,#DIV!0,C,C,C-,D,D,C,D-,C-,#DIV/0!
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,0.24035742891488085,-0.11784495551946661,0.40729997643137494,0.3205083456126313,0.1748346372806691,2.232692174743874,0.27965178346787234,0.5053570558474051,0.022710287674498397,0.01799322325342563,-0.698881496888063,0.3404743271609616,0.022873240303820645,-0.5254215999735555,-0.18657911522952794,-0.14383301909977717,C,C,B-,B-,C,A,B-,B-,C,C,C-,B-,C,C,C-,C,#DIV/0!
75,Livingston & Wyoming Counties PUMA,0.24035742891488085,0.8483935804887568,-1.8752575384362862,-1.834176719238863,#DIV/0!,-0.8628960622350847,-0.28744307844696615,#DIV/0!,0.29146255447013436,0.558633862555257,-0.19752483618402583,0.5515468531150173,#DIV/0!,0.8314195794433429,0.00032803807876378467,#DIV/0!,C,B,E,E,#DIV!0,D,C-,#DIV!0,B-,B-,C,B-,C,#DIV!0,B,#DIV!0,#DIV/0!
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,0.24035742891488085,0.6758864283592185,0.6004635751385465,0.46850970198944564,-3.55935386900219,0.5574366181804656,0.04140866098945048,-0.13932735077574032,0.29146255447013436,0.5099690085516756,0.8194750772037456,0.5515468531150173,0.2843042518524808,-0.3433416693377268,-0.2007744426988141,0.27323451902235896,C,B-,B-,B-,E,B-,C,C,B-,B-,B,B-,C,B-,C-,B-,#DIV/0!
77,Westchester County (Southwest)--Yonkers City PUMA,0.1318239638294875,-0.12709583840154606,-0.22287638579275773,-0.7576808647691574,0.6670975407403884,-0.06334221693017453,-0.2788170566133045,-0.09298440827672347,0.20158325327739912,-0.09645438913907589,-0.06317528625671448,-0.37875531370398857,0.16135690193343644,-1.0476985696863512,-0.48708323588515234,-0.2443180913514924,C,C,C,D,B-,C,C-,C,C,C,C,C-,C-,C,D,C,#DIV/0!
78,Erie County (North Central) PUMA,-0.9488333746347261,0.5923097204275616,-0.15154926878095154,0.25884709224067604,0.26773337830880894,-1.1384324112605881,0.9235546754050104,-0.02805288404202983,0.29146255447013436,-0.4907107268425677,-2.1196291879338798,-4.626031454368112,-0.10287288036229003,-0.8782662379976435,1.1119093691361308,-0.9734483662711756,D,B-,C,B-,B-,D,B,C,B-,C-,E,E,B,C,D,D,#DIV/0!
79,Saratoga County (South & Central) PUMA,-0.2206674611049278,-0.31983805480709754,0.6004635751385465,0.46850970198944564,0.6670975407403884,0.9485881162276052,0.5918381390365988,0.39085593674579416,0.29146255447013436,0.36896102681233767,0.9453935667048867,0.5515468531150173,0.35519778812237746,-0.6499471581370639,-0.017322787473981617,0.263613120516244,C,C-,B-,B-,B-,B,B-,B-,B-,B-,B,B-,C,B-,C-,B-,#DIV/0!
80,Suffolk County (South Central)--Brookhaven Town (South) PUMA,0.24035742891488085,0.4362475265078108,0.6004635751385465,#DIV/0!,0.6670975407403884,-0.8285093989196799,-0.1590834687902624,#DIV/0!,0.11390194749255987,0.024168070999120342,0.21405572933140363,0.42488126063393783,#DIV/0!,0.9322977487672078,1.0624700051781029,#DIV/0!,C,B-,B-,#DIV!0,B-,D,C,#DIV!0,C,C,C,B-,B,#DIV!0,B,#DIV!0,#DIV/0!
81,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",0.24035742891488085,-0.1540918944726689,-0.8960659198864385,-1.0151854432299212,#DIV/0!,0.4551608087555055,-0.37760534853981553,#DIV/0!,0.29146255447013436,-0.07935730917708506,-0.942521391297739,-0.4501349484651229,#DIV/0!,0.6464004096756625,-1.0741898044964913,#DIV/0!,C,C,D,D,#DIV!0,B-,C-,#DIV!0,B-,C,D,C-,D,#DIV!0,B-,#DIV!0,#DIV/0!
82,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-2.1981206995677676,#DIV/0!,-2.0174832705406485,-1.9429259475697291,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,E,#DIV!0,#DIV!0,E,E,#DIV!0,#DIV/0!
83,Niagara County (North & East) PUMA,0.24035742891488085,0.8636210757899421,0.6004635751385465,0.46850970198944564,0.6670975407403884,-2.312175368845535,-0.0962190637621141,0.06166498428079354,0.29146255447013436,0.8335238397919756,-1.1501639325251216,0.5515468531150173,#DIV/0!,1.1376148794944325,0.06895641239426178,#DIV/0!,C,B,B-,B-,B-,E,C,C,B-,B,D,B-,C,#DIV!0,B,#DIV!0,#DIV/0!
84,Monroe County (Central)--Rochester City (East) PUMA,-0.5009635430185491,-0.2660739245081669,-1.584110629436078,#DIV/0!,0.6670975407403884,1.0652076508511892,-0.42565362837009146,#DIV/0!,0.29146255447013436,-0.7966806534783972,0.15553653631399877,0.5515468531150173,-0.040991410188368896,-0.2615119582033021,1.016775218637555,0.13087673438094818,C-,C-,D-,#DIV!0,B-,B,C-,#DIV!0,B-,D,C,B-,B,C,C-,C,#DIV/0!
85,Warren & Washington Counties PUMA,0.24035742891488085,-1.4478249616714793,-1.1603934434761505,0.46850970198944564,#DIV/0!,0.9712980325539464,-0.8917716040557974,#DIV/0!,0.29146255447013436,1.0960713788546739,-0.2245565758661184,-0.3821708360343537,0.35519778812237746,0.11432668168333109,0.4207235251048524,0.2387220737621282,C,D-,D,B-,#DIV!0,B,D,#DIV!0,B-,B,C,C-,B-,B-,C,C,#DIV/0!
86,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,0.07781837508738697,1.018988149782444,-0.03813490410626961,0.46850970198944564,-0.8735013537971248,0.8649329817384855,-0.30047874148227177,0.17401917274458514,-3.6872847983498422,-0.40558846402743165,-2.4722016165468443,-6.1075430003838305,-9.42939234678213,1.4156545998974346,-0.18856280623084337,-2.9821312046319273,C,B,C,B-,D,B,C-,C,E,C-,E,E,C,E,A-,E,#DIV/0!
87,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,0.24035742891488085,0.31653364686263347,-0.06862071390921035,#DIV/0!,-0.1595977199030962,0.7084229338600957,-0.1406596321725235,#DIV/0!,#DIV/0!,-0.8987249386575585,-0.1834605410184781,-0.13201501348967873,0.35519778812237746,5.470743824537923,0.18992201218189408,#DIV/0!,C,B-,C,#DIV!0,C,B-,C,#DIV!0,#DIV!0,D,C,C,C,B-,A,#DIV!0,#DIV/0!
88,Onondaga County (Central)--Syracuse City PUMA,-0.328246784531209,0.6631197015355703,0.03259427743061427,-0.05868386003772787,-0.14758789610686718,-0.9969266148847916,-0.29381744082207717,-0.16136408820235548,-0.3426022758699706,-0.5276686820569163,-0.24633822060389324,-0.770312348591922,-0.23380105439582743,-0.8736835110659131,-0.7380952999680911,-0.533214484650362,C-,B-,C,C,C,D,C-,C,C-,C-,C,D,C-,C,D,C-,#DIV/0!
89,Westchester County (Central)--White Plains City PUMA,0.16029665326403209,0.3489169030112437,0.4078184670907225,0.46850970198944564,0.240171100983222,0.08551944697904054,-0.1064915447336319,0.22924867551201067,0.29146255447013436,0.046900763627360106,-0.061162510269924565,-0.006320127300002552,-0.01967783002834414,-0.4606300409262545,-0.8741183164498377,-0.15479221526812412,C,B-,B-,B-,C,C,C,C,B-,C,C,C,D,C,C-,C,#DIV/0!
90,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,0.24035742891488085,0.9087949582810696,0.15868811472260502,0.16247432668390382,0.5408887997653632,1.8167862907955459,-0.053956581953056915,0.5391476196014731,0.29146255447013436,1.233194069746697,0.645476412780323,0.34849313570954527,0.29149022458032364,-0.4200221167942662,-0.5954135261786474,0.2563829649020157,C,B,C,C,B-,A,C,B-,B-,B,B-,B-,C-,B-,C-,B-,#DIV/0!
91,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",0.24035742891488085,-0.7749519211000897,0.44503463115372016,0.20365691564182678,-0.6726062394327353,#DIV/0!,-0.3036848149048472,#DIV/0!,#DIV/0!,-0.3303252532510828,0.36854341437870236,0.23583607885033525,0.24571949485052066,-1.2135360390941874,0.6466326947567742,#DIV/0!,C,D,B-,C,C-,#DIV!0,C-,#DIV!0,#DIV!0,C-,B-,C,B-,C,D,#DIV!0,#DIV/0!
92,Cattaraugus & Allegany Counties PUMA,0.24035742891488085,0.04209767194611275,0.6004635751385465,0.46850970198944564,0.6670975407403884,-0.46787198567408306,2.074275220774938,0.5178470219757471,0.29146255447013436,0.9234485097476788,0.43080939872547763,0.28979549922768055,-0.762655258293386,-1.1582519018930157,-0.6560444188033112,-0.09163365954553455,C,C,B-,B-,B-,C-,A,B-,B-,B,B-,B-,C-,D,D,C,#DIV/0!
93,Oswego County PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.9453935667048867,#DIV/0!,#DIV/0!,-0.6521793914476244,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,B,#DIV!0,#DIV!0,#DIV!0,C-,#DIV!0,#DIV/0!
94,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",0.13844804735708127,0.23802262826921158,0.4500404131302455,0.3253929919266453,-3.952556619828188,0.31474445146735713,-0.21114182298565767,-0.3852928443804721,0.053563692970235804,-0.5100778604725222,0.0998541857337039,-0.23311215546340197,0.13094921382602417,-0.927483165520572,-0.12348935241496659,-0.2156850630487855,C,C,B-,B-,E,B-,C,C-,C,C-,C,C,C,C,D,C,#DIV/0!
95,Monroe County (East) PUMA,0.24035742891488085,0.8484749480446282,0.6004635751385465,0.46850970198944564,#DIV/0!,0.8352796077237509,0.5214417821195254,#DIV/0!,0.29146255447013436,-1.7611441223028783,0.9453935667048867,0.5515468531150173,0.35519778812237746,0.14362311499106514,0.05519251283237231,0.08303889541899642,C,B,B-,B-,#DIV!0,B,B-,#DIV!0,B-,E,B,B-,C,B-,C,C,#DIV/0!
96,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,0.013743331275093223,0.5399391425888925,-0.7611003109558317,-1.5042384413938887,0.17583830339165357,-0.3618471257129597,0.06987175544873374,-0.2611133350511867,0.17166250423004165,-0.36688022616659915,-1.8428211701992472,-0.34120827027535205,0.026163896909142066,-1.0171038640181467,0.34380678940196524,-0.4323400485883137,C,B-,D,D-,C,C-,C,C-,C,C-,E,C-,B-,C,D,C-,#DIV/0!
97,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",#DIV/0!,0.6439464858175755,0.4307639079925087,0.46850970198944564,0.5173189322634169,-1.6988584934694984,-0.36279034496216916,#DIV/0!,#DIV/0!,0.16132492857355785,-0.1315972950795865,#DIV/0!,0.1810993835772715,-0.9495944472387942,-0.6266952007217904,#DIV/0!,#DIV!0,B-,B-,B-,B-,D-,C-,#DIV!0,#DIV!0,C,C,#DIV!0,C-,C,D,#DIV!0,#DIV/0!
98,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",0.24035742891488085,0.7235444751483697,0.5493293594009787,0.34273511067893747,0.6670975407403884,-0.30351846867749915,0.10788338196472835,0.3324898325958264,0.19531554222768052,1.395725981485257,0.4847314360685965,0.3487563178677725,0.20515202132182786,-0.46009113568065296,-0.7659670696690966,0.20051758480305493,C,B-,B-,B-,B-,C-,C,B-,C,A-,B-,B-,D,C,C-,C,#DIV/0!
99,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",0.1340609355057453,0.3506120330211383,0.24803007362437066,0.46850970198944564,-0.7091937527789136,-1.617953505662302,-0.08161389412190366,-0.17250691548891703,0.1638008870219439,-0.6989872087870557,-0.4596948559338073,0.12332458079990848,-0.11059196511959678,0.24346111087939146,1.2082824220899133,0.06708499585009962,C,B-,C,B-,C-,D-,C,C,C,C-,C-,C,B,C,C,C,#DIV/0!
100,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",0.22162246560669305,0.14012767185944744,0.2807274460931498,-0.208041130239894,0.4978620069767063,0.13338666576392758,-0.08893624531034615,0.139535554392812,0.1991938462784359,-0.30402178350435055,0.4799831127222446,0.08543552334458615,0.03958929582038825,0.16095324864505872,0.1748459305669862,0.11942559626762131,C,C,B-,C,B-,C,C,C,C,C-,B-,C,C,C,C,C,#DIV/0!
101,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",-0.08884084898199943,0.22116119822466518,-0.04893725280759558,0.46850970198944564,-0.07565507161992943,2.0279022421445903,0.24640543063750794,0.39293505708381204,#DIV/0!,0.14898287522863757,-0.9181541061554385,#DIV/0!,0.35519778812237746,0.9683471961930893,0.24845982459416988,#DIV/0!,C,C,C,B-,C,A,C,B-,#DIV!0,C,D,#DIV!0,C,B-,B,#DIV!0,#DIV/0!
102,Chautauqua County PUMA,0.24035742891488085,1.1829660542384026,0.6004635751385465,0.46850970198944564,0.6670975407403884,0.1914485561149546,0.915636097813836,0.6094969935643507,0.29146255447013436,-0.7460925784677414,0.9453935667048867,0.5515468531150173,0.35519778812237746,-0.9311120338908321,-0.9196801576085113,-0.06475485822209558,C,B,B-,B-,B-,C,B,B-,B-,C-,B,B-,D,B-,D,C,#DIV/0!
103,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,#DIV/0!,0.8019578440721493,0.18034999012834516,0.40040430762267387,#DIV/0!,0.013964092848103515,0.206513799770785,#DIV/0!,0.26111936454303136,0.29189516867350757,0.5912568454058715,0.1695722609031874,0.2343317047953197,-0.38650263646309413,-0.5595139319093995,0.0860226822783463,#DIV!0,B,C,B-,#DIV!0,C,C,#DIV!0,B-,B-,B-,C,C-,C,C-,C,#DIV/0!
104,Erie County (West Central)--Buffalo City (East) PUMA,-0.17461465109033228,-2.1746940806263244,-2.8712000258790242,-2.4229414583366746,-3.4094072476653454,-0.4363236017660278,-0.02780112244788324,-1.645283169687373,-0.4702990623056384,-0.40805761279736424,-0.1622837356049173,0.00971549334728137,0.35519778812237746,1.6022864204105256,-0.10773034028961469,0.11697556441180712,C,E,E,E,E,C-,C,D-,C-,C-,C,C,C,B-,A-,C,#DIV/0!
105,Genesee & Orleans Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.29146255447013436,0.7080329458050872,0.17489403381899055,0.2957791898529775,#DIV/0!,0.28440521586711437,5.14688266317568,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,B-,B-,C,B-,A,#DIV!0,B-,#DIV!0,#DIV/0!
106,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",-0.015648157778470003,-0.08563114969412121,0.3007654262798226,#DIV/0!,-0.020353372457892552,0.24205669654026674,-0.36294909299527334,#DIV/0!,0.17692209135517104,0.08628424396391696,0.399505265415411,-0.13173041133257682,0.18913888247007252,0.5110327531477008,0.08533436496911662,0.18806959856983033,C,C,B-,#DIV!0,C,C,C-,#DIV!0,C,C,B-,C,C,C,B-,C,#DIV/0!
107,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",0.24035742891488085,0.07981503725245076,0.6004635751385465,0.46850970198944564,0.6670975407403884,0.12236320191570328,0.27147368335407895,0.3500114527579278,0.29146255447013436,-3.987932858249161,-0.5657076038272779,#DIV/0!,#DIV/0!,1.0387752276567068,#DIV/0!,#DIV/0!,C,C,B-,B-,B-,C,B-,B-,B-,E,C-,#DIV!0,#DIV!0,#DIV!0,B,#DIV!0,#DIV/0!
108,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,-0.04238179651686308,1.02249710438299,0.6004635751385465,0.46850970198944564,0.6670975407403884,0.32214273781080055,-0.17808420658001958,0.4086063795664698,0.29146255447013436,0.626143019959054,-0.6734545377241025,0.2657729992857903,0.1504092264859086,-0.45668376994045307,-0.3764163205997705,-0.02468097543763412,C,B,B-,B-,B-,B-,C,B-,B-,B-,C-,B-,C-,C,C-,C,#DIV/0!
109,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",#DIV/0!,-0.31488224021822314,#DIV/0!,#DIV/0!,#DIV/0!,0.8302023572823033,-0.23710320479662006,#DIV/0!,#DIV/0!,1.8099963462359492,0.3458290436434095,#DIV/0!,#DIV/0!,0.26156222545242797,1.3736984021843546,#DIV/0!,#DIV!0,C-,#DIV!0,#DIV!0,#DIV!0,B,C,#DIV!0,#DIV!0,A,B-,#DIV!0,A-,#DIV!0,B-,#DIV!0,#DIV/0!
110,Suffolk County (East) PUMA,0.24035742891488085,-0.03714227885403377,0.6004635751385465,0.46850970198944564,0.6670975407403884,0.11066581861650124,-0.5386002780113559,0.2159073583620533,-6.743593778327466,-0.5414769811854275,-0.604435726738217,-1.0914416353659266,0.13863075094744165,-1.2718443968698838,-0.8337543689426815,-1.5639880194974514,C,C,B-,B-,B-,C,C-,C,E,C-,C-,D,D,C,D-,D-,#DIV/0!
111,Orange County (Northwest) PUMA,0.24035742891488085,0.9483824962251299,0.6004635751385465,0.46850970198944564,0.6670975407403884,0.4533715548758623,0.13489895504275914,0.5018687504181447,0.27673002933168456,-0.4003312766290076,0.6463821803543836,0.014154792790502212,0.3324908725445475,-0.43860600099557834,-0.8791503865811559,-0.06404711274066055,C,B,B-,B-,B-,B-,C,B-,B-,C-,B-,C,D,B-,C-,C,#DIV/0!
