,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
98,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",14763,3052,1395,1657,8254,4373,3881,3457,2006,1451
99,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,3416,1263,587,676,1410,524,886,743,526,217
100,Onondaga County (Central)--Syracuse City PUMA,5970,2672,1541,1131,2410,1477,933,888,463,425
101,Ulster County (East) PUMA,3996,1464,501,963,1327,929,398,1205,614,591
102,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,29869,8329,4359,3970,17515,8370,9145,4025,2421,1604
103,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,4254,1190,632,558,2318,1174,1144,746,478,268
104,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,1863,1451,739,712,412,325,87,0,0,0
105,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,4674,1568,556,1012,2661,1164,1497,445,298,147
106,Saratoga County (Outer) PUMA,706,282,105,177,424,124,300,0,0,0
107,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",11286,7030,3714,3316,2631,954,1677,1625,387,1238
108,NYC-Brooklyn Community District 4--Bushwick PUMA,10342,1628,948,680,6187,3700,2487,2527,1561,966
109,Suffolk County (Central)--Islip Town (East) PUMA,1541,456,248,208,666,321,345,419,79,340
110,Westchester County (Southwest)--Yonkers City PUMA,19004,6685,2952,3733,8462,4897,3565,3857,2395,1462
111,Nassau County (West Central)--North Hempstead Town (South) PUMA,14895,8752,4423,4329,4791,1499,3292,1352,575,777
112,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",25121,10537,5333,5204,11971,4920,7051,2613,961,1652
113,Jefferson & Lewis Counties PUMA,1448,381,260,121,884,392,492,183,157,26
114,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,3952,1326,874,452,1788,1214,574,838,226,612
115,Suffolk County (Northwest)--Huntington Town (South) PUMA,4893,1910,1119,791,2484,1065,1419,499,260,239
116,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,5908,904,532,372,3000,1283,1717,2004,1171,833
117,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",13561,4234,2082,2152,6594,3236,3358,2733,1728,1005
118,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,1766,1663,631,1032,103,0,103,0,0,0
119,Monroe County (Central)--Greece & Gates Towns PUMA,1738,802,704,98,936,114,822,0,0,0
120,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,38441,7934,4751,3183,21574,10682,10892,8933,6081,2852
121,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",5371,2023,1116,907,2594,1476,1118,754,498,256
122,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,10209,5223,2440,2783,3717,1657,2060,1269,1024,245
123,Broome (Outer West) & Tioga Counties PUMA,89,89,89,0,0,0,0,0,0,0
124,Putnam County PUMA,4754,1925,555,1370,1696,1461,235,1133,444,689
125,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",10908,1927,354,1573,6776,3246,3530,2205,1026,1179
126,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",18389,10237,4519,5718,6871,3226,3645,1281,845,436
127,Nassau County (Central)--Hempstead Town (Northeast) PUMA,7575,2323,931,1392,4342,2495,1847,910,862,48
128,Suffolk County (Central)--Brookhaven Town (Central) PUMA,6650,2593,831,1762,3877,2169,1708,180,180,0
129,NYC-Manhattan Community District 10--Central Harlem PUMA,7718,4079,2380,1699,2417,876,1541,1222,1071,151
130,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",14498,2733,1955,778,8543,5020,3523,3222,1641,1581
131,NYC-Manhattan Community District 11--East Harlem PUMA,14065,3332,1288,2044,7560,3292,4268,3173,1659,1514
132,Westchester County (Northwest) PUMA,9856,4049,1413,2636,4889,2039,2850,918,728,190
