,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
45,Westchester County (Southeast) PUMA,9242,6227,3015,7841,6044,1797,1401,183,1218,3735,2344,1391,3196,2344,852,539,0,539,4002,2732,1270,3546,2732,814,456,0,456,1505,1151,354,1099,968,131,406,183,223
46,Rockland County (North)--New City & Congers PUMA,10776,5779,4997,9082,4694,4388,1694,1085,609,4917,2939,1978,4223,2346,1877,694,593,101,5215,2302,2913,4270,1810,2460,945,492,453,644,538,106,589,538,51,55,0,55
47,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,6433,2939,3494,4341,2609,1732,2092,330,1762,4030,2302,1728,3159,2182,977,871,120,751,1643,559,1084,1104,349,755,539,210,329,760,78,682,78,78,0,682,0,682
48,Suffolk County (Southwest)--Islip Town (South) PUMA,2201,1731,470,1697,1393,304,504,338,166,981,605,376,909,605,304,72,0,72,899,899,0,561,561,0,338,338,0,321,227,94,227,227,0,94,0,94
49,Erie County (West Central)--Buffalo City (East) PUMA,2615,1795,820,1698,1078,620,917,717,200,1052,721,331,549,345,204,503,376,127,1563,1074,489,1149,733,416,414,341,73,0,0,0,0,0,0,0,0,0
50,Wayne & Seneca Counties PUMA,591,78,513,467,78,389,124,0,124,202,78,124,78,78,0,124,0,124,389,0,389,389,0,389,0,0,0,0,0,0,0,0,0,0,0,0
51,Monroe County (South) PUMA,3754,2061,1693,3481,1972,1509,273,89,184,2737,1426,1311,2648,1337,1311,89,89,0,681,436,245,497,436,61,184,0,184,336,199,137,336,199,137,0,0,0
52,Tompkins County PUMA,2560,906,1654,1998,813,1185,562,93,469,1254,557,697,867,464,403,387,93,294,1306,349,957,1131,349,782,175,0,175,0,0,0,0,0,0,0,0,0
53,Suffolk County (South Central)--Brookhaven Town (South) PUMA,5931,3246,2685,5615,3170,2445,316,76,240,1053,756,297,977,680,297,76,76,0,2652,905,1747,2412,905,1507,240,0,240,2226,1585,641,2226,1585,641,0,0,0
54,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",391,123,268,330,84,246,61,39,22,205,97,108,166,58,108,39,39,0,164,26,138,164,26,138,0,0,0,22,0,22,0,0,0,22,0,22
