,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
117,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",20595,5064,2930,2134,12508,7497,5011,3023,1673,1350
118,Erie County (Central) PUMA,2460,361,168,193,1683,1048,635,416,229,187
119,Livingston & Wyoming Counties PUMA,468,142,142,0,187,106,81,139,139,0
120,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,12712,8366,4632,3734,3476,1648,1828,870,405,465
121,Niagara County (North & East) PUMA,438,204,161,43,142,0,142,92,92,0
122,Westchester County (Southwest)--Yonkers City PUMA,25559,8066,3747,4319,13324,5925,7399,4169,2688,1481
123,Sullivan & Ulster (West) Counties PUMA,2083,856,370,486,1022,402,620,205,94,111
124,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",13241,3722,1845,1877,6810,3951,2859,2709,1357,1352
125,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,37196,17612,8515,9097,15414,7051,8363,4170,2715,1455
126,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",19907,2862,737,2125,12017,7756,4261,5028,2348,2680
127,NYC-Manhattan Community District 11--East Harlem PUMA,13335,6531,2294,4237,5314,2212,3102,1490,487,1003
128,Westchester County (Southeast) PUMA,11032,2879,1098,1781,4178,1844,2334,3975,2651,1324
129,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,1265,362,46,316,663,205,458,240,183,57
130,Erie County (Northeast) PUMA,1326,750,683,67,482,306,176,94,0,94
131,Monroe County (Central)--Greece & Gates Towns PUMA,3672,777,556,221,2682,1869,813,213,0,213
132,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,17159,8389,3501,4888,6352,4080,2272,2418,1428,990
133,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",6556,920,313,607,4945,3305,1640,691,243,448
