,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,33558,18159,15399,93865.24316109423,111449.76100005506,73129.00967595298,18604,9260,9344,100417.39088368093,120366.95032397409,80647.17251712328,14262,8536,5726,87101.50680129015,104456.91776007498,61229.03248340901,692,363,329,57114.16184971098,48413.223140495866,66714.28571428571
33,Fulton & Montgomery Counties PUMA,30689,17826,12863,50739.7969956662,55938.83484797487,43534.78659721682,7288,3611,3677,66547.93358946213,69891.24896150651,63264.62877345662,20457,12210,8247,48231.039741897635,56385.62325962326,36157.8658906269,2944,2005,939,29038.692255434784,28089.73067331671,31064.96272630458
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,50881,26944,23937,67573.1361411922,73884.28741092636,60469.16906880561,26055,12711,13344,85416.08520437535,98128.94343482023,73306.28747002398,23439,13471,9968,48805.966124834675,52981.941949372726,43162.449839486355,1387,762,625,49538.28406633021,38978.34645669291,62412.96
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,21465,11643,9822,76789.45446075006,88507.70763548913,62898.63571574017,9360,5508,3852,92169.25427350428,102710.11982570805,77096.80166147456,11423,5641,5782,65735.57034054102,78176.19216450983,53598.3258388101,682,494,188,50856.30498533724,48129.554655870445,58021.27659574468
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,31319,15661,15658,58912.817778345416,70064.3566822042,47759.14229148039,9170,4185,4985,85136.37077426391,118482.86738351255,57141.36810431294,20746,10539,10207,46820.197628458496,54096.31748742765,39307.40962084844,1403,937,466,66328.011404134,33410.88580576307,132515.45064377683
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,35403,17404,17999,73820.90952744118,81104.68283153298,66777.91877326518,13185,5549,7636,87618.36177474403,84980.4829699045,89535.28025144055,21714,11607,10107,65318.852353320435,78766.6235892134,49875.27060453151,504,248,256,79166.66666666667,103810.48387096774,55292.96875
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",1241,670,571,50492.820306204674,66830.73134328358,31322.241681260944,404,404,0,83821.38613861386,83821.38613861386,0.0,404,112,292,52683.539603960395,67715.625,46917.808219178085,433,154,279,17352.42494226328,21614.285714285714,15000.0
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,1562,1165,397,70212.48399487836,78219.65665236051,46715.36523929471,1411,1014,397,73000.0,83290.92702169625,46715.36523929471,151,151,0,44164.90066225165,44164.90066225165,0.0,0,0,0,#DIV/0!,0.0,0.0
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",32650,15228,17422,143776.69188361408,188599.40307328606,104598.62702330387,29573,13211,16362,150493.66821086803,205170.27250018922,106346.70455934483,2929,1869,1060,81269.96927278934,83342.55751738898,77615.56603773584,148,148,0,38648.64864864865,38648.64864864865,0.0
41,Suffolk County (Central)--Islip Town (East) PUMA,30289,16689,13600,83105.42507180825,95994.47839894542,67288.85073529412,14593,6057,8536,87917.15891180703,104330.54317318805,76270.50140581069,15518,10509,5009,78980.22425570305,91705.3715862594,52282.56538231184,178,123,55,48258.426966292136,51951.21951219512,40000.0
