,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
41,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",4704,2898,1806,4547,2805,1742,157,93,64,1852,1120,732,1809,1077,732,43,43,0,2347,1317,1030,2233,1267,966,114,50,64,505,461,44,505,461,44,0,0,0
42,Erie County (West Central)--Buffalo City (East) PUMA,468,468,0,468,468,0,0,0,0,53,53,0,53,53,0,0,0,0,369,369,0,369,369,0,0,0,0,46,46,0,46,46,0,0,0,0
43,Suffolk County (Northwest)--Smithtown Town PUMA,404,228,176,404,228,176,0,0,0,111,50,61,111,50,61,0,0,0,293,178,115,293,178,115,0,0,0,0,0,0,0,0,0,0,0,0
44,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,2637,1412,1225,2637,1412,1225,0,0,0,1515,737,778,1515,737,778,0,0,0,501,300,201,501,300,201,0,0,0,621,375,246,621,375,246,0,0,0
45,NYC-Manhattan Community District 8--Upper East Side PUMA,9928,4280,5648,9928,4280,5648,0,0,0,9928,4280,5648,9928,4280,5648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Suffolk County (Southwest)--Islip Town (South) PUMA,585,346,239,585,346,239,0,0,0,276,276,0,276,276,0,0,0,0,0,0,0,0,0,0,0,0,0,309,70,239,309,70,239,0,0,0
47,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",4266,2579,1687,4080,2579,1501,186,0,186,3515,2097,1418,3329,2097,1232,186,0,186,751,482,269,751,482,269,0,0,0,0,0,0,0,0,0,0,0,0
48,Erie County (South) PUMA,693,483,210,693,483,210,0,0,0,577,367,210,577,367,210,0,0,0,116,116,0,116,116,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Albany County (Outside Albany City) PUMA,1568,934,634,1439,934,505,129,0,129,1019,535,484,890,535,355,129,0,129,423,273,150,423,273,150,0,0,0,126,126,0,126,126,0,0,0,0
50,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,7746,4679,3067,7286,4219,3067,460,460,0,3596,2028,1568,3435,1867,1568,161,161,0,3494,2221,1273,3195,1922,1273,299,299,0,656,430,226,656,430,226,0,0,0
