,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
46,Suffolk County (Southwest)--Islip Town (South) PUMA,585.0,346.0,239.0,522.0,346.0,176.0,63.0,0.0,63.0,276.0,276.0,0.0,276.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,70.0,239.0,246.0,70.0,176.0,63.0,0.0,63.0
47,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",5040.0,2623.0,2417.0,1013.0,543.0,470.0,4027.0,2080.0,1947.0,3698.0,2097.0,1601.0,926.0,543.0,383.0,2772.0,1554.0,1218.0,1211.0,482.0,729.0,0.0,0.0,0.0,1211.0,482.0,729.0,131.0,44.0,87.0,87.0,0.0,87.0,44.0,44.0,0.0
48,Erie County (South) PUMA,917.0,483.0,434.0,548.0,261.0,287.0,369.0,222.0,147.0,577.0,367.0,210.0,208.0,145.0,63.0,369.0,222.0,147.0,340.0,116.0,224.0,340.0,116.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Albany County (Outside Albany City) PUMA,2252.0,996.0,1256.0,2056.0,901.0,1155.0,196.0,95.0,101.0,1120.0,535.0,585.0,924.0,440.0,484.0,196.0,95.0,101.0,867.0,335.0,532.0,867.0,335.0,532.0,0.0,0.0,0.0,265.0,126.0,139.0,265.0,126.0,139.0,0.0,0.0,0.0
50,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,9909.0,4906.0,5003.0,6775.0,3400.0,3375.0,3134.0,1506.0,1628.0,4054.0,2028.0,2026.0,2602.0,1173.0,1429.0,1452.0,855.0,597.0,4985.0,2448.0,2537.0,3303.0,1797.0,1506.0,1682.0,651.0,1031.0,870.0,430.0,440.0,870.0,430.0,440.0,0.0,0.0,0.0
51,Erie County (North Central) PUMA,1603.0,480.0,1123.0,579.0,268.0,311.0,1024.0,212.0,812.0,1137.0,408.0,729.0,401.0,196.0,205.0,736.0,212.0,524.0,466.0,72.0,394.0,178.0,72.0,106.0,288.0,0.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",11486.0,6365.0,5121.0,9745.0,5258.0,4487.0,1741.0,1107.0,634.0,6040.0,2881.0,3159.0,5438.0,2577.0,2861.0,602.0,304.0,298.0,5113.0,3241.0,1872.0,4218.0,2592.0,1626.0,895.0,649.0,246.0,333.0,243.0,90.0,89.0,89.0,0.0,244.0,154.0,90.0
53,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",2778.0,1185.0,1593.0,367.0,309.0,58.0,2411.0,876.0,1535.0,2202.0,758.0,1444.0,367.0,309.0,58.0,1835.0,449.0,1386.0,576.0,427.0,149.0,0.0,0.0,0.0,576.0,427.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,6913.0,3263.0,3650.0,1690.0,953.0,737.0,5223.0,2310.0,2913.0,5069.0,2517.0,2552.0,1310.0,759.0,551.0,3759.0,1758.0,2001.0,1729.0,631.0,1098.0,380.0,194.0,186.0,1349.0,437.0,912.0,115.0,115.0,0.0,0.0,0.0,0.0,115.0,115.0,0.0
55,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",17646.0,9085.0,8561.0,8448.0,3830.0,4618.0,9198.0,5255.0,3943.0,5978.0,2277.0,3701.0,3725.0,1465.0,2260.0,2253.0,812.0,1441.0,10474.0,6081.0,4393.0,4079.0,2130.0,1949.0,6395.0,3951.0,2444.0,1194.0,727.0,467.0,644.0,235.0,409.0,550.0,492.0,58.0
