,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
35,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",31,0,31,55000.0,0,55000,0,0,0,#DIV/0!,0,0,31,0,31,55000.0,0,55000,0,0,0,#DIV/0!,0,0
36,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,4026,2825,1201,76526.08544461004,80351,67527,1940,1027,913,85012.13402061856,102372,65484,1473,1185,288,83832.31500339444,86221,74003,613,613,0,32113.344208809136,32113,0
37,Suffolk County (Northwest)--Huntington Town (North) PUMA,413,266,147,116440.67796610169,48270,239795,413,266,147,116440.67796610169,48270,239795,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,0,0
38,Erie County (Northeast) PUMA,214,214,0,174999.5327102804,174999,0,63,63,0,506000.0,506000,0,151,151,0,36900.0,36900,0,0,0,0,#DIV/0!,0,0
39,Monroe County (North & West) PUMA,365,68,297,59159.78082191781,100490,49696,102,0,102,50000.0,0,50000,263,68,195,62712.243346007606,100490,49538,0,0,0,#DIV/0!,0,0
40,Oneida County (Central)--Greater Utica & Rome Cities PUMA,2015,923,1092,34940.19851116625,37748,32566,730,279,451,38279.04109589041,44316,34544,1046,525,521,31729.349904397706,32104,31351,239,119,120,38794.56066945607,47252,30407
41,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",3579,2164,1415,65295.69712210115,81806,40044,2023,1098,925,80117.64705882352,110725,43784,1134,688,446,29507.231040564373,27746,32222,422,378,44,90412.55924170616,96199,40700
42,Erie County (West Central)--Buffalo City (East) PUMA,468,468,0,23597.008547008547,23597,0,53,53,0,75000.0,75000,0,369,369,0,13171.815718157182,13171,0,46,46,0,48000.0,48000,0
43,Suffolk County (Northwest)--Smithtown Town PUMA,301,228,73,172652.22591362125,199280,89483,74,50,24,449544.86486486485,617000,100680,227,178,49,82387.66519823788,81943,84000,0,0,0,#DIV/0!,0,0
44,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,2628,1325,1303,146819.9505327245,229498,62745,1471,650,821,188698.72875594834,322663,82636,536,300,236,44236.94029850746,45370,42796,621,375,246,136161.0305958132,215314,15500
45,NYC-Manhattan Community District 8--Upper East Side PUMA,8812,4280,4532,145968.54062641851,205304,89932,8676,4280,4396,148099.90548639925,205304,92405,136,0,136,10000.0,0,10000,0,0,0,#DIV/0!,0,0
46,Suffolk County (Southwest)--Islip Town (South) PUMA,585,346,239,96955.21367521367,126849,53676,276,276,0,140000.0,140000,0,0,0,0,#DIV/0!,0,0,309,70,239,58507.44336569579,75000,53676
47,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",4028,2579,1449,107782.3609731877,130485,67375,3277,2097,1180,121245.3310955142,148945,72018,751,482,269,49036.48468708389,50170,47005,0,0,0,#DIV/0!,0,0
48,Erie County (South) PUMA,548,338,210,50148.57664233576,61599,31718,432,222,210,43470.13888888889,54586,31718,116,116,0,75020.0,75020,0,0,0,0,#DIV/0!,0,0
49,Albany County (Outside Albany City) PUMA,1356,934,422,78441.66666666667,87080,59322,890,535,355,95637.0786516854,116061,64856,340,273,67,49529.117647058825,54321,30000,126,126,0,35000.0,35000,0
50,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,6845,4370,2475,54522.074506939374,59069,46492,3288,1933,1355,55902.676399026765,60136,49862,2901,2007,894,57928.50741123751,63177,46144,656,430,226,32538.10975609756,35100,27663
51,Erie County (North Central) PUMA,1197,362,835,62584.33082706767,43276,70955,1019,290,729,68464.61629048086,42848,78654,178,72,106,28921.34831460674,45000,18000,0,0,0,#DIV/0!,0,0
52,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",9556,5702,3854,73190.22394307241,77187,67275,5165,2793,2372,77613.0261374637,82774,71535,4302,2820,1482,67635.8670385867,71408,60457,89,89,0,85000.0,85000,0
53,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",2016,953,1063,51787.569444444445,57546,46624,1505,591,914,50766.604651162794,52980,49334,511,362,149,54794.520547945205,65000,30000,0,0,0,#DIV/0!,0,0
54,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,5844,2903,2941,185532.5325119781,253681,118264,4241,2157,2084,233715.39731195473,316256,148282,1488,631,857,58138.521505376346,75618,45268,115,115,0,57000.0,57000,0
55,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",12057,7651,4406,59978.64974703492,64970,51309,4054,1591,2463,67267.68130241736,70886,64930,7272,5409,1863,56854.01540154016,64449,34801,731,651,80,50638.85088919289,54847,16387
56,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",14971,7614,7357,71706.07307461092,82425,60612,9763,4428,5335,85505.77896138481,107828,66978,4778,2789,1989,45154.039347007114,46359,43463,430,397,33,53424.88372093023,52462,65000
57,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",240,92,148,17640.0,24782,13200,0,0,0,#DIV/0!,0,0,240,92,148,17640.0,24782,13200,0,0,0,#DIV/0!,0,0
58,Suffolk County (North Central)--Brookhaven Town (North) PUMA,1488,918,570,145298.05107526883,157199,126129,1373,918,455,154955.20757465405,157199,150426,115,0,115,30000.0,0,30000,0,0,0,#DIV/0!,0,0
59,Albany County (East Central)--Albany City PUMA,388,50,338,103322.1649484536,14000,116535,79,0,79,56000.0,0,56000,309,50,259,115420.71197411003,14000,135000,0,0,0,#DIV/0!,0,0
60,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,1923,1028,895,138606.96827873116,175917,95751,1600,893,707,150163.25,192299,96942,323,135,188,81362.22910216718,67555,91276,0,0,0,#DIV/0!,0,0
61,Rensselaer County--Troy City PUMA,631,631,0,80891.9175911252,80891,0,182,182,0,73224.17582417582,73224,0,449,449,0,84000.0,84000,0,0,0,0,#DIV/0!,0,0
62,Warren & Washington Counties PUMA,530,256,274,33836.22641509434,51207,17606,290,117,173,33155.1724137931,60000,15000,176,75,101,39989.77272727273,64120,22071,64,64,0,20000.0,20000,0
63,Orange County (Northeast)--Greater Newburgh City PUMA,498,360,138,62134.53815261044,71308,38202,210,145,65,65385.71428571428,62868,71000,73,0,73,9000.0,0,9000,215,215,0,77000.0,77000,0
64,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",445,79,366,55015.730337078654,130000,38830,179,0,179,36703.91061452514,0,36703,187,0,187,40866.310160427805,0,40866,79,79,0,130000.0,130000,0
65,Fulton & Montgomery Counties PUMA,127,0,127,26000.0,0,26000,0,0,0,#DIV/0!,0,0,127,0,127,26000.0,0,26000,0,0,0,#DIV/0!,0,0
66,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,10524,5705,4819,54398.631698973775,53531,55425,6810,3488,3322,60626.27753303965,65239,55782,3094,1724,1370,41761.0698125404,30359,56108,620,493,127,49060.48387096774,51728,38704
67,Monroe County (Central)--Rochester City (East) PUMA,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,0,0
68,Chautauqua County PUMA,271,203,68,26442.066420664207,28600,20000,68,0,68,20000.0,0,20000,203,203,0,28600.0,28600,0,0,0,0,#DIV/0!,0,0
69,Nassau County (Northwest)--North Hempstead Town (North) PUMA,2745,1495,1250,130188.48087431694,187013,62225,1396,602,794,153938.9541547278,263650,70757,1291,855,436,108744.0743609605,138974,49461,58,38,20,35862.06896551724,53789,1800
70,"Clinton, Franklin, Essex & Hamilton Counties PUMA",272,107,165,43636.029411764706,59794,33157,63,38,25,57412.69841269841,79000,24600,117,24,93,37538.46153846154,59000,32000,92,45,47,41956.52173913043,44000,40000
71,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,5931,3678,2253,88387.60748609004,98614,71692,3531,2192,1339,117195.49702633815,139786,80213,2090,1176,914,49267.75119617225,41540,59210,310,310,0,24000.0,24000,0
72,Monroe County (Central)--Rochester City (West) PUMA,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,0,0
73,Orange County (Southeast) PUMA,904,581,323,77961.47123893806,95523,46371,390,351,39,89925.64102564103,99472,4000,475,191,284,61402.46315789474,75100,52190,39,39,0,160000.0,160000,0
74,Rockland County (North)--New City & Congers PUMA,383,301,82,82757.18015665797,77242,103000,187,105,82,82224.59893048128,66000,103000,196,196,0,83265.30612244898,83265,0,0,0,0,#DIV/0!,0,0
75,Westchester County (Southeast) PUMA,3492,2504,988,117716.15979381443,117333,118686,2860,2075,785,129800.26223776223,124927,142680,354,354,0,83272.25988700565,83272,0,278,75,203,37257.91366906475,68000,25900
76,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",1769,575,1194,97303.91181458451,50448,119868,973,199,774,152476.87564234328,81819,170643,796,376,420,29862.587939698493,33846,26296,0,0,0,#DIV/0!,0,0
77,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,886,336,550,118931.15124153499,222741,55512,568,178,390,141077.46478873238,320000,59415,303,143,160,67313.53135313532,91160,46000,15,15,0,323000.0,323000,0
78,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,4237,2811,1426,83901.94005192354,87052,77691,3018,1834,1184,101920.64943671305,113308,84280,992,924,68,41737.903225806454,38554,85000,227,53,174,28599.11894273128,24000,30000
79,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",3289,1946,1343,54969.38279112192,50876,60900,1135,500,635,81058.50220264317,78530,83049,2028,1320,708,41753.895463510846,42139,41035,126,126,0,32666.666666666668,32666,0
80,Onondaga County (Central)--Syracuse City (Outer) PUMA,1059,794,265,46280.8687440982,51276,31313,442,289,153,35681.990950226245,41887,23960,474,434,40,59426.16033755274,59373,60000,143,71,72,35468.531468531466,40000,31000
81,Wayne & Seneca Counties PUMA,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,0,0
82,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",716,716,0,23950.27932960894,23950,0,283,283,0,5800.0,5800,0,268,268,0,24000.0,24000,0,165,165,0,55000.0,55000,0
83,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,940,853,87,260718.085106383,283739,35000,474,474,0,465139.2405063291,465139,0,466,379,87,52787.55364806867,56870,35000,0,0,0,#DIV/0!,0,0
