,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
45,NYC-Manhattan Community District 8--Upper East Side PUMA,12777,5027,7750,10605,4686,5919,2172,341,1831,11789,4936,6853,9752,4595,5157,2037,341,1696,988,91,897,853,91,762,135,0,135,0,0,0,0,0,0,0,0,0
46,Suffolk County (Southwest)--Islip Town (South) PUMA,585,346,239,585,346,239,0,0,0,276,276,0,276,276,0,0,0,0,0,0,0,0,0,0,0,0,0,309,70,239,309,70,239,0,0,0
47,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",5040,2623,2417,4997,2623,2374,43,0,43,3698,2097,1601,3655,2097,1558,43,0,43,1211,482,729,1211,482,729,0,0,0,131,44,87,131,44,87,0,0,0
48,Erie County (South) PUMA,917,483,434,917,483,434,0,0,0,577,367,210,577,367,210,0,0,0,340,116,224,340,116,224,0,0,0,0,0,0,0,0,0,0,0,0
49,Albany County (Outside Albany City) PUMA,2252,996,1256,1911,870,1041,341,126,215,1120,535,585,1120,535,585,0,0,0,867,335,532,791,335,456,76,0,76,265,126,139,0,0,0,265,126,139
50,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,9909,4906,5003,8741,4609,4132,1168,297,871,4054,2028,2026,3691,2028,1663,363,0,363,4985,2448,2537,4180,2151,2029,805,297,508,870,430,440,870,430,440,0,0,0
51,Erie County (North Central) PUMA,1603,480,1123,1001,272,729,602,208,394,1137,408,729,929,200,729,208,208,0,466,72,394,72,72,0,394,0,394,0,0,0,0,0,0,0,0,0
52,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",11486,6365,5121,10305,6019,4286,1181,346,835,6040,2881,3159,5162,2592,2570,878,289,589,5113,3241,1872,4867,3241,1626,246,0,246,333,243,90,276,186,90,57,57,0
53,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",2802,1193,1609,2105,886,1219,697,307,390,2226,766,1460,1529,459,1070,697,307,390,576,427,149,576,427,149,0,0,0,0,0,0,0,0,0,0,0,0
54,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,6913,3263,3650,6913,3263,3650,0,0,0,5069,2517,2552,5069,2517,2552,0,0,0,1729,631,1098,1729,631,1098,0,0,0,115,115,0,115,115,0,0,0,0
55,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",17660,9099,8561,15583,8569,7014,2077,530,1547,5978,2277,3701,5482,2023,3459,496,254,242,10488,6095,4393,8907,5819,3088,1581,276,1305,1194,727,467,1194,727,467,0,0,0
56,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",21402,9637,11765,17809,7828,9981,3593,1809,1784,12702,5437,7265,11246,4599,6647,1456,838,618,7750,3598,4152,5931,2888,3043,1819,710,1109,950,602,348,632,341,291,318,261,57
57,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",540,184,356,392,184,208,148,0,148,63,0,63,63,0,63,0,0,0,477,184,293,329,184,145,148,0,148,0,0,0,0,0,0,0,0,0
58,Suffolk County (North Central)--Brookhaven Town (North) PUMA,1656,831,825,1656,831,825,0,0,0,1413,831,582,1413,831,582,0,0,0,243,0,243,243,0,243,0,0,0,0,0,0,0,0,0,0,0,0
59,Albany County (East Central)--Albany City PUMA,1063,473,590,704,244,460,359,229,130,494,163,331,364,163,201,130,0,130,309,50,259,259,0,259,50,50,0,260,260,0,81,81,0,179,179,0
60,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,2301,1131,1170,2301,1131,1170,0,0,0,1978,996,982,1978,996,982,0,0,0,323,135,188,323,135,188,0,0,0,0,0,0,0,0,0,0,0,0
61,Rensselaer County--Troy City PUMA,984,682,302,594,543,51,390,139,251,463,233,230,145,94,51,318,139,179,521,449,72,449,449,0,72,0,72,0,0,0,0,0,0,0,0,0
62,Warren & Washington Counties PUMA,745,321,424,623,294,329,122,27,95,290,117,173,290,117,173,0,0,0,391,140,251,269,113,156,122,27,95,64,64,0,64,64,0,0,0,0
63,Orange County (Northeast)--Greater Newburgh City PUMA,603,360,243,603,360,243,0,0,0,315,145,170,315,145,170,0,0,0,73,0,73,73,0,73,0,0,0,215,215,0,215,215,0,0,0,0
64,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",706,79,627,533,79,454,173,0,173,267,0,267,267,0,267,0,0,0,360,0,360,187,0,187,173,0,173,79,79,0,79,79,0,0,0,0
65,Fulton & Montgomery Counties PUMA,174,0,174,174,0,174,0,0,0,0,0,0,0,0,0,0,0,0,174,0,174,174,0,174,0,0,0,0,0,0,0,0,0,0,0,0
66,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,15372,7383,7989,12157,5235,6922,3215,2148,1067,8462,4208,4254,7126,3171,3955,1336,1037,299,5612,2411,3201,4032,1409,2623,1580,1002,578,1298,764,534,999,655,344,299,109,190
67,Monroe County (Central)--Rochester City (East) PUMA,105,105,0,0,0,0,105,105,0,0,0,0,0,0,0,0,0,0,105,105,0,0,0,0,105,105,0,0,0,0,0,0,0,0,0,0
68,Chautauqua County PUMA,271,203,68,271,203,68,0,0,0,68,0,68,68,0,68,0,0,0,203,203,0,203,203,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Nassau County (Northwest)--North Hempstead Town (North) PUMA,5161,2018,3143,4283,1656,2627,878,362,516,2589,837,1752,2260,620,1640,329,217,112,2280,1143,1137,1965,998,967,315,145,170,292,38,254,58,38,20,234,0,234
