,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
11,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,1377,758,619,1377,758,619,0,0,0,764,411,353,764,411,353,0,0,0,379,225,154,379,225,154,0,0,0,234,122,112,234,122,112,0,0,0
12,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",362,170,192,334,142,192,28,28,0,131,47,84,131,47,84,0,0,0,28,28,0,0,0,0,28,28,0,203,95,108,203,95,108,0,0,0
13,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,2804,1836,968,2582,1614,968,222,222,0,1996,1421,575,1996,1421,575,0,0,0,808,415,393,586,193,393,222,222,0,0,0,0,0,0,0,0,0,0
14,Westchester County (Northeast) PUMA,1740,1217,523,1598,1075,523,142,142,0,1285,762,523,1285,762,523,0,0,0,379,379,0,237,237,0,142,142,0,76,76,0,76,76,0,0,0,0
15,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,881,405,476,881,405,476,0,0,0,662,186,476,662,186,476,0,0,0,219,219,0,219,219,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Nassau County (Central)--Hempstead Town (East Central) PUMA,1035,787,248,973,725,248,62,62,0,367,296,71,367,296,71,0,0,0,606,429,177,606,429,177,0,0,0,62,62,0,0,0,0,62,62,0
18,Niagara County (North & East) PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",1115,984,131,1115,984,131,0,0,0,426,353,73,426,353,73,0,0,0,455,455,0,455,455,0,0,0,0,234,176,58,234,176,58,0,0,0
20,"Chenango, Delaware & Broome (East) Counties PUMA",26,26,0,26,26,0,0,0,0,26,26,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Oswego County PUMA,346,0,346,346,0,346,0,0,0,346,0,346,346,0,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",722,508,214,422,208,214,300,300,0,411,197,214,342,128,214,69,69,0,311,311,0,80,80,0,231,231,0,0,0,0,0,0,0,0,0,0
23,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,3204,1971,1233,2866,1791,1075,338,180,158,2055,1232,823,1897,1232,665,158,0,158,951,577,374,771,397,374,180,180,0,198,162,36,198,162,36,0,0,0
24,Ontario & Yates Counties PUMA,265,177,88,265,177,88,0,0,0,177,177,0,177,177,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,88,88,0,88,0,0,0
25,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",996,770,226,996,770,226,0,0,0,772,546,226,772,546,226,0,0,0,224,224,0,224,224,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Erie County (Northwest) PUMA,639,492,147,639,492,147,0,0,0,187,187,0,187,187,0,0,0,0,382,305,77,382,305,77,0,0,0,70,0,70,70,0,70,0,0,0
27,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,6262,3038,3224,5314,2461,2853,948,577,371,3253,1239,2014,3028,1099,1929,225,140,85,2642,1564,1078,1919,1127,792,723,437,286,367,235,132,367,235,132,0,0,0
28,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",1434,1258,176,955,779,176,479,479,0,355,278,77,251,174,77,104,104,0,783,783,0,446,446,0,337,337,0,296,197,99,258,159,99,38,38,0
