,puma,Unemployment_HSINC_score,FT_Work_HSINC_score,Poverty_HSINC_score,Working_Poor_HSINC_score,Rent_Burden_HSINC_score,Home_Ownership_HSINC_score,Income_level_HSINC_score,Overall_HSINC_score,Unemployment_HSINC_grade,FT_Work_HSINC_grade,Poverty_HSINC_grade,Working_Poor_HSINC_grade,Rent_Burden_HSINC_grade,Home_Ownership_HSINC_grade,Income_level_HSINC_grade,Overall_HSINC_grade
141,Nassau County (Central)--Hempstead Town (Northeast) PUMA,0.2568176272056589,0.8657690317581209,0.7388624453551397,0.29380147568863596,#DIV/0!,1.5764361187668852,#DIV/0!,#DIV/0!,B-,B,B-,B-,#DIV!0,A-,#DIV!0,#DIV!0
142,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,0.2568176272056589,0.8657690317581209,-2.3024558632656356,-2.8695171238939365,-2.366684289256885,-1.043705431937725,-0.13056345751009849,-1.0843342152715,B-,B,E,E,E,D,C,D
143,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,-0.052448028385863786,-0.48346519079328787,-0.12687307949245627,-0.34714215808809135,-0.4419315797759606,-0.303395453661052,0.4535306851858997,-0.18596068643011604,C,C-,C,C-,C-,C-,B-,C
144,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,0.2568176272056589,0.025233910802137615,1.2467939566918054,0.82210829335088,0.17008748482890906,-0.30554696737568793,-0.5235412056197757,0.24170758569770387,B-,C,B,B,C,C-,C-,C
145,Nassau County (West Central)--North Hempstead Town (South) PUMA,0.2568176272056589,0.26393039383571326,0.4294279912695925,0.20714892004781937,-0.38806728144466157,0.4779515166270018,#DIV/0!,#DIV/0!,B-,B-,B-,C,C-,B-,#DIV!0,#DIV!0
146,Capital Region,-0.9021856304563577,0.5710673354042142,0.43139778814181584,0.3974757324035487,-0.639734979251696,0.4853280451302671,0.6537106897896386,0.14243699730877582,D,B-,B-,B-,C-,B-,B-,C
147,Central NY,0.788144419942062,-0.48700133493058534,0.49171705682440864,1.0170122776562394,-1.3966039279348768,0.24029893384754344,-1.7728840385432465,-0.15990237330549362,B,C-,B-,B,D-,C,E,C
148,Finger Lakes,0.788144419942062,0.07679169911349668,0.21003887821890588,-0.17731102746174116,1.2036809804412194,0.8126486142070877,0.31500870684336985,0.46128603875777147,B,C,C,C,B,B,B-,B-
149,Long Island,-0.13632316484962706,0.9449132741803048,0.21475743264515224,-0.0769450778434901,-0.584416032788392,0.6849281992906534,0.9806298487958091,0.28964921134720145,C,B,C,C,C-,B-,B,B-
150,Mid-Hudson,0.33628670897491686,0.0694180977945946,0.9445598444055817,0.2682684153924433,0.15027462075703635,-0.4163391318748421,0.3004377892514108,0.23612947781444873,B-,C,B,B-,C,C-,B-,C
151,Mohawk Valley,-0.7704332827733957,-1.1324894569967308,-1.1438771610378757,0.18886262799798817,0.4966042269317748,0.8329690038858253,-1.5933299947478428,-0.44595629096289385,D,D,D,C,B-,B,D-,C-
152,New York City,0.11355417527475727,0.0460582189089795,-0.22639065920962007,-0.09535446953356999,-0.2782553654946539,-1.2068207781110978,-0.10278045171992091,-0.24999847569787512,C,C,C,C,C-,D,C,C
153,North Country,0.788144419942062,-1.1148686472089355,1.4086123961597896,1.259256641151065,1.5441800890074369,1.0272682645926985,0.17274770387078545,0.7264772667878432,B,D,A-,A-,A-,B,C,B-
154,Southern Tier,0.788144419942062,1.2506427369398208,-0.9672552508093136,-0.6849872618902959,-0.7107166204524547,-1.7495651224325395,0.8052545567244385,-0.18121179171118323,B,A-,D,C-,C-,D-,B,C
155,Western NY,-0.3124853138834232,-1.1882601645329265,-1.7033850227941438,-2.3180224577571606,0.7706487807952348,-0.9335112407863261,-0.2866318897139082,-0.8530924726675219,C-,D,D-,E,B,D,C-,D
