,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,4548,2534,2014,3524,2365,1159,1024,169,855,333,128,205,128,128,0,205,0,205,2589,1496,1093,1770,1327,443,819,169,650,1626,910,716,1626,910,716,0,0,0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",8561,4267,4294,7186,4088,3098,1375,179,1196,1746,811,935,1746,811,935,0,0,0,4337,2327,2010,3603,2327,1276,734,0,734,2478,1129,1349,1837,950,887,641,179,462
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,12644,9009,3635,9673,7423,2250,2971,1586,1385,1731,960,771,1381,738,643,350,222,128,7883,5603,2280,6139,4860,1279,1744,743,1001,3030,2446,584,2153,1825,328,877,621,256
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",1773,570,1203,1353,570,783,420,0,420,1773,570,1203,1353,570,783,420,0,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Suffolk County (Central)--Islip Town (East) PUMA,271,83,188,271,83,188,0,0,0,0,0,0,0,0,0,0,0,0,271,83,188,271,83,188,0,0,0,0,0,0,0,0,0,0,0,0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",1367,440,927,881,440,441,486,0,486,187,105,82,187,105,82,0,0,0,1097,252,845,611,252,359,486,0,486,83,83,0,83,83,0,0,0,0
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",9293,4611,4682,8041,4135,3906,1252,476,776,2312,696,1616,2022,589,1433,290,107,183,5343,2343,3000,4624,2151,2473,719,192,527,1638,1572,66,1395,1395,0,243,177,66
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,24827,15354,9473,22007,14477,7530,2820,877,1943,2177,618,1559,1872,618,1254,305,0,305,17591,10454,7137,15480,9780,5700,2111,674,1437,5059,4282,777,4655,4079,576,404,203,201
45,Saratoga County (Outer) PUMA,294,294,0,294,294,0,0,0,0,294,294,0,294,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",4444,2610,1834,4196,2362,1834,248,248,0,644,249,395,644,249,395,0,0,0,3092,1653,1439,2844,1405,1439,248,248,0,708,708,0,708,708,0,0,0,0
