,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",8087,4087,4000,7456,3456,4000,631,631,0,1452,811,641,1452,811,641,0,0,0,4157,2147,2010,4157,2147,2010,0,0,0,2478,1129,1349,1847,498,1349,631,631,0
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,12596,9009,3587,12338,8751,3587,258,258,0,1731,960,771,1628,857,771,103,103,0,7835,5603,2232,7680,5448,2232,155,155,0,3030,2446,584,3030,2446,584,0,0,0
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",1656,570,1086,1656,570,1086,0,0,0,1656,570,1086,1656,570,1086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Suffolk County (Central)--Islip Town (East) PUMA,341,153,188,271,83,188,70,70,0,0,0,0,0,0,0,0,0,0,271,83,188,271,83,188,0,0,0,70,70,0,0,0,0,70,70,0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",1334,499,835,1219,440,779,115,59,56,187,105,82,187,105,82,0,0,0,949,252,697,949,252,697,0,0,0,198,142,56,83,83,0,115,59,56
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",9293,4611,4682,9293,4611,4682,0,0,0,2312,696,1616,2312,696,1616,0,0,0,5343,2343,3000,5343,2343,3000,0,0,0,1638,1572,66,1638,1572,66,0,0,0
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,24965,15354,9611,24146,15354,8792,819,0,819,2177,618,1559,2177,618,1559,0,0,0,17593,10454,7139,16910,10454,6456,683,0,683,5195,4282,913,5059,4282,777,136,0,136
45,Saratoga County (Outer) PUMA,294,294,0,294,294,0,0,0,0,294,294,0,294,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",4151,2610,1541,4151,2610,1541,0,0,0,644,249,395,644,249,395,0,0,0,2799,1653,1146,2799,1653,1146,0,0,0,708,708,0,708,708,0,0,0,0
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",2397,1266,1131,2333,1266,1067,64,0,64,159,95,64,95,95,0,64,0,64,1896,829,1067,1896,829,1067,0,0,0,342,342,0,342,342,0,0,0,0
48,Wayne & Seneca Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Schenectady County--Schenectady City PUMA,874,288,586,874,288,586,0,0,0,432,0,432,432,0,432,0,0,0,442,288,154,442,288,154,0,0,0,0,0,0,0,0,0,0,0,0
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,2604,1084,1520,2309,1084,1225,295,0,295,543,272,271,543,272,271,0,0,0,1546,812,734,1546,812,734,0,0,0,515,0,515,220,0,220,295,0,295
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,1199,487,712,1063,487,576,136,0,136,173,0,173,89,0,89,84,0,84,726,487,239,674,487,187,52,0,52,300,0,300,300,0,300,0,0,0
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,6148,4260,1888,5913,4260,1653,235,0,235,535,98,437,459,98,361,76,0,76,3921,2949,972,3921,2949,972,0,0,0,1692,1213,479,1533,1213,320,159,0,159
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",2558,1684,874,2558,1684,874,0,0,0,1415,1280,135,1415,1280,135,0,0,0,1143,404,739,1143,404,739,0,0,0,0,0,0,0,0,0,0,0,0
54,Columbia & Greene Counties PUMA,241,156,85,241,156,85,0,0,0,36,0,36,36,0,36,0,0,0,108,108,0,108,108,0,0,0,0,97,48,49,97,48,49,0,0,0
55,Rensselaer County--Troy City PUMA,266,210,56,243,187,56,23,23,0,79,23,56,56,0,56,23,23,0,151,151,0,151,151,0,0,0,0,36,36,0,36,36,0,0,0,0
