,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
26,Erie County (Central) PUMA,576.0,357.0,219.0,514.0,295.0,219.0,62.0,62.0,0.0,169.0,93.0,76.0,169.0,93.0,76.0,0.0,0.0,0.0,407.0,264.0,143.0,345.0,202.0,143.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,St. Lawrence County PUMA,149.0,62.0,87.0,149.0,62.0,87.0,0.0,0.0,0.0,62.0,62.0,0.0,62.0,62.0,0.0,0.0,0.0,0.0,62.0,0.0,62.0,62.0,0.0,62.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,0.0,25.0,0.0,0.0,0.0
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",10246.0,5554.0,4692.0,386.0,186.0,200.0,9860.0,5368.0,4492.0,2622.0,1445.0,1177.0,187.0,109.0,78.0,2435.0,1336.0,1099.0,4128.0,2205.0,1923.0,199.0,77.0,122.0,3929.0,2128.0,1801.0,3496.0,1904.0,1592.0,0.0,0.0,0.0,3496.0,1904.0,1592.0
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,987.0,410.0,577.0,587.0,222.0,365.0,400.0,188.0,212.0,486.0,178.0,308.0,367.0,178.0,189.0,119.0,0.0,119.0,313.0,44.0,269.0,220.0,44.0,176.0,93.0,0.0,93.0,188.0,188.0,0.0,0.0,0.0,0.0,188.0,188.0,0.0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,6803.0,3281.0,3522.0,839.0,314.0,525.0,5964.0,2967.0,2997.0,1476.0,623.0,853.0,129.0,0.0,129.0,1347.0,623.0,724.0,3472.0,1792.0,1680.0,710.0,314.0,396.0,2762.0,1478.0,1284.0,1855.0,866.0,989.0,0.0,0.0,0.0,1855.0,866.0,989.0
31,Cayuga & Onondaga (South) Counties PUMA,678.0,437.0,241.0,589.0,437.0,152.0,89.0,0.0,89.0,382.0,293.0,89.0,293.0,293.0,0.0,89.0,0.0,89.0,144.0,144.0,0.0,144.0,144.0,0.0,0.0,0.0,0.0,152.0,0.0,152.0,152.0,0.0,152.0,0.0,0.0,0.0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,2240.0,864.0,1376.0,701.0,500.0,201.0,1539.0,364.0,1175.0,181.0,181.0,0.0,181.0,181.0,0.0,0.0,0.0,0.0,2059.0,683.0,1376.0,520.0,319.0,201.0,1539.0,364.0,1175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Fulton & Montgomery Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,553.0,317.0,236.0,386.0,150.0,236.0,167.0,167.0,0.0,202.0,42.0,160.0,202.0,42.0,160.0,0.0,0.0,0.0,142.0,66.0,76.0,142.0,66.0,76.0,0.0,0.0,0.0,209.0,209.0,0.0,42.0,42.0,0.0,167.0,167.0,0.0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,1834.0,1262.0,572.0,654.0,376.0,278.0,1180.0,886.0,294.0,125.0,78.0,47.0,125.0,78.0,47.0,0.0,0.0,0.0,1634.0,1109.0,525.0,529.0,298.0,231.0,1105.0,811.0,294.0,75.0,75.0,0.0,0.0,0.0,0.0,75.0,75.0,0.0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,358.0,358.0,0.0,106.0,106.0,0.0,252.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.0,358.0,0.0,106.0,106.0,0.0,252.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,5225.0,2792.0,2433.0,3434.0,1951.0,1483.0,1791.0,841.0,950.0,333.0,128.0,205.0,333.0,128.0,205.0,0.0,0.0,0.0,3008.0,1496.0,1512.0,2410.0,1317.0,1093.0,598.0,179.0,419.0,1884.0,1168.0,716.0,691.0,506.0,185.0,1193.0,662.0,531.0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",9977.0,5365.0,4612.0,780.0,511.0,269.0,9197.0,4854.0,4343.0,1990.0,1055.0,935.0,638.0,369.0,269.0,1352.0,686.0,666.0,5509.0,3181.0,2328.0,142.0,142.0,0.0,5367.0,3039.0,2328.0,2478.0,1129.0,1349.0,0.0,0.0,0.0,2478.0,1129.0,1349.0
