,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
81,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",2637,1291,1346,2467,1291,1176,170,0,170,1614,812,802,1614,812,802,0,0,0,747,479,268,747,479,268,0,0,0,276,0,276,106,0,106,170,0,170
82,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,609,355,254,420,192,228,189,163,26,330,192,138,304,192,112,26,0,26,172,56,116,116,0,116,56,56,0,107,107,0,0,0,0,107,107,0
83,Niagara County (North & East) PUMA,254,71,183,254,71,183,0,0,0,137,0,137,137,0,137,0,0,0,117,71,46,117,71,46,0,0,0,0,0,0,0,0,0,0,0,0
84,Monroe County (Central)--Rochester City (East) PUMA,2285,1207,1078,1588,1143,445,697,64,633,376,249,127,283,185,98,93,64,29,1464,958,506,1221,958,263,243,0,243,445,0,445,84,0,84,361,0,361
85,Warren & Washington Counties PUMA,621,62,559,149,62,87,472,0,472,589,62,527,117,62,55,472,0,472,0,0,0,0,0,0,0,0,0,32,0,32,32,0,32,0,0,0
86,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,6011,3072,2939,4840,2326,2514,1171,746,425,2221,1286,935,1769,975,794,452,311,141,3048,1387,1661,2639,1262,1377,409,125,284,742,399,343,432,89,343,310,310,0
87,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,5168,2099,3069,3936,1525,2411,1232,574,658,2273,758,1515,1809,758,1051,464,0,464,2528,1099,1429,1909,674,1235,619,425,194,367,242,125,218,93,125,149,149,0
88,Onondaga County (Central)--Syracuse City PUMA,4621,2184,2437,2079,1381,698,2542,803,1739,1109,428,681,611,292,319,498,136,362,2442,1424,1018,1364,1023,341,1078,401,677,1070,332,738,104,66,38,966,266,700
89,Westchester County (Central)--White Plains City PUMA,16055,7350,8705,13840,6247,7593,2215,1103,1112,9778,3926,5852,8655,3557,5098,1123,369,754,4296,1796,2500,4100,1796,2304,196,0,196,1981,1628,353,1085,894,191,896,734,162
90,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,6236,2257,3979,3765,1471,2294,2471,786,1685,1863,258,1605,1398,205,1193,465,53,412,3514,1613,1901,2088,1141,947,1426,472,954,859,386,473,279,125,154,580,261,319
91,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",14026,7471,6555,8013,4686,3327,6013,2785,3228,4089,1837,2252,2448,1038,1410,1641,799,842,6927,3840,3087,3918,2609,1309,3009,1231,1778,3010,1794,1216,1647,1039,608,1363,755,608
92,Cattaraugus & Allegany Counties PUMA,520,248,272,325,174,151,195,74,121,311,174,137,311,174,137,0,0,0,160,25,135,14,0,14,146,25,121,49,49,0,0,0,0,49,49,0
93,Oswego County PUMA,252,98,154,172,18,154,80,80,0,115,98,17,35,18,17,80,80,0,137,0,137,137,0,137,0,0,0,0,0,0,0,0,0,0,0,0
94,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",16310,8265,8045,11323,5848,5475,4987,2417,2570,6141,2256,3885,4807,1802,3005,1334,454,880,7482,3856,3626,5161,2992,2169,2321,864,1457,2687,2153,534,1355,1054,301,1332,1099,233
95,Monroe County (East) PUMA,2770,972,1798,2333,860,1473,437,112,325,1621,552,1069,1621,552,1069,0,0,0,1038,420,618,601,308,293,437,112,325,111,0,111,111,0,111,0,0,0
96,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,11682,5530,6152,9812,4195,5617,1870,1335,535,4976,1709,3267,4976,1709,3267,0,0,0,5075,2460,2615,3830,1540,2290,1245,920,325,1631,1361,270,1006,946,60,625,415,210
97,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",6836,3499,3337,4743,2501,2242,2093,998,1095,2049,685,1364,1818,578,1240,231,107,124,1416,1120,296,1041,745,296,375,375,0,3371,1694,1677,1884,1178,706,1487,516,971
98,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",10660,5890,4770,7182,3810,3372,3478,2080,1398,3726,1598,2128,2739,1243,1496,987,355,632,4336,2123,2213,2917,1380,1537,1419,743,676,2598,2169,429,1526,1187,339,1072,982,90
99,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",6961,3127,3834,5579,2230,3349,1382,897,485,2783,563,2220,2783,563,2220,0,0,0,3323,2030,1293,2381,1252,1129,942,778,164,855,534,321,415,415,0,440,119,321
