,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",21018,10493,10525,92189.34751165667,124057.07957686076,60418.5054631829,15787,8055,7732,108763.47032368404,149737.84432029794,66077.41464045524,4792,1999,2793,44574.87479131886,44326.46323161581,44752.66738274257,439,439,0,15908.883826879272,15908.883826879272,0.0
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,31329,19404,11925,94655.84509559833,103119.05560709132,80884.76444444444,16830,9199,7631,116169.82893642306,130410.36036525709,99003.18647621544,13898,9701,4197,70022.09310692186,79365.99835068549,48424.4698594234,601,504,97,61843.09484193011,62197.81746031746,60000.0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,44830,26412,18418,80681.31965201873,87153.27843404513,71400.32413942882,32071,17475,14596,92201.22384708928,103613.55879828327,78537.85352151275,11320,7867,3453,54413.666961130744,58097.69289436888,46020.31856356791,1439,1070,369,30573.59277275886,31954.11214953271,26570.460704607045
31,Cayuga & Onondaga (South) Counties PUMA,38900,22088,16812,62555.91678663239,70288.60295182905,52396.53229835832,12880,5787,7093,91219.0605590062,115718.78002419215,71230.35668969406,24474,15057,9417,49187.442183541716,55702.509065550905,38770.39195072741,1546,1244,302,35388.22962483829,35496.30466237942,34943.046357615895
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,33472,20609,12863,93593.54170650095,104708.4326265224,75785.34867449274,17317,9051,8266,108145.19605012416,124283.37421279417,90474.41809823373,16059,11558,4501,78072.8979388505,89379.41408548191,49039.19129082426,96,0,96,65000.0,0.0,65000.0
33,Fulton & Montgomery Counties PUMA,33160,18172,14988,46246.61378166466,51137.0819392472,40317.231118227915,7063,2951,4112,64853.26206994195,76430.20670958997,56545.002431906614,22944,13342,9602,42617.856215132495,47822.93231899266,35385.39158508644,3153,1879,1274,30972.099587694258,34946.221394358705,25110.737833594976
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,55802,30500,25302,67370.53227482886,77859.22727868853,54727.057544858115,25610,14059,11551,87958.95033190161,102109.5553026531,70735.90857934378,29173,15904,13269,50303.06187227916,57612.4430331992,41542.16067525812,1019,537,482,38557.89990186457,42606.890130353815,34046.88796680498
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,27280,14509,12771,69786.57038123168,79622.30684402784,58612.29269438572,10496,4878,5618,84374.4159679878,104312.9499794998,67062.1751512994,15940,9072,6868,62170.600376411545,69041.23456790124,53095.12085032032,844,559,285,32209.00473933649,35884.436493738816,25000.0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,32362,17002,15360,44929.14671528336,49492.437595576994,39878.03528645833,6239,2804,3435,53000.06763904472,60957.34664764622,46504.51877729258,24774,13409,11365,44142.666666666664,48545.54582742934,38947.92784865816,1349,789,560,22045.366938472944,24840.050697084916,18107.85714285714
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,35369,21799,13570,72894.18298509995,80967.97834763062,59924.34767870302,13261,7222,6039,97359.5111982505,119131.27527000831,71322.8031130982,20979,13664,7315,58733.01301301301,62451.23609484777,51787.585782638416,1129,913,216,48671.39061116032,56211.61007667032,16800.0
