,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
91,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,33090,15484,6479,9005,13523,6706,6817,4083,2323,1760
92,Albany County (Outside Albany City) PUMA,92357,42139,18057,24082,46589,25377,21212,3629,1741,1888
93,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",23986,3175,598,2577,14998,7038,7960,5813,2938,2875
94,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",41076,21460,11637,9823,18388,9204,9184,1228,961,267
95,Nassau County (West Central)--Hempstead Town (West Central) PUMA,33864,13976,5146,8830,18429,9779,8650,1459,1093,366
96,Erie County (West Central)--Buffalo City (East) PUMA,66280,12922,5434,7488,47036,21747,25289,6322,3469,2853
97,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,24101,18713,9073,9640,4544,2552,1992,844,202,642
98,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",49600,15935,6400,9535,31278,14871,16407,2387,1515,872
99,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",30124,7951,2778,5173,19332,9772,9560,2841,1262,1579
100,Madison & Cortland Counties PUMA,56469,16804,6991,9813,35556,19059,16497,4109,2498,1611
101,Nassau County (Central)--Hempstead Town (East Central) PUMA,48339,28030,12441,15589,19860,11243,8617,449,262,187
102,Nassau County (West Central)--North Hempstead Town (South) PUMA,31232,18497,8649,9848,12437,6398,6039,298,298,0
103,Westchester County (Central)--White Plains City PUMA,61256,40461,19036,21425,18512,10635,7877,2283,957,1326
104,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",70130,24561,10799,13762,42982,22016,20966,2587,1240,1347
105,Suffolk County (Northwest)--Huntington Town (South) PUMA,42451,24165,12105,12060,18070,9468,8602,216,98,118
106,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,52886,32900,17232,15668,14658,6818,7840,5328,2875,2453
107,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,17645,4965,2281,2684,8537,3932,4605,4143,2389,1754
108,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,32294,17893,7881,10012,10223,6294,3929,4178,1794,2384
109,Suffolk County (Northwest)--Huntington Town (North) PUMA,43192,26700,11850,14850,15885,9339,6546,607,421,186
110,Suffolk County (Southwest)--Islip Town (South) PUMA,46643,19208,7769,11439,25919,14033,11886,1516,776,740
111,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",22731,8365,2984,5381,12791,6038,6753,1575,797,778
112,Ulster County (East) PUMA,71245,22479,9634,12845,43833,22912,20921,4933,3087,1846
113,NYC-Manhattan Community District 10--Central Harlem PUMA,58722,25087,10738,14349,27514,14043,13471,6121,3711,2410
114,NYC-Brooklyn Community District 4--Bushwick PUMA,42108,17583,8359,9224,17125,7477,9648,7400,3833,3567
115,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",28533,12716,5197,7519,14118,8218,5900,1699,1003,696
116,Oneida County (Central)--Greater Utica & Rome Cities PUMA,67428,21342,9208,12134,39095,21372,17723,6991,4609,2382
117,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",43497,7251,3183,4068,29179,11691,17488,7067,3485,3582
118,Erie County (Central) PUMA,76291,20786,10283,10503,50434,25628,24806,5071,2095,2976
119,Livingston & Wyoming Counties PUMA,51990,11859,4557,7302,36552,20572,15980,3579,2666,913
120,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,37443,18968,9472,9496,17539,8634,8905,936,543,393
121,Niagara County (North & East) PUMA,53620,14914,6461,8453,35656,18283,17373,3050,1720,1330
122,Westchester County (Southwest)--Yonkers City PUMA,55866,24189,10039,14150,27479,16293,11186,4198,2647,1551
123,Sullivan & Ulster (West) Counties PUMA,45627,11362,5779,5583,29270,16484,12786,4995,3407,1588
124,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",32229,11271,5122,6149,17244,8414,8830,3714,2801,913
125,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,34322,13798,7068,6730,17878,9548,8330,2646,1172,1474
126,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",22912,3529,1431,2098,14093,8237,5856,5290,3104,2186
