,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
90,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,4473,1892,951,941,2172,1154,1018,409,240,169
91,Monroe County (Central)--Rochester City (West) PUMA,302,66,66,0,158,24,134,78,71,7
92,Erie County (Northwest) PUMA,928,298,201,97,512,297,215,118,17,101
93,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,1304,644,302,342,558,168,390,102,66,36
94,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",421,224,89,135,139,66,73,58,30,28
95,Suffolk County (Central)--Islip Town (Northwest) PUMA,636,113,43,70,441,245,196,82,39,43
96,Rensselaer County--Troy City PUMA,797,365,214,151,353,219,134,79,46,33
97,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",708,227,136,91,325,163,162,156,36,120
98,Erie County (West Central)--Buffalo City (West) PUMA,942,430,164,266,512,387,125,0,0,0
99,Suffolk County (Central)--Brookhaven Town (Central) PUMA,2020,657,240,417,943,457,486,420,283,137
100,Cayuga & Onondaga (South) Counties PUMA,178,104,18,86,60,26,34,14,14,0
101,Sullivan & Ulster (West) Counties PUMA,1346,658,229,429,635,349,286,53,22,31
102,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,271,171,100,71,100,54,46,0,0,0
103,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",245,50,6,44,133,127,6,62,35,27
104,Rockland County (North)--New City & Congers PUMA,1599,838,444,394,748,316,432,13,0,13
105,Saratoga County (Outer) PUMA,469,209,79,130,185,97,88,75,55,20
106,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,516,144,61,83,300,90,210,72,72,0
107,Putnam County PUMA,2486,726,360,366,1441,662,779,319,140,179
108,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,16657,7671,3460,4211,7746,3498,4248,1240,690,550
109,Orange County (Southeast) PUMA,2015,594,276,318,1136,656,480,285,102,183
110,Onondaga County (Central)--Syracuse City (Outer) PUMA,2078,1116,468,648,818,378,440,144,65,79
111,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",2668,713,327,386,1268,744,524,687,425,262
112,Monroe County (East) PUMA,1896,828,525,303,919,312,607,149,108,41
113,NYC-Manhattan Community District 10--Central Harlem PUMA,2404,1749,866,883,528,322,206,127,127,0
114,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,1992,1073,474,599,895,363,532,24,3,21
115,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,887,240,134,106,466,190,276,181,92,89
116,Wayne & Seneca Counties PUMA,284,159,75,84,125,50,75,0,0,0
117,Schenectady County--Schenectady City PUMA,1356,711,410,301,489,328,161,156,10,146
118,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",1703,1110,493,617,578,310,268,15,7,8
119,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",5923,4944,2810,2134,855,395,460,124,54,70
120,Westchester County (Northeast) PUMA,2422,1521,781,740,783,351,432,118,81,37
121,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,1166,630,279,351,488,280,208,48,18,30
122,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,5425,3054,1508,1546,2031,1188,843,340,125,215
123,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",9904,4957,2006,2951,4449,2439,2010,498,285,213
