,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
32,Schenectady County--Schenectady City PUMA,57119,28327,28792,49222,26077,23145,7897,2250,5647,22934,9432,13502,19723,8774,10949,3211,658,2553,30989,17437,13552,26504,16046,10458,4485,1391,3094,3196,1458,1738,2995,1257,1738,201,201,0
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",21964,12527,9437,14577,9498,5079,7387,3029,4358,8003,4119,3884,6034,3493,2541,1969,626,1343,11885,6887,4998,7549,5011,2538,4336,1876,2460,2076,1521,555,994,994,0,1082,527,555
34,Niagara County (North & East) PUMA,43523,22083,21440,35618,19292,16326,7905,2791,5114,13623,5838,7785,11952,5461,6491,1671,377,1294,28315,15496,12819,22656,13419,9237,5659,2077,3582,1585,749,836,1010,412,598,575,337,238
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,51041,24947,26094,44481,22612,21869,6560,2335,4225,17366,6972,10394,15982,6892,9090,1384,80,1304,32891,17727,15164,27827,15472,12355,5064,2255,2809,784,248,536,672,248,424,112,0,112
36,Suffolk County (East) PUMA,41137,22355,18782,34538,20948,13590,6599,1407,5192,22235,11245,10990,18929,10382,8547,3306,863,2443,17794,10255,7539,14822,9871,4951,2972,384,2588,1108,855,253,787,695,92,321,160,161
37,Warren & Washington Counties PUMA,50871,26130,24741,40328,21644,18684,10543,4486,6057,15742,6980,8762,13386,6357,7029,2356,623,1733,32609,17321,15288,25338,13980,11358,7271,3341,3930,2520,1829,691,1604,1307,297,916,522,394
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,25171,13305,11866,22295,12096,10199,2876,1209,1667,17597,9390,8207,16186,8681,7505,1411,709,702,7089,3607,3482,5624,3107,2517,1465,500,965,485,308,177,485,308,177,0,0,0
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",29970,14839,15131,24437,12795,11642,5533,2044,3489,17817,8626,9191,15628,8122,7506,2189,504,1685,10868,5401,5467,7907,4155,3752,2961,1246,1715,1285,812,473,902,518,384,383,294,89
40,Westchester County (Central)--White Plains City PUMA,47335,24218,23117,40924,22699,18225,6411,1519,4892,34180,17109,17071,30125,16398,13727,4055,711,3344,13122,7076,6046,10766,6268,4498,2356,808,1548,33,33,0,33,33,0,0,0,0
41,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",28814,13014,15800,21892,10455,11437,6922,2559,4363,6271,2887,3384,5571,2801,2770,700,86,614,18985,8229,10756,13773,6172,7601,5212,2057,3155,3558,1898,1660,2548,1482,1066,1010,416,594
42,Erie County (North Central) PUMA,42864,20517,22347,37311,18693,18618,5553,1824,3729,27841,12767,15074,24600,11928,12672,3241,839,2402,14664,7507,7157,12481,6651,5830,2183,856,1327,359,243,116,230,114,116,129,129,0
43,Chautauqua County PUMA,48569,25149,23420,39122,22356,16766,9447,2793,6654,13074,5469,7605,10909,4662,6247,2165,807,1358,31865,17645,14220,25390,15868,9522,6475,1777,4698,3630,2035,1595,2823,1826,997,807,209,598
