,puma,BABS_FT_Work_Total,BABS_FT_Work_M,BABS_FT_Work_F,HS_FT_Work_Total,HS_FT_Work_M,HS_FT_Work_F,HSINC_FT_Work_Total,HSINC_FT_Work_M,HSINC_FT_Work_F
116,Westchester County (Northeast) PUMA,82.44949494949495,84.53389830508475,79.375,57.3170731707317,100.0,0.0,100.0,100.0,100.0
117,NYC-Brooklyn Community District 4--Bushwick PUMA,88.77551020408163,100.0,81.46067415730337,100.0,100.0,100.0,0.0,0.0,#DIV/0!
118,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,67.81019557550498,39.57345971563981,87.10199676200756,100.0,100.0,100.0,#DIV/0!,#DIV/0!,#DIV/0!
119,Dutchess County (North & East) PUMA,89.04382470119522,100.0,71.20418848167539,0.0,0.0,#DIV/0!,0.0,#DIV/0!,0.0
120,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,100.0,#DIV/0!,100.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
121,Broome (Outer West) & Tioga Counties PUMA,100.0,100.0,#DIV/0!,65.41666666666667,100.0,50.887573964497044,#DIV/0!,#DIV/0!,#DIV/0!
122,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",100.0,100.0,100.0,51.42555438225976,49.333333333333336,59.390862944162436,100.0,100.0,#DIV/0!
123,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",#DIV/0!,#DIV/0!,#DIV/0!,100.0,100.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
124,Orange County (Northeast)--Greater Newburgh City PUMA,100.0,100.0,#DIV/0!,72.89377289377289,100.0,59.34065934065934,#DIV/0!,#DIV/0!,#DIV/0!
125,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",96.14762931034483,97.23940980485483,94.723774053383,72.73972602739725,100.0,58.62785862785863,#DIV/0!,#DIV/0!,#DIV/0!
126,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,85.81511839708561,89.7986577181208,81.68752897542883,75.11045655375553,74.45871559633026,75.9861932938856,81.81818181818183,76.06837606837607,100.0
127,Onondaga County (North) PUMA,100.0,100.0,100.0,100.0,100.0,100.0,#DIV/0!,#DIV/0!,#DIV/0!
128,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,76.20357634112793,91.58699808795411,36.76470588235294,75.29411764705883,90.11494252873563,48.97959183673469,0.0,#DIV/0!,0.0
129,Monroe County (North & West) PUMA,95.15895953757226,100.0,94.81022463206816,70.57673509286413,59.92010652463382,100.0,#DIV/0!,#DIV/0!,#DIV/0!
130,Sullivan & Ulster (West) Counties PUMA,69.44444444444444,100.0,62.71186440677966,56.09756097560976,90.39301310043668,0.0,100.0,100.0,#DIV/0!
131,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,100.0,100.0,100.0,100.0,100.0,100.0,42.63565891472868,#DIV/0!,42.63565891472868
132,Suffolk County (Northwest)--Huntington Town (North) PUMA,100.0,100.0,100.0,23.376623376623375,0.0,72.72727272727273,#DIV/0!,#DIV/0!,#DIV/0!
133,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",#DIV/0!,#DIV/0!,#DIV/0!,100.0,100.0,#DIV/0!,100.0,100.0,#DIV/0!
134,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",100.0,100.0,100.0,100.0,100.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
