,puma,Unemployment_BABS_score,FT_Work_BABS_score,Poverty_BABS_score,Working_Poor_BABS_score,Rent_Burden_BABS_score,Home_ownership_BABS_score,Income_level_BABS_score,Overall_BABS_score,Unemployment_HS_score,FT_Work_HS_score,Poverty_HS_score,Working_Poor_HS_score,Rent_Burden_HS_score,Home_ownership_HS_score,Income_level_HS_score,Overall_HS_score,Unemployment_BABS_grade,FT_Work_BABS_grade,Poverty_BABS_grade,Working_Poor_BABS_grade,Rent_Burden_BABS_grade,Home_ownership_BABS_grade,Income_level_BABS_grade,Overall_BABS_grade,Unemployment_HS_grade,FT_Work_HS_grade,Poverty_HS_grade,Working_Poor_HS_grade,Income_level_HS_grade,Rent_Burden_HS_grade,Home_ownership_HS_grade,Overall_HS_grade
133,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",#DIV/0!,0.1061018810251365,0.14973758804428874,0.1394251951821078,-0.22404023394075231,-0.06920472883295473,-0.16260486560193071,#DIV/0!,0.3446678168302566,-0.4282463445755947,0.14834556252925973,-0.303959223719489,-2.4465973694892034,-0.06472657891233434,0.3433492736098403,-0.34388098053246635,#DIV!0,C,C,C,C,C,C,#DIV!0,B-,C-,C,C-,B-,E,C,C-
134,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",0.24643117092740835,-0.08115499872459254,0.2955272422511542,-0.139754630552058,0.03728920788701932,-0.22267003634068264,0.1051652773204178,0.03440474753838093,-1.2157055825837815,0.34167677772979704,0.3587458473116228,-0.10316396094444753,0.32088966280106285,-0.1847182563991753,0.2474177747632976,-0.033551105331660586,C,C,B-,C,C,C,C,C,D,B-,B-,C,C,B-,C,C
135,Monroe County (Central)--Rochester City (West) PUMA,#DIV/0!,0.2818356083610883,#DIV/0!,#DIV/0!,#DIV/0!,-0.08089130450314182,0.5328822340241721,#DIV/0!,#DIV/0!,1.5675546017766169,0.40562788540503575,0.7337001154573204,-2.2334748613372177,2.2464605036318432,7.405006351646412,#DIV/0!,#DIV!0,B-,#DIV!0,#DIV!0,#DIV!0,C,B-,#DIV!0,#DIV!0,A-,B-,B-,A,E,A,#DIV!0
136,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,0.12972092299020058,0.3618908724028903,0.4278422726812085,-0.020780144236351827,#DIV/0!,0.8010606306649283,0.4047319816470345,#DIV/0!,0.3747100732892732,0.21052379042694855,0.22232740328598746,-0.04176108478584628,0.22733229028198085,-0.3151703409624793,-0.21066678952566756,0.06675647743002813,C,B-,B-,C,#DIV!0,B,B-,#DIV!0,B-,C,C,C,C,C,C-,C
137,Suffolk County (Central)--Islip Town (Northwest) PUMA,#DIV/0!,-0.593455864270044,0.4849736658900132,0.528207476505601,#DIV/0!,-0.4311914581966145,0.38906098041148424,#DIV/0!,0.5861824713690089,-0.021063044816917766,0.38573489571715797,0.2590911782820563,0.3880852880959925,-0.264673972746212,0.09509912811430497,0.2040651348593416,#DIV!0,C-,B-,B-,#DIV!0,C-,B-,#DIV!0,B-,C,B-,B-,C,B-,C-,C
138,Putnam County PUMA,#DIV/0!,1.4882493879824503,#DIV/0!,#DIV/0!,#DIV/0!,0.01786891423987328,-0.05857982930524129,#DIV/0!,#DIV/0!,-0.9599084759718612,0.6160856734109414,0.7337001154573204,1.271987586907427,0.33507095500114087,0.40798756276884157,#DIV/0!,#DIV!0,A-,#DIV!0,#DIV!0,#DIV!0,C,C,#DIV!0,#DIV!0,D,B-,B-,B-,A-,B-,#DIV!0
139,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,0.09368890885329263,-0.18685055698987946,0.22000763286911085,-0.2969038733168416,-1.6733944634643718,-0.20481156828928537,-0.14536962686002813,-0.3133762210282861,-0.9954380045321968,-0.17896382778719708,0.2819368780849892,0.6275036086470127,0.4108642391598589,0.6225781791274492,0.12286761382065872,0.1273355266457964,C,C,C,C-,D-,C,C,C-,D,C,B-,B-,C,B-,B-,C
140,Nassau County (Central)--Hempstead Town (East Central) PUMA,0.5663050049460221,0.8020053766475033,#DIV/0!,#DIV/0!,#DIV/0!,-0.27655402876983287,0.36799530965244887,#DIV/0!,#DIV/0!,1.0324513239284865,-0.8319745655978691,0.7337001154573204,#DIV/0!,-0.1293223382796811,1.6778238167728936,#DIV/0!,B-,B,#DIV!0,#DIV!0,#DIV!0,C-,B-,#DIV!0,#DIV!0,B,D,B-,A-,#DIV!0,C,#DIV!0
141,Suffolk County (Northwest)--Huntington Town (South) PUMA,#DIV/0!,-0.2418747163173454,0.49570172434288645,0.528207476505601,#DIV/0!,-0.29156666434728157,-0.4651519749695349,#DIV/0!,#DIV/0!,4.617288377324052,0.40571232340080204,0.7337001154573204,1.271987586907427,-0.20990812096746764,-0.9679913730612335,#DIV/0!,#DIV!0,C,B-,B-,#DIV!0,C-,C-,#DIV!0,#DIV!0,A,B-,B-,D,A-,C,#DIV!0
142,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",#DIV/0!,-0.7300729791166827,-4.3268334812602065,-2.4130571883283776,-0.4693974997559039,-1.6302659571585347,-0.10905568743014002,#DIV/0!,0.4997814312447962,0.0789837709092523,0.19031266596724294,-0.3854857858141908,0.5015769285337442,4.289558515356023,0.28224974445247786,0.7795681815213351,#DIV!0,C-,E,E,C-,D-,C,#DIV!0,B-,C,C,C-,B-,B-,A,B
