,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NRB_mf_t,Total_NRB_m,Total_NRB_f,Total_RB_mf_t,Total_RB_m,Total_RB_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NRB_mf_t,BABS_NRB_m,BABS_NRB_f,BABS_RB_mf_t,BABS_RB_m,BABS_RB_f,Total_HS,Total_HS_m,Total_HS_f,HS_NRB_mf_t,HS_NRB_m,HS_NRB_f,HS_RB_mf_t,HS_RB_m,HS_RB_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NRB_mf_t,HSINC_NRB_m,HSINC_NRB_f,HSINC_RB_mf_t,HSINC_RB_m,HSINC_RB_f
36,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,5411.0,2472.0,2939.0,3753.0,1586.0,2167.0,1658.0,886.0,772.0,1536.0,545.0,991.0,1000.0,235.0,765.0,536.0,310.0,226.0,2567.0,1299.0,1268.0,2022.0,958.0,1064.0,545.0,341.0,204.0,1308.0,628.0,680.0,731.0,393.0,338.0,577.0,235.0,342.0
37,Suffolk County (Northwest)--Huntington Town (North) PUMA,1466.0,914.0,552.0,706.0,378.0,328.0,760.0,536.0,224.0,273.0,273.0,0.0,0.0,0.0,0.0,273.0,273.0,0.0,433.0,145.0,288.0,240.0,145.0,95.0,193.0,0.0,193.0,760.0,496.0,264.0,466.0,233.0,233.0,294.0,263.0,31.0
38,Erie County (Northeast) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Monroe County (North & West) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Oneida County (Central)--Greater Utica & Rome Cities PUMA,1217.0,671.0,546.0,873.0,484.0,389.0,344.0,187.0,157.0,339.0,85.0,254.0,339.0,85.0,254.0,0.0,0.0,0.0,599.0,399.0,200.0,442.0,399.0,43.0,157.0,0.0,157.0,279.0,187.0,92.0,92.0,0.0,92.0,187.0,187.0,0.0
41,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",5669.0,3439.0,2230.0,3104.0,1987.0,1117.0,2565.0,1452.0,1113.0,1750.0,1404.0,346.0,1170.0,873.0,297.0,580.0,531.0,49.0,2898.0,1256.0,1642.0,1574.0,754.0,820.0,1324.0,502.0,822.0,1021.0,779.0,242.0,360.0,360.0,0.0,661.0,419.0,242.0
42,Erie County (West Central)--Buffalo City (East) PUMA,100.0,52.0,48.0,100.0,52.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,52.0,48.0,100.0,52.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Suffolk County (Northwest)--Smithtown Town PUMA,407.0,105.0,302.0,407.0,105.0,302.0,0.0,0.0,0.0,202.0,105.0,97.0,202.0,105.0,97.0,0.0,0.0,0.0,205.0,0.0,205.0,205.0,0.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,2158.0,1251.0,907.0,1213.0,394.0,819.0,945.0,857.0,88.0,703.0,291.0,412.0,324.0,0.0,324.0,379.0,291.0,88.0,678.0,283.0,395.0,428.0,33.0,395.0,250.0,250.0,0.0,777.0,677.0,100.0,461.0,361.0,100.0,316.0,316.0,0.0
45,NYC-Manhattan Community District 8--Upper East Side PUMA,8074.0,3596.0,4478.0,6946.0,3419.0,3527.0,1128.0,177.0,951.0,6921.0,3159.0,3762.0,5793.0,2982.0,2811.0,1128.0,177.0,951.0,1153.0,437.0,716.0,1153.0,437.0,716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Suffolk County (Southwest)--Islip Town (South) PUMA,837.0,343.0,494.0,773.0,343.0,430.0,64.0,0.0,64.0,194.0,0.0,194.0,194.0,0.0,194.0,0.0,0.0,0.0,643.0,343.0,300.0,579.0,343.0,236.0,64.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",1482.0,710.0,772.0,1358.0,586.0,772.0,124.0,124.0,0.0,1075.0,303.0,772.0,1075.0,303.0,772.0,0.0,0.0,0.0,250.0,250.0,0.0,126.0,126.0,0.0,124.0,124.0,0.0,157.0,157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0
48,Erie County (South) PUMA,274.0,245.0,29.0,245.0,245.0,0.0,29.0,0.0,29.0,29.0,0.0,29.0,0.0,0.0,0.0,29.0,0.0,29.0,245.0,245.0,0.0,245.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Albany County (Outside Albany City) PUMA,3430.0,2373.0,1057.0,3309.0,2373.0,936.0,121.0,0.0,121.0,2347.0,2042.0,305.0,2347.0,2042.0,305.0,0.0,0.0,0.0,1083.0,331.0,752.0,962.0,331.0,631.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,3605.0,1864.0,1741.0,3159.0,1864.0,1295.0,446.0,0.0,446.0,595.0,321.0,274.0,529.0,321.0,208.0,66.0,0.0,66.0,1646.0,921.0,725.0,1266.0,921.0,345.0,380.0,0.0,380.0,1364.0,622.0,742.0,1364.0,622.0,742.0,0.0,0.0,0.0
51,Erie County (North Central) PUMA,2344.0,857.0,1487.0,1260.0,857.0,403.0,1084.0,0.0,1084.0,1984.0,791.0,1193.0,1194.0,791.0,403.0,790.0,0.0,790.0,360.0,66.0,294.0,66.0,66.0,0.0,294.0,0.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",1871.0,945.0,926.0,1871.0,945.0,926.0,0.0,0.0,0.0,494.0,245.0,249.0,494.0,245.0,249.0,0.0,0.0,0.0,1046.0,700.0,346.0,1046.0,700.0,346.0,0.0,0.0,0.0,331.0,0.0,331.0,331.0,0.0,331.0,0.0,0.0,0.0
53,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",27793.0,13006.0,14787.0,23278.0,10859.0,12419.0,4515.0,2147.0,2368.0,5312.0,1681.0,3631.0,4209.0,1014.0,3195.0,1103.0,667.0,436.0,16731.0,8162.0,8569.0,13582.0,6850.0,6732.0,3149.0,1312.0,1837.0,5750.0,3163.0,2587.0,5487.0,2995.0,2492.0,263.0,168.0,95.0
54,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,8904.0,3127.0,5777.0,7391.0,2238.0,5153.0,1513.0,889.0,624.0,5977.0,2170.0,3807.0,5672.0,1865.0,3807.0,305.0,305.0,0.0,2380.0,957.0,1423.0,1582.0,373.0,1209.0,798.0,584.0,214.0,547.0,0.0,547.0,137.0,0.0,137.0,410.0,0.0,410.0
55,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",7626.0,3141.0,4485.0,5708.0,2498.0,3210.0,1918.0,643.0,1275.0,1502.0,414.0,1088.0,1322.0,414.0,908.0,180.0,0.0,180.0,5098.0,2212.0,2886.0,3581.0,1569.0,2012.0,1517.0,643.0,874.0,1026.0,515.0,511.0,805.0,515.0,290.0,221.0,0.0,221.0
56,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",3980.0,1698.0,2282.0,3333.0,1286.0,2047.0,647.0,412.0,235.0,1478.0,958.0,520.0,1478.0,958.0,520.0,0.0,0.0,0.0,1751.0,224.0,1527.0,1583.0,56.0,1527.0,168.0,168.0,0.0,751.0,516.0,235.0,272.0,272.0,0.0,479.0,244.0,235.0
57,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",11780.0,6874.0,4906.0,9136.0,5625.0,3511.0,2644.0,1249.0,1395.0,3341.0,2038.0,1303.0,2719.0,1559.0,1160.0,622.0,479.0,143.0,6107.0,3444.0,2663.0,4697.0,2848.0,1849.0,1410.0,596.0,814.0,2332.0,1392.0,940.0,1720.0,1218.0,502.0,612.0,174.0,438.0
58,Suffolk County (North Central)--Brookhaven Town (North) PUMA,371.0,65.0,306.0,0.0,0.0,0.0,371.0,65.0,306.0,65.0,65.0,0.0,0.0,0.0,0.0,65.0,65.0,0.0,306.0,0.0,306.0,0.0,0.0,0.0,306.0,0.0,306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Albany County (East Central)--Albany City PUMA,765.0,249.0,516.0,765.0,249.0,516.0,0.0,0.0,0.0,525.0,249.0,276.0,525.0,249.0,276.0,0.0,0.0,0.0,56.0,0.0,56.0,56.0,0.0,56.0,0.0,0.0,0.0,184.0,0.0,184.0,184.0,0.0,184.0,0.0,0.0,0.0
60,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,6716.0,2543.0,4173.0,6048.0,2453.0,3595.0,668.0,90.0,578.0,2946.0,1042.0,1904.0,2744.0,1042.0,1702.0,202.0,0.0,202.0,3098.0,1218.0,1880.0,2762.0,1128.0,1634.0,336.0,90.0,246.0,672.0,283.0,389.0,542.0,283.0,259.0,130.0,0.0,130.0
61,Rensselaer County--Troy City PUMA,1035.0,347.0,688.0,874.0,306.0,568.0,161.0,41.0,120.0,1035.0,347.0,688.0,874.0,306.0,568.0,161.0,41.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
