,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
24,Ontario & Yates Counties PUMA,795,199,596,20672.830188679247,13275,23142,121,0,121,60363.63636363636,0,60363,674,199,475,13547.3293768546,13275,13661,0,0,0,#DIV/0!,0,0
25,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",8948,3978,4970,51825.888466696466,49275,53867,4306,1638,2668,63402.77519739898,57285,67158,3672,1892,1780,42898.06644880174,46497,39071,970,448,522,34230.927835051545,31716,36388
26,Erie County (Northwest) PUMA,1136,732,404,28806.8661971831,29323,27871,220,126,94,93127.27272727272,88000,100000,916,606,310,13358.73362445415,17123,6000,0,0,0,#DIV/0!,0,0
27,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,10544,6043,4501,49752.73795523521,35313,69138,3356,1328,2028,86125.08015494636,40777,115820,4716,3018,1698,36205.3647158609,36286,36060,2472,1697,775,26218.68932038835,29306,19457
28,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",6243,3441,2802,53376.533717763894,60010,45229,1936,1373,563,86792.61363636363,94071,69041,3552,1642,1910,40852.59009009009,39505,42010,755,426,329,26610.331125827815,29271,23164
29,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",8099,4146,3953,105577.30584022719,106635,104467,6619,3056,3563,118645.58090345973,130203,108732,448,181,267,103686.38392857143,142005,77709,1032,909,123,22581.39534883721,20359,39000
30,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",12768,7126,5642,36573.33302005012,39727,32589,4532,2443,2089,45107.06443071492,45473,44678,6678,3811,2867,32912.5187181791,38008,26138,1558,872,686,27441.142490372273,31146,22731
31,NYC-Queens Community District 1--Astoria & Long Island City PUMA,16414,10949,5465,53733.19970756671,55395,50401,8217,4717,3500,68213.16782280638,73277,61388,6002,4650,1352,38159.60346551149,40202,31134,2195,1582,613,42111.70842824601,46739,30169
32,Erie County (West Central)--Buffalo City (West) PUMA,1566,1298,268,32267.943805874842,32543,30932,646,591,55,47995.510835913316,49204,35000,868,707,161,19800.11520737327,18615,25000,52,0,52,45000.0,0,45000
33,Schenectady County--Schenectady City PUMA,1675,1260,415,47227.34328358209,41311,65187,714,487,227,79668.06722689075,70193,99995,373,185,188,24554.959785522788,25972,23159,588,588,0,22217.34693877551,22217,0
