,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",3342,1872,1470,3342,1872,1470,0,0,0,569,174,395,569,174,395,0,0,0,2065,990,1075,2065,990,1075,0,0,0,708,708,0,708,708,0,0,0,0
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",1111,679,432,1047,679,368,64,0,64,159,95,64,95,95,0,64,0,64,656,288,368,656,288,368,0,0,0,296,296,0,296,296,0,0,0,0
48,Wayne & Seneca Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Schenectady County--Schenectady City PUMA,346,0,346,346,0,346,0,0,0,346,0,346,346,0,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,1591,722,869,1296,722,574,295,0,295,199,0,199,199,0,199,0,0,0,877,722,155,877,722,155,0,0,0,515,0,515,220,0,220,295,0,295
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,219,135,84,135,135,0,84,0,84,84,0,84,0,0,0,84,0,84,135,135,0,135,135,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,2659,1947,712,2620,1947,673,39,0,39,459,98,361,459,98,361,0,0,0,1477,1165,312,1477,1165,312,0,0,0,723,684,39,684,684,0,39,0,39
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",421,271,150,421,271,150,0,0,0,271,271,0,271,271,0,0,0,0,150,0,150,150,0,150,0,0,0,0,0,0,0,0,0,0,0,0
54,Columbia & Greene Counties PUMA,170,85,85,170,85,85,0,0,0,36,0,36,36,0,36,0,0,0,37,37,0,37,37,0,0,0,0,97,48,49,97,48,49,0,0,0
55,Rensselaer County--Troy City PUMA,59,59,0,36,36,0,23,23,0,23,23,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0,0,36,36,0,36,36,0,0,0,0
56,Erie County (West Central)--Buffalo City (West) PUMA,350,237,113,350,237,113,0,0,0,237,237,0,237,237,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,113,113,0,113,0,0,0
57,Erie County (South) PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,100,0,100,100,0,100,0,0,0,100,0,100,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",18207,10257,7950,17060,9842,7218,1147,415,732,2295,1151,1144,2295,1151,1144,0,0,0,12185,6357,5828,11394,6298,5096,791,59,732,3727,2749,978,3371,2393,978,356,356,0
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,298,0,298,298,0,298,0,0,0,0,0,0,0,0,0,0,0,0,298,0,298,298,0,298,0,0,0,0,0,0,0,0,0,0,0,0
61,NYC-Manhattan Community District 10--Central Harlem PUMA,1659,107,1552,1659,107,1552,0,0,0,525,0,525,525,0,525,0,0,0,565,0,565,565,0,565,0,0,0,569,107,462,569,107,462,0,0,0
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,1922,1393,529,1922,1393,529,0,0,0,30,0,30,30,0,30,0,0,0,1212,899,313,1212,899,313,0,0,0,680,494,186,680,494,186,0,0,0
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,1443,459,984,1443,459,984,0,0,0,257,0,257,257,0,257,0,0,0,1016,289,727,1016,289,727,0,0,0,170,170,0,170,170,0,0,0,0
64,Albany County (East Central)--Albany City PUMA,418,0,418,418,0,418,0,0,0,0,0,0,0,0,0,0,0,0,418,0,418,418,0,418,0,0,0,0,0,0,0,0,0,0,0,0
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,1838,1286,552,1661,1109,552,177,177,0,0,0,0,0,0,0,0,0,0,1491,939,552,1314,762,552,177,177,0,347,347,0,347,347,0,0,0,0
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",8544,4537,4007,8371,4537,3834,173,0,173,1675,558,1117,1589,558,1031,86,0,86,5377,3100,2277,5377,3100,2277,0,0,0,1492,879,613,1405,879,526,87,0,87
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",7335,3525,3810,7335,3525,3810,0,0,0,1589,579,1010,1589,579,1010,0,0,0,3712,1855,1857,3712,1855,1857,0,0,0,2034,1091,943,2034,1091,943,0,0,0
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",5510,2238,3272,5510,2238,3272,0,0,0,1119,230,889,1119,230,889,0,0,0,3413,1487,1926,3413,1487,1926,0,0,0,978,521,457,978,521,457,0,0,0
70,Erie County (Northeast) PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,NYC-Manhattan Community District 11--East Harlem PUMA,2274,1003,1271,2018,1003,1015,256,0,256,166,0,166,166,0,166,0,0,0,1374,495,879,1118,495,623,256,0,256,734,508,226,734,508,226,0,0,0
72,Orange County (Southeast) PUMA,1058,635,423,1058,635,423,0,0,0,347,0,347,347,0,347,0,0,0,561,485,76,561,485,76,0,0,0,150,150,0,150,150,0,0,0,0
73,Westchester County (Southeast) PUMA,4245,2581,1664,4245,2581,1664,0,0,0,991,241,750,991,241,750,0,0,0,1351,555,796,1351,555,796,0,0,0,1903,1785,118,1903,1785,118,0,0,0
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,4292,2770,1522,3821,2454,1367,471,316,155,1173,854,319,1039,720,319,134,134,0,1911,1151,760,1574,969,605,337,182,155,1208,765,443,1208,765,443,0,0,0
75,Livingston & Wyoming Counties PUMA,137,137,0,137,137,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,0,31,31,0,0,0,0,106,106,0,106,106,0,0,0,0
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,520,333,187,520,333,187,0,0,0,0,0,0,0,0,0,0,0,0,332,256,76,332,256,76,0,0,0,188,77,111,188,77,111,0,0,0
77,Westchester County (Southwest)--Yonkers City PUMA,6603,3621,2982,6187,3484,2703,416,137,279,579,327,252,579,327,252,0,0,0,4711,2723,1988,4574,2586,1988,137,137,0,1313,571,742,1034,571,463,279,0,279
78,Erie County (North Central) PUMA,121,0,121,121,0,121,0,0,0,0,0,0,0,0,0,0,0,0,121,0,121,121,0,121,0,0,0,0,0,0,0,0,0,0,0,0
79,Saratoga County (South & Central) PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Suffolk County (South Central)--Brookhaven Town (South) PUMA,351,231,120,351,231,120,0,0,0,0,0,0,0,0,0,0,0,0,351,231,120,351,231,120,0,0,0,0,0,0,0,0,0,0,0,0
81,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",217,217,0,217,217,0,0,0,0,0,0,0,0,0,0,0,0,0,217,217,0,217,217,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,107,107,0,107,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,107,0,107,107,0,0,0,0
