,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",421,271,150,0,0,0,421,271,150,271,271,0,0,0,0,271,271,0,150,0,150,0,0,0,150,0,150,0,0,0,0,0,0,0,0,0
54,Columbia & Greene Counties PUMA,170,85,85,134,85,49,36,0,36,36,0,36,0,0,0,36,0,36,37,37,0,37,37,0,0,0,0,97,48,49,97,48,49,0,0,0
55,Rensselaer County--Troy City PUMA,59,59,0,59,59,0,0,0,0,23,23,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,0,36,36,0,0,0,0
56,Erie County (West Central)--Buffalo City (West) PUMA,350,237,113,350,237,113,0,0,0,237,237,0,237,237,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,113,113,0,113,0,0,0
57,Erie County (South) PUMA,166,166,0,0,0,0,166,166,0,0,0,0,0,0,0,0,0,0,166,166,0,0,0,0,166,166,0,0,0,0,0,0,0,0,0,0
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,100,0,100,39,0,39,61,0,61,100,0,100,39,0,39,61,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",19143,11060,8083,17084,10206,6878,2059,854,1205,2403,1151,1252,2197,1151,1046,206,0,206,12653,6891,5762,11052,6037,5015,1601,854,747,4087,3018,1069,3835,3018,817,252,0,252
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,298,0,298,298,0,298,0,0,0,0,0,0,0,0,0,0,0,0,298,0,298,298,0,298,0,0,0,0,0,0,0,0,0,0,0,0
61,NYC-Manhattan Community District 10--Central Harlem PUMA,1659,107,1552,758,107,651,901,0,901,525,0,525,525,0,525,0,0,0,565,0,565,126,0,126,439,0,439,569,107,462,107,107,0,462,0,462
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,1972,1393,579,1601,1270,331,371,123,248,30,0,30,30,0,30,0,0,0,1262,899,363,891,776,115,371,123,248,680,494,186,680,494,186,0,0,0
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,1443,459,984,1443,459,984,0,0,0,257,0,257,257,0,257,0,0,0,1016,289,727,1016,289,727,0,0,0,170,170,0,170,170,0,0,0,0
64,Albany County (East Central)--Albany City PUMA,418,0,418,418,0,418,0,0,0,0,0,0,0,0,0,0,0,0,418,0,418,418,0,418,0,0,0,0,0,0,0,0,0,0,0,0
