,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
73,Westchester County (Southeast) PUMA,4547,2581,1966,4260,2340,1920,287,241,46,991,241,750,750,0,750,241,241,0,1551,555,996,1551,555,996,0,0,0,2005,1785,220,1959,1785,174,46,0,46
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,5262,3248,2014,3955,2247,1708,1307,1001,306,1173,854,319,1039,720,319,134,134,0,2412,1242,1170,1653,537,1116,759,705,54,1677,1152,525,1263,990,273,414,162,252
75,Livingston & Wyoming Counties PUMA,137,137,0,137,137,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,0,31,31,0,0,0,0,106,106,0,106,106,0,0,0,0
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,520,333,187,520,333,187,0,0,0,0,0,0,0,0,0,0,0,0,332,256,76,332,256,76,0,0,0,188,77,111,188,77,111,0,0,0
77,Westchester County (Southwest)--Yonkers City PUMA,7096,3910,3186,5848,3291,2557,1248,619,629,579,327,252,579,327,252,0,0,0,5014,2822,2192,3906,2203,1703,1108,619,489,1503,761,742,1363,761,602,140,0,140
78,Erie County (North Central) PUMA,121,0,121,121,0,121,0,0,0,0,0,0,0,0,0,0,0,0,121,0,121,121,0,121,0,0,0,0,0,0,0,0,0,0,0,0
79,Saratoga County (South & Central) PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Suffolk County (South Central)--Brookhaven Town (South) PUMA,351,231,120,351,231,120,0,0,0,0,0,0,0,0,0,0,0,0,351,231,120,351,231,120,0,0,0,0,0,0,0,0,0,0,0,0
81,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",387,217,170,217,217,0,170,0,170,0,0,0,0,0,0,0,0,0,217,217,0,217,217,0,0,0,0,170,0,170,0,0,0,170,0,170
82,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,107,107,0,0,0,0,107,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,107,0,0,0,0,107,107,0
83,Niagara County (North & East) PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Monroe County (Central)--Rochester City (East) PUMA,180,180,0,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,180,180,0,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Warren & Washington Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,1000,917,83,607,607,0,393,310,83,2,0,2,0,0,0,2,0,2,688,607,81,607,607,0,81,0,81,310,310,0,0,0,0,310,310,0
87,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,1479,218,1261,943,138,805,536,80,456,948,138,810,570,138,432,378,0,378,531,80,451,373,0,373,158,80,78,0,0,0,0,0,0,0,0,0
88,Onondaga County (Central)--Syracuse City PUMA,210,32,178,210,32,178,0,0,0,0,0,0,0,0,0,0,0,0,140,0,140,140,0,140,0,0,0,70,32,38,70,32,38,0,0,0
89,Westchester County (Central)--White Plains City PUMA,1202,538,664,1040,538,502,162,0,162,212,0,212,212,0,212,0,0,0,596,306,290,596,306,290,0,0,0,394,232,162,232,232,0,162,0,162
90,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,2363,670,1693,1173,263,910,1190,407,783,516,0,516,231,0,231,285,0,285,1144,284,860,663,138,525,481,146,335,703,386,317,279,125,154,424,261,163
91,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",8869,4607,4262,4607,2877,1730,4262,1730,2532,1971,622,1349,998,196,802,973,426,547,5079,2925,2154,2782,2069,713,2297,856,1441,1819,1060,759,827,612,215,992,448,544
92,Cattaraugus & Allegany Counties PUMA,49,49,0,0,0,0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,49,0,0,0,0,49,49,0
93,Oswego County PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",2894,1422,1472,1858,1128,730,1036,294,742,502,49,453,230,49,181,272,0,272,1619,760,859,1256,760,496,363,0,363,773,613,160,372,319,53,401,294,107
95,Monroe County (East) PUMA,722,275,447,369,163,206,353,112,241,0,0,0,0,0,0,0,0,0,722,275,447,369,163,206,353,112,241,0,0,0,0,0,0,0,0,0
96,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,3419,2208,1211,2085,1084,1001,1334,1124,210,448,229,219,448,229,219,0,0,0,1949,1167,782,1240,458,782,709,709,0,1022,812,210,397,397,0,625,415,210
97,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",947,635,312,599,337,262,348,298,50,95,0,95,95,0,95,0,0,0,261,261,0,139,139,0,122,122,0,591,374,217,365,198,167,226,176,50
98,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",2363,1254,1109,1320,840,480,1043,414,629,426,125,301,264,125,139,162,0,162,1027,309,718,527,186,341,500,123,377,910,820,90,529,529,0,381,291,90
99,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",3375,1369,2006,2964,958,2006,411,411,0,1248,0,1248,1248,0,1248,0,0,0,1666,908,758,1374,616,758,292,292,0,461,461,0,342,342,0,119,119,0
100,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",1610,931,679,1464,931,533,146,0,146,176,140,36,176,140,36,0,0,0,1211,714,497,1211,714,497,0,0,0,223,77,146,77,77,0,146,0,146
101,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",487,177,310,487,177,310,0,0,0,487,177,310,487,177,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Chautauqua County PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,1837,884,953,976,463,513,861,421,440,882,0,882,442,0,442,440,0,440,955,884,71,534,463,71,421,421,0,0,0,0,0,0,0,0,0,0
104,Erie County (West Central)--Buffalo City (East) PUMA,636,283,353,461,224,237,175,59,116,67,0,67,67,0,67,0,0,0,510,224,286,394,224,170,116,0,116,59,59,0,0,0,0,59,59,0
105,Genesee & Orleans Counties PUMA,305,305,0,305,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,305,0,305,305,0,0,0,0
106,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",1265,259,1006,362,0,362,903,259,644,134,0,134,134,0,134,0,0,0,840,259,581,228,0,228,612,259,353,291,0,291,0,0,0,291,0,291
107,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,2250,1416,834,1337,724,613,913,692,221,134,70,64,134,70,64,0,0,0,774,520,254,540,286,254,234,234,0,1342,826,516,663,368,295,679,458,221
109,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",6921,3048,3873,4176,2656,1520,2745,392,2353,340,202,138,249,111,138,91,91,0,4641,1479,3162,2421,1302,1119,2220,177,2043,1940,1367,573,1506,1243,263,434,124,310
110,Suffolk County (East) PUMA,334,119,215,334,119,215,0,0,0,0,0,0,0,0,0,0,0,0,323,108,215,323,108,215,0,0,0,11,11,0,11,11,0,0,0,0
111,Orange County (Northwest) PUMA,1888,1641,247,1348,1195,153,540,446,94,0,0,0,0,0,0,0,0,0,1778,1531,247,1348,1195,153,430,336,94,110,110,0,0,0,0,110,110,0
