,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
31,Monroe County (North & West) PUMA,1100,654,446,35535.0,25915.1376146789,49641.255605381164,87,0,87,60000.0,0.0,60000.0,1013,654,359,33433.85982230997,25915.1376146789,47130.91922005571,0,0,0,#DIV/0!,0.0,0.0
32,Schenectady County--Schenectady City PUMA,293,293,0,81296.92832764504,81296.92832764504,0.0,119,119,0,80000.0,80000.0,0.0,174,174,0,82183.908045977,82183.908045977,0.0,0,0,0,#DIV/0!,0.0,0.0
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",1717,663,1054,95222.18986604543,128125.18853695324,74525.14231499052,766,483,283,135459.53002610966,141587.9917184265,125000.0,951,180,771,62812.30283911672,92000.0,55998.05447470817,0,0,0,#DIV/0!,0.0,0.0
34,Niagara County (North & East) PUMA,312,209,103,72903.84615384616,63000.0,93000.0,103,0,103,93000.0,0.0,93000.0,209,209,0,63000.0,63000.0,0.0,0,0,0,#DIV/0!,0.0,0.0
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,2697,1755,942,84516.49981460882,84104.2735042735,85284.50106157112,1421,668,753,75577.05840957073,51821.85628742515,96650.73041168659,1276,1087,189,94471.7868338558,103942.96228150874,40000.0,0,0,0,#DIV/0!,0.0,0.0
36,Suffolk County (East) PUMA,731,639,92,88177.83857729138,97129.89045383412,26000.0,176,176,0,182000.0,182000.0,0.0,463,463,0,64868.2505399568,64868.2505399568,0.0,92,0,92,26000.0,0.0,26000.0
37,Warren & Washington Counties PUMA,104,104,0,31730.76923076923,31730.76923076923,0.0,0,0,0,#DIV/0!,0.0,0.0,64,64,0,50000.0,50000.0,0.0,40,40,0,2500.0,2500.0,0.0
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,1424,305,1119,52756.3202247191,52672.13114754098,52779.26720285969,497,201,296,66730.38229376258,56044.77611940299,73986.48648648648,701,55,646,53059.91440798859,65000.0,52043.34365325078,226,49,177,21084.070796460175,25000.0,20000.0
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",689,356,333,24507.54716981132,26011.23595505618,22900.0,0,0,0,#DIV/0!,0.0,0.0,689,356,333,24507.54716981132,26011.23595505618,22900.0,0,0,0,#DIV/0!,0.0,0.0
40,Westchester County (Central)--White Plains City PUMA,1623,790,833,70691.3123844732,80340.50632911392,61540.21608643457,990,584,406,86237.57575757576,93053.42465753424,76433.49753694581,633,206,427,46377.251184834124,44300.0,47379.391100702574,0,0,0,#DIV/0!,0.0,0.0
41,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",8936,3613,5323,40793.207251566695,49148.07639081096,35122.318241593086,2014,877,1137,54020.65541211519,65481.870011402505,45180.29903254178,5215,1563,3652,40040.44103547459,52505.50223928343,34705.58598028478,1707,1173,534,27486.584651435267,32462.318840579712,16556.74157303371
42,Erie County (North Central) PUMA,740,390,350,53443.78378378379,63893.333333333336,41800.0,100,100,0,75000.0,75000.0,0.0,640,290,350,50075.625,60063.44827586207,41800.0,0,0,0,#DIV/0!,0.0,0.0
