,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
37,Warren & Washington Counties PUMA,104,104,0,104,104,0,0,0,0,0,0,0,0,0,0,0,0,0,64,64,0,64,64,0,0,0,0,40,40,0,40,40,0,0,0,0
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,1424,305,1119,1424,305,1119,0,0,0,497,201,296,497,201,296,0,0,0,701,55,646,701,55,646,0,0,0,226,49,177,226,49,177,0,0,0
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",1095,479,616,689,356,333,406,123,283,0,0,0,0,0,0,0,0,0,972,356,616,689,356,333,283,0,283,123,123,0,0,0,0,123,123,0
40,Westchester County (Central)--White Plains City PUMA,1862,790,1072,1623,790,833,239,0,239,990,584,406,990,584,406,0,0,0,872,206,666,633,206,427,239,0,239,0,0,0,0,0,0,0,0,0
41,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",11854,4954,6900,8936,3613,5323,2918,1341,1577,2447,877,1570,2014,877,1137,433,0,433,7290,2904,4386,5215,1563,3652,2075,1341,734,2117,1173,944,1707,1173,534,410,0,410
42,Erie County (North Central) PUMA,740,390,350,740,390,350,0,0,0,100,100,0,100,100,0,0,0,0,640,290,350,640,290,350,0,0,0,0,0,0,0,0,0,0,0,0
43,Chautauqua County PUMA,750,552,198,198,0,198,552,552,0,86,0,86,86,0,86,0,0,0,664,552,112,112,0,112,552,552,0,0,0,0,0,0,0,0,0,0
44,Dutchess County (Southwest) PUMA,3055,1708,1347,2881,1683,1198,174,25,149,793,118,675,644,118,526,149,0,149,2262,1590,672,2237,1565,672,25,25,0,0,0,0,0,0,0,0,0,0
45,Westchester County (Southeast) PUMA,786,464,322,658,464,194,128,0,128,375,145,230,247,145,102,128,0,128,411,319,92,411,319,92,0,0,0,0,0,0,0,0,0,0,0,0
46,Rockland County (North)--New City & Congers PUMA,2781,2215,566,2309,1871,438,472,344,128,173,173,0,93,93,0,80,80,0,2003,1437,566,1638,1200,438,365,237,128,605,605,0,578,578,0,27,27,0
47,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,2870,1179,1691,2214,1054,1160,656,125,531,871,277,594,617,277,340,254,0,254,1890,902,988,1488,777,711,402,125,277,109,0,109,109,0,109,0,0,0
48,Suffolk County (Southwest)--Islip Town (South) PUMA,2577,1681,896,2050,1307,743,527,374,153,883,172,711,730,172,558,153,0,153,1694,1509,185,1320,1135,185,374,374,0,0,0,0,0,0,0,0,0,0
49,Erie County (West Central)--Buffalo City (East) PUMA,1917,1306,611,1917,1306,611,0,0,0,108,108,0,108,108,0,0,0,0,1809,1198,611,1809,1198,611,0,0,0,0,0,0,0,0,0,0,0,0
50,Wayne & Seneca Counties PUMA,493,339,154,493,339,154,0,0,0,0,0,0,0,0,0,0,0,0,493,339,154,493,339,154,0,0,0,0,0,0,0,0,0,0,0,0
51,Monroe County (South) PUMA,507,381,126,443,381,62,64,0,64,216,154,62,216,154,62,0,0,0,291,227,64,227,227,0,64,0,64,0,0,0,0,0,0,0,0,0
52,Tompkins County PUMA,44,44,0,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,0,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Suffolk County (South Central)--Brookhaven Town (South) PUMA,3002,1685,1317,2413,1349,1064,589,336,253,520,148,372,520,148,372,0,0,0,1831,933,898,1242,597,645,589,336,253,651,604,47,651,604,47,0,0,0
54,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",851,638,213,800,607,193,51,31,20,116,0,116,116,0,116,0,0,0,268,171,97,248,171,77,20,0,20,467,467,0,436,436,0,31,31,0
55,NYC-Manhattan Community District 8--Upper East Side PUMA,397,397,0,397,397,0,0,0,0,247,247,0,247,247,0,0,0,0,150,150,0,150,150,0,0,0,0,0,0,0,0,0,0,0,0,0
56,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",903,599,304,903,599,304,0,0,0,670,366,304,670,366,304,0,0,0,233,233,0,233,233,0,0,0,0,0,0,0,0,0,0,0,0,0
57,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",3596,1641,1955,2505,839,1666,1091,802,289,980,110,870,805,110,695,175,0,175,2616,1531,1085,1700,729,971,916,802,114,0,0,0,0,0,0,0,0,0
58,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,1812,967,845,1675,917,758,137,50,87,601,287,314,507,237,270,94,50,44,993,505,488,993,505,488,0,0,0,218,175,43,175,175,0,43,0,43
59,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",3038,1650,1388,2480,1553,927,558,97,461,754,580,174,574,483,91,180,97,83,2059,1022,1037,1776,1022,754,283,0,283,225,48,177,130,48,82,95,0,95
60,Suffolk County (Central)--Islip Town (Northwest) PUMA,2982,1633,1349,2287,1081,1206,695,552,143,869,170,699,869,170,699,0,0,0,2014,1463,551,1319,911,408,695,552,143,99,0,99,99,0,99,0,0,0
61,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",1888,724,1164,1613,724,889,275,0,275,336,0,336,336,0,336,0,0,0,1552,724,828,1277,724,553,275,0,275,0,0,0,0,0,0,0,0,0
62,Saratoga County (South & Central) PUMA,841,391,450,690,391,299,151,0,151,0,0,0,0,0,0,0,0,0,841,391,450,690,391,299,151,0,151,0,0,0,0,0,0,0,0,0
