,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
36,Suffolk County (East) PUMA,731,639,92,731,639,92,0,0,0,176,176,0,176,176,0,0,0,0,463,463,0,463,463,0,0,0,0,92,0,92,92,0,92,0,0,0
37,Warren & Washington Counties PUMA,64,64,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,64,64,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,1477,305,1172,1198,256,942,279,49,230,497,201,296,497,201,296,0,0,0,754,55,699,701,55,646,53,0,53,226,49,177,0,0,0,226,49,177
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",1095,479,616,772,356,416,323,123,200,0,0,0,0,0,0,0,0,0,972,356,616,772,356,416,200,0,200,123,123,0,0,0,0,123,123,0
40,Westchester County (Central)--White Plains City PUMA,2008,887,1121,1959,887,1072,49,0,49,990,584,406,990,584,406,0,0,0,872,206,666,872,206,666,0,0,0,146,97,49,97,97,0,49,0,49
41,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",18459,8578,9881,9988,4720,5268,8471,3858,4613,3026,1190,1836,2380,1190,1190,646,0,646,10087,4854,5233,6046,2209,3837,4041,2645,1396,5346,2534,2812,1562,1321,241,3784,1213,2571
42,Erie County (North Central) PUMA,791,441,350,740,390,350,51,51,0,100,100,0,100,100,0,0,0,0,691,341,350,640,290,350,51,51,0,0,0,0,0,0,0,0,0,0
43,Chautauqua County PUMA,1144,946,198,635,437,198,509,509,0,86,0,86,86,0,86,0,0,0,1058,946,112,549,437,112,509,509,0,0,0,0,0,0,0,0,0,0
44,Dutchess County (Southwest) PUMA,3450,1755,1695,2627,1429,1198,823,326,497,793,118,675,644,118,526,149,0,149,2657,1637,1020,1983,1311,672,674,326,348,0,0,0,0,0,0,0,0,0
45,Westchester County (Southeast) PUMA,786,464,322,786,464,322,0,0,0,375,145,230,375,145,230,0,0,0,411,319,92,411,319,92,0,0,0,0,0,0,0,0,0,0,0,0
46,Rockland County (North)--New City & Congers PUMA,3387,2552,835,2405,1698,707,982,854,128,365,365,0,365,365,0,0,0,0,2354,1519,835,1950,1243,707,404,276,128,668,668,0,90,90,0,578,578,0
47,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,3763,1491,2272,3199,1179,2020,564,312,252,871,277,594,871,277,594,0,0,0,2723,1214,1509,2159,902,1257,564,312,252,169,0,169,169,0,169,0,0,0
48,Suffolk County (Southwest)--Islip Town (South) PUMA,3219,2323,896,2203,1307,896,1016,1016,0,883,172,711,883,172,711,0,0,0,1694,1509,185,1320,1135,185,374,374,0,642,642,0,0,0,0,642,642,0
49,Erie County (West Central)--Buffalo City (East) PUMA,2736,1306,1430,1558,1181,377,1178,125,1053,108,108,0,108,108,0,0,0,0,2213,1198,1015,1450,1073,377,763,125,638,415,0,415,0,0,0,415,0,415
50,Wayne & Seneca Counties PUMA,442,288,154,442,288,154,0,0,0,0,0,0,0,0,0,0,0,0,442,288,154,442,288,154,0,0,0,0,0,0,0,0,0,0,0,0
51,Monroe County (South) PUMA,589,463,126,589,463,126,0,0,0,216,154,62,216,154,62,0,0,0,373,309,64,373,309,64,0,0,0,0,0,0,0,0,0,0,0,0
52,Tompkins County PUMA,136,136,0,136,136,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,0,44,44,0,0,0,0,92,92,0,92,92,0,0,0,0
53,Suffolk County (South Central)--Brookhaven Town (South) PUMA,4008,1860,2148,3325,1612,1713,683,248,435,607,148,459,607,148,459,0,0,0,2706,1155,1551,2049,933,1116,657,222,435,695,557,138,669,531,138,26,26,0
54,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",983,770,213,738,525,213,245,245,0,116,0,116,116,0,116,0,0,0,400,303,97,192,95,97,208,208,0,467,467,0,430,430,0,37,37,0
55,NYC-Manhattan Community District 8--Upper East Side PUMA,809,397,412,536,397,139,273,0,273,247,247,0,247,247,0,0,0,0,562,150,412,289,150,139,273,0,273,0,0,0,0,0,0,0,0,0
56,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",903,599,304,903,599,304,0,0,0,670,366,304,670,366,304,0,0,0,233,233,0,233,233,0,0,0,0,0,0,0,0,0,0,0,0,0
57,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",4682,2727,1955,3934,2095,1839,748,632,116,980,110,870,864,110,754,116,0,116,3702,2617,1085,3070,1985,1085,632,632,0,0,0,0,0,0,0,0,0,0
58,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,2603,1185,1418,2180,1100,1080,423,85,338,601,287,314,601,287,314,0,0,0,1591,723,868,1211,638,573,380,85,295,411,175,236,368,175,193,43,0,43
59,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",3963,1760,2203,2823,1646,1177,1140,114,1026,754,580,174,657,483,174,97,97,0,2280,1115,1165,1952,1115,837,328,0,328,929,65,864,214,48,166,715,17,698
60,Suffolk County (Central)--Islip Town (Northwest) PUMA,5048,2947,2101,4012,2090,1922,1036,857,179,1255,396,859,934,170,764,321,226,95,3579,2436,1143,2864,1805,1059,715,631,84,214,115,99,214,115,99,0,0,0
61,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",2447,1121,1326,1199,724,475,1248,397,851,336,0,336,336,0,336,0,0,0,2111,1121,990,863,724,139,1248,397,851,0,0,0,0,0,0,0,0,0
62,Saratoga County (South & Central) PUMA,841,391,450,841,391,450,0,0,0,0,0,0,0,0,0,0,0,0,841,391,450,841,391,450,0,0,0,0,0,0,0,0,0,0,0,0
